id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
reidro01,Robert Reid,578,306,272,.529,517,276,241,.534,61,30,31,.492
mccraro01,Rodney McCray,361,188,173,.521,327,171,156,.523,34,17,17,.500
jonesma01,Major Jones,333,144,189,.432,317,137,180,.432,16,7,9,.438
olajuha01,Hakeem Olajuwon,323,179,144,.554,287,161,126,.561,36,18,18,.500
murphca01,Calvin Murphy,293,135,158,.461,267,122,145,.457,26,13,13,.500
hendeto01,Tom Henderson,271,121,150,.446,244,108,136,.443,27,13,14,.481
sampsra01,Ralph Sampson,264,132,132,.500,234,116,118,.496,30,16,14,.533
paultbi01,Billy Paultz*,259,112,147,.432,232,99,133,.427,27,13,14,.481
malonmo01,Moses Malone,259,136,123,.525,232,123,109,.530,27,13,14,.481
peterji01,Jim Petersen,254,147,107,.579,222,130,92,.586,32,17,15,.531
hayesel01,Elvin Hayes,241,90,151,.373,238,89,149,.374,3,1,2,.333
lloydle01,Lewis Lloyd,224,111,113,.496,204,100,104,.490,20,11,9,.550
dunlemi01,Mike Dunleavy,211,112,99,.531,186,100,86,.538,25,12,13,.480
johnsbu01,Buck Johnson,169,89,80,.527,158,84,74,.532,11,5,6,.455
jonesca01,Caldwell Jones*,160,43,117,.269,160,43,117,.269,0,0,0,
baileja01,James Bailey,139,37,102,.266,139,37,102,.266,0,0,0,
wiggimi01,Mitchell Wiggins,138,81,57,.587,118,70,48,.593,20,11,9,.550
teaglte01,Terry Teagle,138,32,106,.232,138,32,106,.232,0,0,0,
walkewa01,Wally Walker,137,34,103,.248,137,34,103,.248,0,0,0,
willobi01,Bill Willoughby*,136,77,59,.566,118,67,51,.568,18,10,8,.556
harrist01,Steve Harris,134,74,60,.552,115,65,50,.565,19,9,10,.474
garreca01,Calvin Garrett,132,70,62,.530,121,62,59,.512,11,8,3,.727
maxwece01,Cedric Maxwell,128,72,56,.562,114,66,48,.579,14,6,8,.429
shortpu01,Purvis Short,125,64,61,.512,119,62,57,.521,6,2,4,.333
tomjaru01,Rudy Tomjanovich,123,59,64,.480,111,55,56,.495,12,4,8,.333
floydsl01,Sleepy Floyd,118,60,58,.508,112,58,54,.518,6,2,4,.333
lucasjo01,John Lucas,85,47,38,.553,80,45,35,.562,5,2,3,.400
fordph01,Phil Ford,82,29,53,.354,82,29,53,.354,0,0,0,
bryanjo01,Joe Bryant,78,14,64,.179,78,14,64,.179,0,0,0,
barryri01,Rick Barry,73,33,40,.452,67,32,35,.478,6,1,5,.167
ehlocr01,Craig Ehlo,67,30,37,.448,57,26,31,.456,10,4,6,.400
carrojo01,Joe Barry Carroll,65,36,29,.554,61,35,26,.574,4,1,3,.250
freewo01,World B. Free,59,30,29,.508,57,30,27,.526,2,0,2,.000
thorpot01,Otis Thorpe,57,27,30,.474,55,26,29,.473,2,1,1,.500
chievde01,Derrick Chievous,56,27,29,.482,54,26,28,.481,2,1,1,.500
mccorti01,Tim McCormick,56,26,30,.464,54,25,29,.463,2,1,1,.500
woodsmi01,Mike Woodson,56,27,29,.482,54,26,28,.481,2,1,1,.500
minnidi01,Dirk Minniefield,53,28,25,.528,45,24,21,.533,8,4,4,.500
connele01,Lester Conner,51,31,20,.608,50,30,20,.600,1,1,0,1.000
hollili01,Lionel Hollins,47,24,23,.511,42,22,20,.524,5,2,3,.400
waitegr01,Granville Waiters,47,25,22,.532,39,20,19,.513,8,5,3,.625
anderri01,Richard Anderson,46,21,25,.457,41,19,22,.463,5,2,3,.400
feitlda01,Dave Feitl,45,23,22,.511,39,20,19,.513,6,3,3,.500
tayloje01,Jeff Taylor,43,9,34,.209,43,9,34,.209,0,0,0,
johnsfr01,Frank Johnson,42,20,22,.476,40,19,21,.475,2,1,1,.500
nevitch01,Chuck Nevitt,38,15,23,.395,36,14,22,.389,2,1,1,.500
michela01,Larry Micheaux,34,17,17,.500,29,15,14,.517,5,2,3,.400
mcdowha01,Hank McDowell,32,16,16,.500,24,12,12,.500,8,4,4,.500
shumajo01,John Shumate,29,16,13,.552,29,16,13,.552,0,0,0,
berrywa01,Walter Berry,25,9,16,.360,23,8,15,.348,2,1,1,.500
bradlal01,Alonzo Bradley,24,14,10,.583,20,13,7,.650,4,1,3,.250
thompbe01,Bernard Thompson,20,12,8,.600,20,12,8,.600,0,0,0,
oldhaja01,Jawann Oldham,19,10,9,.526,19,10,9,.526,0,0,0,
jonesdw01,Dwight Jones,16,8,8,.500,16,8,8,.500,0,0,0,
turnean01,Andre Turner,12,6,6,.500,12,6,6,.500,0,0,0,
mokespa01,Paul Mokeski,12,5,7,.417,12,5,7,.417,0,0,0,
brownto01,Tony Brown,11,5,6,.455,11,5,6,.455,0,0,0,
johnsle01,Lee Johnson,10,6,4,.600,10,6,4,.600,0,0,0,
stroujo01,John Stroud,7,1,6,.143,7,1,6,.143,0,0,0,
sprigla01,Larry Spriggs,6,2,4,.333,4,1,3,.250,2,1,1,.500
henryco01,Conner Henry,5,3,2,.600,5,3,2,.600,0,0,0,
whiteru01,Rudy White,4,0,4,.000,4,0,4,.000,0,0,0,
