id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
becker01,Ernie Beck,1,1,0,1.000,1,1,0,1.000,0,0,0,
zawolze01,Zeke Zawoluk,1,1,0,1.000,1,1,0,1.000,0,0,0,
johnsne01,Neil Johnston*,1,1,0,1.000,1,1,0,1.000,0,0,0,
georgja01,Jack George*,1,1,0,1.000,1,1,0,1.000,0,0,0,
grabojo01,Joe Graboski*,1,1,0,1.000,1,1,0,1.000,0,0,0,
walthpa01,Paul Walther*,1,1,0,1.000,1,1,0,1.000,0,0,0,
fulksjo01,Joe Fulks*,1,1,0,1.000,1,1,0,1.000,0,0,0,
senesge01,George Senesky*,1,1,0,1.000,1,1,0,1.000,0,0,0,
daviswa01,Walt Davis*,1,1,0,1.000,1,1,0,1.000,0,0,0,
finnda01,Danny Finn,1,1,0,1.000,1,1,0,1.000,0,0,0,
