id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
eakinji01,Jim Eakins*,5,2,3,.400,5,2,3,.400,0,0,0,
govange01,Gerald Govan*,5,2,3,.400,5,2,3,.400,0,0,0,
boonero01,Ron Boone*,5,2,3,.400,5,2,3,.400,0,0,0,
smithal01,Al Smith*,5,2,3,.400,5,2,3,.400,0,0,0,
dentora01,Randy Denton,5,2,3,.400,5,2,3,.400,0,0,0,
dickecl01,Clyde Dickey*,5,2,3,.400,5,2,3,.400,0,0,0,
joneswa02,Wali Jones,5,2,3,.400,5,2,3,.400,0,0,0,
brownro01,Roger Brown*,5,2,3,.400,5,2,3,.400,0,0,0,
malonmo01,Moses Malone,5,2,3,.400,5,2,3,.400,0,0,0,
sealsbr01,Bruce Seals,4,1,3,.250,4,1,3,.250,0,0,0,
