id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
williho01,Hot Rod Williams,492,280,212,.569,452,262,190,.580,40,18,22,.450
daughbr01,Brad Daugherty,482,269,213,.558,442,251,191,.568,40,18,22,.450
pricema01,Mark Price,439,259,180,.590,400,241,159,.603,39,18,21,.462
nancela01,Larry Nance,420,242,178,.576,380,224,156,.589,40,18,22,.450
blaylmo01,Mookie Blaylock,229,134,95,.585,206,125,81,.607,23,9,14,.391
ferryda01,Danny Ferry,226,125,101,.553,209,117,92,.560,17,8,9,.471
augmost01,Stacey Augmon,225,132,93,.587,202,123,79,.609,23,9,14,.391
sandemi01,Mike Sanders,196,121,75,.617,162,105,57,.648,34,16,18,.471
harpero01,Ron Harper,195,108,87,.554,187,104,83,.556,8,4,4,.500
langan01,Andrew Lang,194,115,79,.593,180,110,70,.611,14,5,9,.357
kerrst01,Steve Kerr,185,93,92,.503,168,85,83,.506,17,8,9,.471
brandte01,Terrell Brandon,165,106,59,.642,145,96,49,.662,20,10,10,.500
brownch01,Chucky Brown,155,72,83,.465,155,72,83,.465,0,0,0,
dudlech02,Chris Dudley,155,94,61,.606,150,91,59,.607,5,3,2,.600
hubbaph01,Phil Hubbard,153,79,74,.516,149,77,72,.517,4,2,2,.500
valenda01,Darnell Valentine,146,82,64,.562,142,80,62,.563,4,2,2,.500
longgr01,Grant Long,140,74,66,.529,128,70,58,.547,12,4,8,.333
bennewi01,Winston Bennett,138,80,58,.580,133,78,55,.586,5,2,3,.400
smithst01,Steve Smith,137,73,64,.533,125,69,56,.552,12,4,8,.333
corbity01,Tyrone Corbin,132,64,68,.485,129,64,65,.496,3,0,3,.000
koncajo01,Jon Koncak,131,82,49,.626,120,77,43,.642,11,5,6,.455
rollitr01,Tree Rollins,115,68,47,.591,108,64,44,.593,7,4,3,.571
battljo01,John Battle,114,77,37,.675,98,68,30,.694,16,9,7,.562
mortojo01,John Morton,109,46,63,.422,107,45,62,.421,2,1,1,.500
whatlen01,Ennis Whatley,109,70,39,.642,95,65,30,.684,14,5,9,.357
lloydle01,Lewis Lloyd,101,53,48,.525,88,46,42,.523,13,7,6,.538
mccraro01,Rodney McCray,101,53,48,.525,88,46,42,.523,13,7,6,.538
sampsra01,Ralph Sampson,100,52,48,.520,87,45,42,.517,13,7,6,.538
jameshe01,Henry James,97,52,45,.536,89,47,42,.528,8,5,3,.625
reidro01,Robert Reid,94,53,41,.564,81,46,35,.568,13,7,6,.538
wiggimi01,Mitchell Wiggins,93,53,40,.570,80,46,34,.575,13,7,6,.538
willike02,Kevin Willis,91,60,31,.659,80,55,25,.688,11,5,6,.455
westma01,Mark West,91,41,50,.451,91,41,50,.451,0,0,0,
keysra01,Randolph Keys,90,53,37,.589,89,53,36,.596,1,0,1,.000
wilkige01,Gerald Wilkins,89,56,33,.629,80,53,27,.662,9,3,6,.333
olajuha01,Hakeem Olajuwon,87,52,35,.598,74,45,29,.608,13,7,6,.538
hendeal01,Alan Henderson,85,48,37,.565,76,44,32,.579,9,4,5,.444
ferredu01,Duane Ferrell,83,53,30,.639,72,48,24,.667,11,5,6,.455
peterji01,Jim Petersen,82,47,35,.573,70,40,30,.571,12,7,5,.583
curryde01,Dell Curry,78,40,38,.513,76,39,37,.513,2,1,1,.500
normake01,Ken Norman,77,38,39,.494,74,38,36,.514,3,0,3,.000
keefead01,Adam Keefe,70,47,23,.671,63,44,19,.698,7,3,4,.429
paddige01,Gerald Paddio,70,29,41,.414,70,29,41,.414,0,0,0,
leaveal01,Allen Leavell,67,30,37,.448,57,26,31,.456,10,4,6,.400
kempsh01,Shawn Kemp,62,45,17,.726,62,45,17,.726,0,0,0,
mcilvji01,Jim McIlvaine,62,45,17,.726,62,45,17,.726,0,0,0,
hawkihe01,Hersey Hawkins,62,45,17,.726,62,45,17,.726,0,0,0,
lucasjo01,John Lucas,62,31,31,.500,59,30,29,.508,3,1,2,.333
perkisa01,Sam Perkins,62,45,17,.726,62,45,17,.726,0,0,0,
paytoga01,Gary Payton,62,45,17,.726,62,45,17,.726,0,0,0,
snower01,Eric Snow,54,41,13,.759,54,41,13,.759,0,0,0,
stewala01,Larry Stewart,53,40,13,.755,53,40,13,.755,0,0,0,
mcdowha01,Hank McDowell,53,33,20,.623,44,27,17,.614,9,6,3,.667
johnske02,Kevin Johnson,49,25,24,.510,49,25,24,.510,0,0,0,
wilkido01,Dominique Wilkins,49,34,15,.694,49,34,15,.694,0,0,0,
webbsp01,Spud Webb,49,27,22,.551,49,27,22,.551,0,0,0,
