id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
coopemi01,Michael Cooper,919,661,258,.719,761,551,210,.724,158,110,48,.696
johnsma02,Magic Johnson,842,616,226,.732,685,506,179,.739,157,110,47,.701
worthja01,James Worthy,641,470,171,.733,530,392,138,.740,111,78,33,.703
wilkeja01,Jamaal Wilkes,613,401,212,.654,541,357,184,.660,72,44,28,.611
rambiku01,Kurt Rambis,591,434,157,.734,472,351,121,.744,119,83,36,.697
scottby01,Byron Scott,553,408,145,.738,447,331,116,.740,106,77,29,.726
nixonno01,Norm Nixon,510,335,175,.657,453,299,154,.660,57,36,21,.632
mcglojo01,Jon McGlocklin,507,356,151,.702,458,325,133,.710,49,31,18,.633
dandrbo01,Bob Dandridge,497,349,148,.702,440,313,127,.711,57,36,21,.632
allenlu01,Lucius Allen,478,321,157,.672,440,298,142,.677,38,23,15,.605
greenac01,A.C. Green,374,280,94,.749,308,232,76,.753,66,48,18,.727
forddo01,Don Ford,366,218,148,.596,346,211,135,.610,20,7,13,.350
mcgeemi01,Mike McGee,340,248,92,.729,290,210,80,.724,50,38,12,.760
roberos01,Oscar Robertson,328,242,86,.738,281,211,70,.751,47,31,16,.660
mcadobo01,Bob McAdoo,276,200,76,.725,215,155,60,.721,61,45,16,.738
warneco01,Cornell Warner,244,137,107,.561,223,124,99,.556,21,13,8,.619
thompmy01,Mychal Thompson,239,176,63,.736,182,135,47,.742,57,41,16,.719
cunnidi01,Dick Cunningham*,239,177,62,.741,212,158,54,.745,27,19,8,.704
landsma01,Mark Landsberger,233,164,69,.704,195,138,57,.708,38,26,12,.684
perrycu01,Curtis Perry,227,158,69,.696,194,139,55,.716,33,19,14,.576
davismi02,Mickey Davis,222,149,73,.671,201,136,65,.677,21,13,8,.619
smithgr01,Greg Smith,215,162,53,.753,191,145,46,.759,24,17,7,.708
kupchmi01,Mitch Kupchak,195,152,43,.779,165,129,36,.782,30,23,7,.767
choneji01,Jim Chones,180,124,56,.689,162,112,50,.691,18,12,6,.667
sprigla01,Larry Spriggs,176,135,41,.767,148,112,36,.757,28,23,5,.821
russeca01,Cazzie Russell,167,93,74,.557,156,89,67,.571,11,4,7,.364
breweji01,Jim Brewer,152,105,47,.691,141,97,44,.688,11,8,3,.727
jordaed01,Eddie Jordan,152,104,48,.684,147,101,46,.687,5,3,2,.600
hudsolo01,Lou Hudson*,147,86,61,.585,138,82,56,.594,9,4,5,.444
robisda01,Dave Robisch*,141,82,59,.582,133,80,53,.602,8,2,6,.250
carrke01,Kenny Carr,137,77,60,.562,127,73,54,.575,10,4,6,.400
abernto01,Tom Abernethy,136,84,52,.618,123,79,44,.642,13,5,8,.385
driscte01,Terry Driscoll,135,98,37,.726,120,90,30,.750,15,8,7,.533
