id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
eddledi01,Dike Eddleman,3,1,2,.333,3,1,2,.333,0,0,0,
vonniwh01,Whitey Von Nieda*,3,1,2,.333,3,1,2,.333,0,0,0,
hassebi01,Billy Hassett*,3,1,2,.333,3,1,2,.333,0,0,0,
perkiwa01,Warren Perkins*,3,1,2,.333,3,1,2,.333,0,0,0,
gibsode01,Dee Gibson,3,1,2,.333,3,1,2,.333,0,0,0,
ottendo01,Don Otten,3,1,2,.333,3,1,2,.333,0,0,0,
owensre01,Red Owens*,3,1,2,.333,3,1,2,.333,0,0,0,
kerrija01,Jack Kerris*,3,1,2,.333,3,1,2,.333,0,0,0,
wiermu01,Murray Wier,3,1,2,.333,3,1,2,.333,0,0,0,
ottenma01,Mac Otten*,2,1,1,.500,2,1,1,.500,0,0,0,
raydo01,Don Ray*,2,1,1,.500,2,1,1,.500,0,0,0,
