id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
countme01,Mel Counts,134,94,40,.701,114,80,34,.702,20,14,6,.700
hawkito01,Tom Hawkins*,131,91,40,.695,111,77,34,.694,20,14,6,.700
bayloel01,Elgin Baylor,130,91,39,.700,110,77,33,.700,20,14,6,.700
westje01,Jerry West,103,75,28,.728,83,61,22,.735,20,14,6,.700
clarkar01,Archie Clark*,89,58,31,.652,73,48,25,.658,16,10,6,.625
smithgr01,Greg Smith,87,58,29,.667,77,53,24,.688,10,5,5,.500
mcglojo01,Jon McGlocklin,87,58,29,.667,77,53,24,.688,10,5,5,.500
abdulka01,Kareem Abdul-Jabbar,87,58,29,.667,77,53,24,.688,10,5,5,.500
dandrbo01,Bob Dandridge,86,57,29,.663,76,52,24,.684,10,5,5,.500
eganjo01,Johnny Egan*,86,58,28,.674,81,54,27,.667,5,4,1,.800
robinfl01,Flynn Robinson,86,58,28,.674,76,53,23,.697,10,5,5,.500
chambwi01,Wilt Chamberlain,85,57,28,.671,80,53,27,.662,5,4,1,.800
abdulza01,Zaid Abdul-Aziz,82,56,26,.683,75,52,23,.693,7,4,3,.571
erickke01,Keith Erickson,81,55,26,.679,76,51,25,.671,5,4,1,.800
chapple01,Len Chappell*,80,53,27,.662,71,49,22,.690,9,4,5,.444
hewitbi01,Bill Hewitt,79,53,26,.671,74,49,25,.662,5,4,1,.800
bryanem01,Em Bryant*,67,20,47,.299,63,19,44,.302,4,1,3,.250
rodgegu01,Guy Rodgers,66,41,25,.621,59,38,21,.644,7,3,4,.429
cunnidi01,Dick Cunningham*,65,44,21,.677,57,39,18,.684,8,5,3,.625
bellawa01,Walt Bellamy,54,17,37,.315,50,16,34,.320,4,1,3,.250
russeca01,Cazzie Russell,53,16,37,.302,49,15,34,.306,4,1,3,.250
imhofda01,Darrall Imhoff,53,40,13,.755,38,30,8,.789,15,10,5,.667
reedwi01,Willis Reed,52,17,35,.327,48,16,32,.333,4,1,3,.250
mueller01,Erwin Mueller,52,39,13,.750,38,30,8,.789,14,9,5,.643
vanardi01,Dick Van Arsdale,52,17,35,.327,48,16,32,.333,4,1,3,.250
goodrga01,Gail Goodrich,45,33,12,.733,35,27,8,.771,10,6,4,.600
johnsne02,Neil Johnson*,45,16,29,.356,41,15,26,.366,4,1,3,.250
komivho01,Howard Komives*,44,15,29,.341,40,14,26,.350,4,1,3,.250
greacbo01,Bob Greacen*,40,26,14,.650,39,25,14,.641,1,1,0,1.000
andercl01,Cliff Anderson,39,25,14,.641,36,22,14,.611,3,3,0,1.000
howelba01,Bailey Howell,37,19,18,.514,36,19,17,.528,1,0,1,.000
barnedi01,Dick Barnett,37,14,23,.378,37,14,23,.378,0,0,0,
greerha01,Hal Greer,36,18,18,.500,35,18,17,.514,1,0,1,.000
cunnibi01,Billy Cunningham,36,18,18,.500,35,18,17,.514,1,0,1,.000
awtrede01,Dennis Awtrey,34,17,17,.500,33,17,16,.515,1,0,1,.000
jackslu01,Luke Jackson,34,18,16,.529,33,18,15,.545,1,0,1,.000
washiji01,Jim Washington,34,18,16,.529,33,18,15,.545,1,0,1,.000
cartyja01,Jay Carty,31,24,7,.774,29,22,7,.759,2,2,0,1.000
fostefr01,Fred Foster*,30,16,14,.533,29,16,13,.552,1,0,1,.000
jacksph01,Phil Jackson*,27,11,16,.407,27,11,16,.407,0,0,0,
bowmana01,Nate Bowman,27,10,17,.370,27,10,17,.370,0,0,0,
fraziwa01,Walt Frazier,26,11,15,.423,26,11,15,.423,0,0,0,
hamilde01,Dennis Hamilton,23,19,4,.826,21,17,4,.810,2,2,0,1.000
dierkco01,Connie Dierking,21,10,11,.476,21,10,11,.476,0,0,0,
maydo01,Don May,15,4,11,.267,15,4,11,.267,0,0,0,
hummejo01,John Hummer,15,4,11,.267,15,4,11,.267,0,0,0,
gillihe01,Herm Gilliam*,15,4,11,.267,15,4,11,.267,0,0,0,
akinhe01,Henry Akin,15,2,13,.133,13,2,11,.154,2,0,2,.000
davismi01,Mike Davis,15,4,11,.267,15,4,11,.267,0,0,0,
wilsoge01,George Wilson*,15,4,11,.267,15,4,11,.267,0,0,0,
stallda01,Dave Stallworth,14,4,10,.286,14,4,10,.286,0,0,0,
kauffbo01,Bob Kauffman,14,4,10,.286,14,4,10,.286,0,0,0,
wetzejo01,John Wetzel,13,10,3,.769,13,10,3,.769,0,0,0,
ogdenbu01,Bud Ogden,13,6,7,.462,12,6,6,.500,1,0,1,.000
hoskebi01,Bill Hosket,12,3,9,.250,12,3,9,.250,0,0,0,
willisa01,Sam Williams,12,6,6,.500,10,5,5,.500,2,1,1,.500
joneswa02,Wali Jones,11,5,6,.455,10,5,5,.500,1,0,1,.000
arthujo01,John Arthurs,10,5,5,.500,10,5,5,.500,0,0,0,
warneco01,Cornell Warner,9,3,6,.333,9,3,6,.333,0,0,0,
