id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
milesed01,Eddie Miles,10,2,8,.200,10,2,8,.200,0,0,0,
bellawa01,Walt Bellamy,10,2,8,.200,10,2,8,.200,0,0,0,
mclemmc01,McCoy McLemore,10,2,8,.200,10,2,8,.200,0,0,0,
walkeji01,Jimmy Walker,10,2,8,.200,10,2,8,.200,0,0,0,
mooreot01,Otto Moore,10,2,8,.200,10,2,8,.200,0,0,0,
komivho01,Howard Komives*,10,2,8,.200,10,2,8,.200,0,0,0,
dischte01,Terry Dischinger,9,2,7,.222,9,2,7,.222,0,0,0,
longpa01,Paul Long*,8,1,7,.125,8,1,7,.125,0,0,0,
mueller01,Erwin Mueller,7,1,6,.143,7,1,6,.143,0,0,0,
hairsha01,Happy Hairston,6,1,5,.167,6,1,5,.167,0,0,0,
bingda01,Dave Bing,5,1,4,.200,5,1,4,.200,0,0,0,
hewitbi01,Bill Hewitt,4,1,3,.250,4,1,3,.250,0,0,0,
