id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
griffaj01,AJ Griffin,16,10,6,.625,16,10,6,.625,0,0,0,
holidaa01,Aaron Holiday*,16,10,6,.625,16,10,6,.625,0,0,0,
okongon01,Onyeka Okongwu*,16,10,6,.625,16,10,6,.625,0,0,0,
johnsja05,Jalen Johnson*,16,10,6,.625,16,10,6,.625,0,0,0,
krejcvi01,Vit Krejci,15,9,6,.600,15,9,6,.600,0,0,0,
collijo01,John Collins*,13,9,4,.692,13,9,4,.692,0,0,0,
murrade01,Dejounte Murray*,13,9,4,.692,13,9,4,.692,0,0,0,
huntede01,De'Andre Hunter*,13,8,5,.615,13,8,5,.615,0,0,0,
youngtr01,Trae Young*,12,8,4,.667,12,8,4,.667,0,0,0,
capelca01,Clint Capela*,12,9,3,.750,12,9,3,.750,0,0,0,
forretr01,Trent Forrest,11,5,6,.455,11,5,6,.455,0,0,0,
kaminfr01,Frank Kaminsky,10,6,4,.600,10,6,4,.600,0,0,0,
holidju01,Justin Holiday*,9,4,5,.444,9,4,5,.444,0,0,0,
bogdabo01,Bogdan Bogdanović*,6,5,1,.833,6,5,1,.833,0,0,0,
culveja01,Jarrett Culver,4,3,1,.750,4,3,1,.750,0,0,0,
beysa01,Saddiq Bey*,3,2,1,.667,3,2,1,.667,0,0,0,
fernabr01,Bruno Fernando,3,2,1,.667,3,2,1,.667,0,0,0,
mathega01,Garrison Mathews*,2,1,1,.500,2,1,1,.500,0,0,0,
willido02,Donovan Williams,2,1,1,.500,2,1,1,.500,0,0,0,
