id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
murrala01,Lamond Murray,23,2,21,.087,23,2,21,.087,0,0,0,
martida01,Darrick Martin,23,2,21,.087,23,2,21,.087,0,0,0,
robinja02,James Robinson,21,2,19,.095,21,2,19,.095,0,0,0,
vrankst01,Stojko Vranković,21,2,19,.095,21,2,19,.095,0,0,0,
richapo01,Pooh Richardson,21,2,19,.095,21,2,19,.095,0,0,0,
rogerro01,Rodney Rogers,20,2,18,.100,20,2,18,.100,0,0,0,
wrighlo02,Lorenzen Wright,19,2,17,.105,19,2,17,.105,0,0,0,
tayloma01,Maurice Taylor,19,2,17,.105,19,2,17,.105,0,0,0,
closske01,Keith Closs,18,2,16,.111,18,2,16,.111,0,0,0,
piatker01,Eric Piatkowski,14,1,13,.071,14,1,13,.071,0,0,0,
smithch04,Charles Smith,11,1,10,.091,11,1,10,.091,0,0,0,
barrybr01,Brent Barry,10,1,9,.100,10,1,9,.100,0,0,0,
austiis01,Isaac Austin,8,1,7,.125,8,1,7,.125,0,0,0,
