id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnsch01,Charles Johnson*,439,260,179,.592,393,234,159,.595,46,26,20,.565
mullije01,Jeff Mullins*,372,211,161,.567,321,181,140,.564,51,30,21,.588
johnsge02,George Johnson,359,214,145,.596,320,191,129,.597,39,23,16,.590
raycl01,Clifford Ray,354,214,140,.605,314,190,124,.605,40,24,16,.600
smithph01,Phil Smith,353,211,142,.598,314,187,127,.596,39,24,15,.615
dudlech01,Charles Dudley,336,203,133,.604,300,181,119,.603,36,22,14,.611
dickede01,Derrek Dickey,315,191,124,.606,288,173,115,.601,27,18,9,.667
thurmna01,Nate Thurmond,300,160,140,.533,274,146,128,.533,26,14,12,.538
wilkeja01,Jamaal Wilkes,274,170,104,.620,234,146,88,.624,40,24,16,.600
leecl01,Clyde Lee,213,118,95,.554,191,107,84,.560,22,11,11,.500
paultbi01,Billy Paultz*,194,94,100,.485,164,82,82,.500,30,12,18,.400
willigu01,Gus Williams,176,111,65,.631,155,99,56,.639,21,12,9,.571
ellisjo01,Joe Ellis,174,87,87,.500,161,83,78,.516,13,4,9,.308
beardbu01,Butch Beard,174,99,75,.569,157,87,70,.554,17,12,5,.706
russeca01,Cazzie Russell,171,94,77,.550,160,89,71,.556,11,5,6,.455
barneji02,Jim Barnett,168,90,78,.536,157,85,72,.541,11,5,6,.455
parisro01,Robert Parish,166,89,77,.536,156,84,72,.538,10,5,5,.500
meschto01,Tom Meschery,164,80,84,.488,149,71,78,.477,15,9,6,.600
attleal01,Al Attles,161,79,82,.491,146,70,76,.479,15,9,6,.600
malonmo01,Moses Malone,160,81,79,.506,152,80,72,.526,8,1,7,.125
taylool01,Ollie Taylor,159,82,77,.516,135,71,64,.526,24,11,13,.458
murphca01,Calvin Murphy,157,81,76,.516,149,80,69,.537,8,1,7,.125
neumapa01,Paul Neumann,156,79,77,.506,141,70,71,.496,15,9,6,.600
reidro01,Robert Reid,154,78,76,.506,146,77,69,.527,8,1,7,.125
