id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
shawbr01,Brian Shaw,78,43,35,.551,78,43,35,.551,0,0,0,
anderni01,Nick Anderson,56,37,19,.661,56,37,19,.661,0,0,0,
scottde01,Dennis Scott,54,35,19,.648,54,35,19,.648,0,0,0,
grantho01,Horace Grant,53,34,19,.642,53,34,19,.642,0,0,0,
hardaan01,Anfernee Hardaway,49,34,15,.694,49,34,15,.694,0,0,0,
armstda01,Darrell Armstrong,42,22,20,.524,42,22,20,.524,0,0,0,
seikaro01,Rony Seikaly,38,19,19,.500,37,19,18,.514,1,0,1,.000
stronde01,Derek Strong,35,17,18,.486,35,17,18,.486,0,0,0,
wilkige01,Gerald Wilkins,34,16,18,.471,34,16,18,.471,0,0,0,
royaldo01,Donald Royal,28,21,7,.750,28,21,7,.750,0,0,0,
evansbr01,Brian Evans,27,14,13,.519,26,14,12,.538,1,0,1,.000
bowiean01,Anthony Bowie,27,19,8,.704,27,19,8,.704,0,0,0,
gillke01,Kendall Gill,26,12,14,.462,25,12,13,.480,1,0,1,.000
kittlke01,Kerry Kittles,26,12,14,.462,25,12,13,.480,1,0,1,.000
harrilu01,Lucious Harris,25,11,14,.440,24,11,13,.458,1,0,1,.000
dampier01,Erick Dampier,22,7,15,.318,22,7,15,.318,0,0,0,
wolfjo01,Joe Wolf,22,16,6,.727,22,16,6,.727,0,0,0,
onealsh01,Shaquille O'Neal,22,15,7,.682,22,15,7,.682,0,0,0,
marshdo01,Donyell Marshall,22,7,15,.318,22,7,15,.318,0,0,0,
vanhoke01,Keith Van Horn,21,11,10,.524,20,11,9,.550,1,0,1,.000
spencfe01,Felton Spencer,20,7,13,.350,20,7,13,.350,0,0,0,
smithjo02,Joe Smith,20,6,14,.300,20,6,14,.300,0,0,0,
delkto01,Tony Delk,20,6,14,.300,20,6,14,.300,0,0,0,
koncajo01,Jon Koncak,20,17,3,.850,20,17,3,.850,0,0,0,
schayda01,Danny Schayes,19,8,11,.421,19,8,11,.421,0,0,0,
colesbi01,Bimbo Coles,18,7,11,.389,18,7,11,.389,0,0,0,
gatlich01,Chris Gatling,16,8,8,.500,15,8,7,.533,1,0,1,.000
boguemu01,Muggsy Bogues,16,7,9,.438,16,7,9,.438,0,0,0,
douglsh01,Sherman Douglas,16,8,8,.500,15,8,7,.533,1,0,1,.000
fulleto02,Todd Fuller,15,3,12,.200,15,3,12,.200,0,0,0,
foylead01,Adonal Foyle,15,3,12,.200,15,3,12,.200,0,0,0,
cassesa01,Sam Cassell,15,7,8,.467,14,7,7,.500,1,0,1,.000
thompbr01,Brooks Thompson,14,10,4,.714,14,10,4,.714,0,0,0,
cagemi01,Michael Cage,12,7,5,.583,12,7,5,.583,0,0,0,
ferredu01,Duane Ferrell,12,4,8,.333,12,4,8,.333,0,0,0,
turneje01,Jeff Turner,12,6,6,.500,12,6,6,.500,0,0,0,
marbust01,Stephon Marbury,10,4,6,.400,10,4,6,.400,0,0,0,
mccasam01,Amal McCaskill,10,3,7,.300,10,3,7,.300,0,0,0,
perryel01,Elliot Perry,10,4,6,.400,10,4,6,.400,0,0,0,
hendrma01,Mark Hendrickson,10,4,6,.400,10,4,6,.400,0,0,0,
feickja01,Jamie Feick,10,4,6,.400,10,4,6,.400,0,0,0,
burresc01,Scott Burrell,10,6,4,.600,10,6,4,.600,0,0,0,
carrch01,Chris Carr,9,4,5,.444,9,4,5,.444,0,0,0,
sprewla01,Latrell Sprewell,6,1,5,.167,6,1,5,.167,0,0,0,
willibr01,Brandon Williams,6,2,4,.333,6,2,4,.333,0,0,0,
simpkdi01,Dickey Simpkins,5,0,5,.000,5,0,5,.000,0,0,0,
smithke01,Kenny Smith,4,1,3,.250,4,1,3,.250,0,0,0,
kukocto01,Toni Kukoč,3,3,0,1.000,3,3,0,1.000,0,0,0,
kleinjo01,Joe Kleine,3,3,0,1.000,3,3,0,1.000,0,0,0,
rodmade01,Dennis Rodman,3,3,0,1.000,3,3,0,1.000,0,0,0,
pippesc01,Scottie Pippen,3,3,0,1.000,3,3,0,1.000,0,0,0,
harpero01,Ron Harper,3,3,0,1.000,3,3,0,1.000,0,0,0,
macledo01,Don MacLean,3,2,1,.667,3,2,1,.667,0,0,0,
jordami01,Michael Jordan,3,3,0,1.000,3,3,0,1.000,0,0,0,
buechju01,Jud Buechler,3,3,0,1.000,3,3,0,1.000,0,0,0,
wennibi01,Bill Wennington,3,3,0,1.000,3,3,0,1.000,0,0,0,
dempsde01,Dell Demps,2,0,2,.000,2,0,2,.000,0,0,0,
haleyja01,Jack Haley,2,0,2,.000,2,0,2,.000,0,0,0,
brownra02,Randy Brown,2,2,0,1.000,2,2,0,1.000,0,0,0,
longllu01,Luc Longley,2,2,0,1.000,2,2,0,1.000,0,0,0,
hammige01,Geert Hammink,2,1,1,.500,2,1,1,.500,0,0,0,
willija01,Jayson Williams,1,0,1,.000,0,0,0,,1,0,1,.000
cunniwi01,William Cunningham,1,0,1,.000,1,0,1,.000,0,0,0,
