id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
spectar01,Art Spector*,100,35,65,.350,97,34,63,.351,3,1,2,.333
ehlerbu01,Bulbs Ehlers,91,32,59,.352,91,32,59,.352,0,0,0,
riebeme01,Mel Riebe,79,28,51,.354,76,27,49,.355,3,1,2,.333
seminji01,Jim Seminoff,54,21,33,.389,54,21,33,.389,0,0,0,
noszkst01,Stan Noszka*,53,14,39,.264,50,13,37,.260,3,1,2,.333
garfija01,Jack Garfinkel*,50,19,31,.380,47,18,29,.383,3,1,2,.333
sadowed01,Ed Sadowski,45,15,30,.333,42,14,28,.333,3,1,2,.333
dollbo01,Bob Doll,44,15,29,.341,44,15,29,.341,0,0,0,
mariasa01,Saul Mariaschin,42,15,27,.357,39,14,25,.359,3,1,2,.333
bachjo01,Johnny Bach,34,11,23,.324,34,11,23,.324,0,0,0,
halbech01,Chick Halbert,33,12,21,.364,33,12,21,.364,0,0,0,
simmoco01,Connie Simmons*,28,9,19,.321,28,9,19,.321,0,0,0,
kellyto01,Tom Kelly,27,7,20,.259,27,7,20,.259,0,0,0,
roberbi01,Bill Roberts*,26,6,20,.231,26,6,20,.231,0,0,0,
munroge01,George Munroe*,25,7,18,.280,22,6,16,.273,3,1,2,.333
kubiale01,Leo Kubiak,25,10,15,.400,25,10,15,.400,0,0,0,
boykoha01,Harry Boykoff,25,10,15,.400,25,10,15,.400,0,0,0,
smileja01,Jack Smiley,25,10,15,.400,25,10,15,.400,0,0,0,
seewa01,Wayne See*,25,10,15,.400,25,10,15,.400,0,0,0,
payakjo01,Johnny Payak*,25,10,15,.400,25,10,15,.400,0,0,0,
bovendo01,Don Boven*,25,10,15,.400,25,10,15,.400,0,0,0,
mehendi01,Dick Mehen*,25,10,15,.400,25,10,15,.400,0,0,0,
nostrge01,George Nostrand,23,9,14,.391,23,9,14,.391,0,0,0,
mikkeve01,Vern Mikkelsen*,22,16,6,.727,22,16,6,.727,0,0,0,
schaehe01,Herm Schaefer*,22,16,6,.727,22,16,6,.727,0,0,0,
mikange01,George Mikan*,22,16,6,.727,22,16,6,.727,0,0,0,
martisl01,Slater Martin*,21,15,6,.714,21,15,6,.714,0,0,0,
pollaji01,Jim Pollard*,21,15,6,.714,21,15,6,.714,0,0,0,
carlsdo01,Don Carlson,21,15,6,.714,21,15,6,.714,0,0,0,
hankice01,Cecil Hankins,21,8,13,.381,21,8,13,.381,0,0,0,
harribo02,Bob Harrison*,21,15,6,.714,21,15,6,.714,0,0,0,
jarosto01,Tony Jaros*,20,14,6,.700,20,14,6,.700,0,0,0,
walthpa01,Paul Walther*,20,14,6,.700,20,14,6,.700,0,0,0,
ferriar01,Arnie Ferrin*,19,14,5,.737,19,14,5,.737,0,0,0,
hewsoja01,Jack Hewson*,19,8,11,.421,19,8,11,.421,0,0,0,
farbmph01,Phil Farbman*,18,8,10,.444,18,8,10,.444,0,0,0,
kaftage01,George Kaftan*,17,8,9,.471,17,8,9,.471,0,0,0,
kinnebo01,Bob Kinney*,17,8,9,.471,17,8,9,.471,0,0,0,
oconnde01,Dermie O'Connell*,17,8,9,.471,17,8,9,.471,0,0,0,
bloommi01,Mike Bloom*,16,6,10,.375,13,5,8,.385,3,1,2,.333
gaineel01,Elmer Gainer,14,7,7,.500,14,7,7,.500,0,0,0,
ezersjo01,Johnny Ezersky,14,7,7,.500,14,7,7,.500,0,0,0,
orrjo01,Johnny Orr*,12,5,7,.417,12,5,7,.417,0,0,0,
gibsoho01,Hoot Gibson*,11,3,8,.273,11,3,8,.273,0,0,0,
beendha01,Hank Beenders,9,5,4,.556,9,5,4,.556,0,0,0,
hazenjo01,John Hazen,6,1,5,.167,6,1,5,.167,0,0,0,
menkeke01,Ken Menke*,5,1,4,.200,5,1,4,.200,0,0,0,
hoefech01,Charlie Hoefer,5,2,3,.400,5,2,3,.400,0,0,0,
connoch01,Chuck Connors,4,1,3,.250,4,1,3,.250,0,0,0,
shannea01,Earl Shannon*,4,1,3,.250,4,1,3,.250,0,0,0,
hassebi01,Billy Hassett*,3,3,0,1.000,3,3,0,1.000,0,0,0,
janisjo01,John Janisch,3,0,3,.000,3,0,3,.000,0,0,0,
grantbu01,Bud Grant*,2,2,0,1.000,2,2,0,1.000,0,0,0,
lucasal01,Al Lucas,2,1,1,.500,2,1,1,.500,0,0,0,
glickno01,Normie Glick,1,1,0,1.000,1,1,0,1.000,0,0,0,
