id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
robbire01,Red Robbins*,11,2,9,.182,11,2,9,.182,0,0,0,
basseti01,Tim Bassett*,11,2,9,.182,11,2,9,.182,0,0,0,
willich02,Chuck Williams,11,2,9,.182,11,2,9,.182,0,0,0,
johnsst01,Stew Johnson*,11,2,9,.182,11,2,9,.182,0,0,0,
shephbi01,Billy Shepherd*,11,2,9,.182,11,2,9,.182,0,0,0,
moorege01,Gene Moore*,11,2,9,.182,11,2,9,.182,0,0,0,
lamarbo01,Bo Lamar*,11,2,9,.182,11,2,9,.182,0,0,0,
adamsge01,George Adams,8,2,6,.250,8,2,6,.250,0,0,0,
stovapa01,Paul Stovall,8,1,7,.125,8,1,7,.125,0,0,0,
jonesca01,Caldwell Jones*,7,1,6,.143,7,1,6,.143,0,0,0,
millela01,Larry Miller,3,1,2,.333,3,1,2,.333,0,0,0,
