id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bowenbr01,Bruce Bowen,16,14,2,.875,16,14,2,.875,0,0,0,
mohamna01,Nazr Mohammed,16,14,2,.875,16,14,2,.875,0,0,0,
nestera01,Rasho Nesterović,16,14,2,.875,16,14,2,.875,0,0,0,
duncati01,Tim Duncan,15,13,2,.867,15,13,2,.867,0,0,0,
udrihbe01,Beno Udrih,14,13,1,.929,14,13,1,.929,0,0,0,
obertfa01,Fabricio Oberto,14,12,2,.857,14,12,2,.857,0,0,0,
parketo01,Tony Parker,14,12,2,.857,14,12,2,.857,0,0,0,
ginobma01,Manu Ginóbili,12,10,2,.833,12,10,2,.833,0,0,0,
horryro01,Robert Horry,12,10,2,.833,12,10,2,.833,0,0,0,
vanexni01,Nick Van Exel,12,10,2,.833,12,10,2,.833,0,0,0,
barrybr01,Brent Barry,11,10,1,.909,11,10,1,.909,0,0,0,
finlemi01,Michael Finley,11,10,1,.909,11,10,1,.909,0,0,0,
marksse01,Sean Marks,8,7,1,.875,8,7,1,.875,0,0,0,
