id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hillgr01,Grant Hill,406,213,193,.525,392,209,183,.533,14,4,10,.286
millste01,Terry Mills,366,174,192,.475,356,172,184,.483,10,2,8,.200
dumarjo01,Joe Dumars,354,178,176,.503,342,174,168,.509,12,4,8,.333
princta01,Tayshaun Prince,305,205,100,.672,215,151,64,.702,90,54,36,.600
billuch01,Chauncey Billups,290,196,94,.676,202,144,58,.713,88,52,36,.591
hamilri01,Richard Hamilton,283,192,91,.678,193,138,55,.715,90,54,36,.600
wallara01,Rasheed Wallace,281,191,90,.680,191,137,54,.717,90,54,36,.600
willije01,Jerome Williams,269,126,143,.468,260,124,136,.477,9,2,7,.222
reiddo01,Don Reid,252,139,113,.552,245,137,108,.559,7,2,5,.286
mcdyean01,Antonio McDyess,243,162,81,.667,176,124,52,.705,67,38,29,.567
currymi01,Michael Curry,209,120,89,.574,202,120,82,.594,7,0,7,.000
houstal01,Allan Houston,197,75,122,.381,195,75,120,.385,2,0,2,.000
wallabe01,Ben Wallace,196,132,64,.673,130,91,39,.700,66,41,25,.621
ratlith01,Theo Ratliff,192,113,79,.589,179,108,71,.603,13,5,8,.385
stackje01,Jerry Stackhouse,177,87,90,.492,169,85,84,.503,8,2,6,.250
thorpot01,Otis Thorpe,166,99,67,.596,159,97,62,.610,7,2,5,.286
hamda01,Darvin Ham,147,94,53,.639,97,62,35,.639,50,32,18,.640
delfica01,Carlos Delfino,125,83,42,.664,104,70,34,.673,21,13,8,.619
delebi01,Bison Dele,121,60,61,.496,116,58,58,.500,5,2,3,.400
montrer01,Eric Montross,120,63,57,.525,113,61,52,.540,7,2,5,.286
buechju01,Jud Buechler,115,61,54,.530,107,59,48,.551,8,2,6,.250
laettch01,Christian Laettner,106,57,49,.538,98,55,43,.561,8,2,6,.250
johnser02,Ervin Johnson,100,62,38,.620,82,52,30,.634,18,10,8,.556
allenra02,Ray Allen,100,62,38,.620,82,52,30,.634,18,10,8,.556
foxri01,Rick Fox,100,72,28,.720,82,58,24,.707,18,14,4,.778
georgde01,Devean George,100,72,28,.720,82,58,24,.707,18,14,4,.778
horryro01,Robert Horry,99,72,27,.727,81,58,23,.716,18,14,4,.778
longgr01,Grant Long,99,55,44,.556,94,53,41,.564,5,2,3,.400
bryanko01,Kobe Bryant,98,70,28,.714,80,56,24,.700,18,14,4,.778
thomati01,Tim Thomas,98,60,38,.612,79,50,29,.633,19,10,9,.526
maxieja01,Jason Maxiell,95,64,31,.674,72,52,20,.722,23,12,11,.522
