id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
clarkjo01,Jordan Clarkson,6,1,5,.167,6,1,5,.167,0,0,0,
randlju01,Julius Randle,5,1,4,.200,5,1,4,.200,0,0,0,
breweco01,Corey Brewer,5,1,4,.200,5,1,4,.200,0,0,0,
ingrabr01,Brandon Ingram*,5,1,4,.200,5,1,4,.200,0,0,0,
kuzmaky01,Kyle Kuzma*,5,1,4,.200,5,1,4,.200,0,0,0,
balllo01,Lonzo Ball,4,1,3,.250,4,1,3,.250,0,0,0,
lopezbr01,Brook Lopez,4,1,3,.250,4,1,3,.250,0,0,0,
caldwke01,Kentavious Caldwell-Pope*,4,1,3,.250,4,1,3,.250,0,0,0,
anthojo01,Joel Anthony,3,1,2,.333,3,1,2,.333,0,0,0,
ennisty01,Tyler Ennis,3,0,3,.000,3,0,3,.000,0,0,0,
wallage01,Gerald Wallace,3,1,2,.333,3,1,2,.333,0,0,0,
olynyke01,Kelly Olynyk,3,1,2,.333,3,1,2,.333,0,0,0,
bassbr01,Brandon Bass,3,1,2,.333,3,1,2,.333,0,0,0,
johnsch04,Chris Johnson,3,1,2,.333,3,1,2,.333,0,0,0,
greenje02,Jeff Green,3,1,2,.333,3,1,2,.333,0,0,0,
bogutan01,Andrew Bogut,3,1,2,.333,3,1,2,.333,0,0,0,
pressph01,Phil Pressey,3,1,2,.333,3,1,2,.333,0,0,0,
humphkr01,Kris Humphries,3,1,2,.333,3,1,2,.333,0,0,0,
sullija01,Jared Sullinger,3,1,2,.333,3,1,2,.333,0,0,0,
hartjo01,Josh Hart,2,0,2,.000,2,0,2,.000,0,0,0,
blackta01,Tarik Black,2,0,2,.000,2,0,2,.000,0,0,0,
kellyry01,Ryan Kelly,2,0,2,.000,2,0,2,.000,0,0,0,
davised01,Ed Davis,2,0,2,.000,2,0,2,.000,0,0,0,
brownja01,Jabari Brown,2,0,2,.000,2,0,2,.000,0,0,0,
rondora01,Rajon Rondo*,2,0,2,.000,2,0,2,.000,0,0,0,
hilljo01,Jordan Hill,2,0,2,.000,2,0,2,.000,0,0,0,
favervi01,Vítor Luiz Faverani,2,0,2,.000,2,0,2,.000,0,0,0,
boozeca01,Carlos Boozer,2,0,2,.000,2,0,2,.000,0,0,0,
zubaciv01,Ivica Zubac*,2,0,2,.000,2,0,2,.000,0,0,0,
bayleje01,Jerryd Bayless,1,0,1,.000,1,0,1,.000,0,0,0,
sacrero01,Robert Sacre,1,0,1,.000,1,0,1,.000,0,0,0,
nancela02,Larry Nance Jr.*,1,0,1,.000,1,0,1,.000,0,0,0,
carusal01,Alex Caruso*,1,0,1,.000,1,0,1,.000,0,0,0,
