id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
dienggo01,Gorgui Dieng*,13,7,6,.538,13,7,6,.538,0,0,0,
townska01,Karl-Anthony Towns*,13,7,6,.538,13,7,6,.538,0,0,0,
okogijo01,Josh Okogie*,13,7,6,.538,13,7,6,.538,0,0,0,
gibsota01,Taj Gibson,13,7,6,.538,13,7,6,.538,0,0,0,
jonesty01,Tyus Jones*,12,6,6,.500,12,6,6,.500,0,0,0,
tollian01,Anthony Tolliver*,12,6,6,.500,12,6,6,.500,0,0,0,
wiggian01,Andrew Wiggins*,11,7,4,.636,11,7,4,.636,0,0,0,
rosede01,Derrick Rose,10,6,4,.600,10,6,4,.600,0,0,0,
youngth01,Thaddeus Young,9,1,8,.111,9,1,8,.111,0,0,0,
lewiski01,Kira Lewis Jr.*,9,3,6,.333,9,3,6,.333,0,0,0,
thompho01,Hollis Thompson,9,1,8,.111,9,1,8,.111,0,0,0,
cartemi01,Michael Carter-Williams,9,1,8,.111,9,1,8,.111,0,0,0,
hayesja02,Jaxson Hayes*,9,3,6,.333,9,3,6,.333,0,0,0,
varnaja01,Jarvis Varnado,9,1,8,.111,9,1,8,.111,0,0,0,
simshe01,Henry Sims,9,1,8,.111,9,1,8,.111,0,0,0,
bledser01,Eric Bledsoe,9,3,6,.333,9,3,6,.333,0,0,0,
williel01,Elliot Williams,9,1,8,.111,9,1,8,.111,0,0,0,
marshna01,Naji Marshall*,9,3,6,.333,9,3,6,.333,0,0,0,
teaguje01,Jeff Teague,8,5,3,.625,8,5,3,.625,0,0,0,
saricda01,Dario Šarić*,8,6,2,.750,8,6,2,.750,0,0,0,
johnsja01,James Johnson,7,1,6,.143,7,1,6,.143,0,0,0,
anderja01,James Anderson,7,1,6,.143,7,1,6,.143,0,0,0,
daviebr01,Brandon Davies,6,1,5,.167,6,1,5,.167,0,0,0,
ingrabr01,Brandon Ingram*,6,3,3,.500,6,3,3,.500,0,0,0,
wroteto01,Tony Wroten,6,1,5,.167,6,1,5,.167,0,0,0,
hernawi01,Willy Hernangómez,6,2,4,.333,6,2,4,.333,0,0,0,
gabriwe01,Wenyen Gabriel*,6,2,4,.333,6,2,4,.333,0,0,0,
willizi01,Zion Williamson,6,3,3,.500,6,3,3,.500,0,0,0,
covinro01,Robert Covington*,6,5,1,.833,6,5,1,.833,0,0,0,
mulleby01,Byron Mullens,6,0,6,.000,6,0,6,.000,0,0,0,
balllo01,Lonzo Ball,5,3,2,.600,5,3,2,.600,0,0,0,
iwundwe01,Wes Iwundu,5,2,3,.400,5,2,3,.400,0,0,0,
ayongu01,Gustavo Ayón,4,2,2,.500,4,2,2,.500,0,0,0,
denglu01,Luol Deng,4,2,2,.500,4,2,2,.500,0,0,0,
schrode01,Dennis Schröder*,4,2,2,.500,4,2,2,.500,0,0,0,
willicj01,C.J. Williams,4,1,3,.250,4,1,3,.250,0,0,0,
scottmi01,Mike Scott,4,2,2,.500,4,2,2,.500,0,0,0,
macksh01,Shelvin Mack,4,2,2,.500,4,2,2,.500,0,0,0,
brandel01,Elton Brand,4,2,2,.500,4,2,2,.500,0,0,0,
millspa01,Paul Millsap,4,2,2,.500,4,2,2,.500,0,0,0,
willilo02,Lou Williams,4,2,2,.500,4,2,2,.500,0,0,0,
adamsst01,Steven Adams,4,2,2,.500,4,2,2,.500,0,0,0,
korveky01,Kyle Korver,4,2,2,.500,4,2,2,.500,0,0,0,
wareca01,Casper Ware,4,1,3,.250,4,1,3,.250,0,0,0,
bayleje01,Jerryd Bayless,3,1,2,.333,3,1,2,.333,0,0,0,
butleji01,Jimmy Butler*,3,0,3,.000,3,0,3,.000,0,0,0,
alexani01,Nickeil Alexander-Walker*,3,0,3,.000,3,0,3,.000,0,0,0,
louzama01,Didi Louzada,3,0,3,.000,3,0,3,.000,0,0,0,
clarkga01,Gary Clark,2,1,1,.500,2,1,1,.500,0,0,0,
greenge01,Gerald Green,2,1,1,.500,2,1,1,.500,0,0,0,
carrode01,DeMarre Carroll,2,2,0,1.000,2,2,0,1.000,0,0,0,
bateske01,Keita Bates-Diop*,2,0,2,.000,2,0,2,.000,0,0,0,
terreja01,Jared Terrell,2,0,2,.000,2,0,2,.000,0,0,0,
hardeja01,James Harden,2,1,1,.500,2,1,1,.500,0,0,0,
riverau01,Austin Rivers*,2,1,1,.500,2,1,1,.500,0,0,0,
johnsda03,Darius Johnson-Odom,2,0,2,.000,2,0,2,.000,0,0,0,
cunnija01,Jared Cunningham,2,2,0,1.000,2,2,0,1.000,0,0,0,
tuckepj01,P.J. Tucker,2,1,1,.500,2,1,1,.500,0,0,0,
hilarne01,Nenê,2,1,1,.500,2,1,1,.500,0,0,0,
gordoer01,Eric Gordon,2,1,1,.500,2,1,1,.500,0,0,0,
chrisma01,Marquese Chriss,1,0,1,.000,1,0,1,.000,0,0,0,
ennisja01,James Ennis III,1,1,0,1.000,1,1,0,1.000,0,0,0,
anticpe01,Pero Antić,1,0,1,.000,1,0,1,.000,0,0,0,
