id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
turnehe01,Herschell Turner*,1,0,1,.000,1,0,1,.000,0,0,0,
thomawi01,Willis Thomas*,1,0,1,.000,1,0,1,.000,0,0,0,
warlebe01,Ben Warley*,1,0,1,.000,1,0,1,.000,0,0,0,
faircjo01,John Fairchild*,1,0,1,.000,1,0,1,.000,0,0,0,
bedelbo01,Bob Bedell*,1,0,1,.000,1,0,1,.000,0,0,0,
garnebi01,Bill Garner*,1,0,1,.000,1,0,1,.000,0,0,0,
daviswa02,Warren Davis*,1,0,1,.000,1,0,1,.000,0,0,0,
selvale01,Les Selvage*,1,0,1,.000,1,0,1,.000,0,0,0,
stollra01,Randy Stoll*,1,0,1,.000,1,0,1,.000,0,0,0,
buncela01,Larry Bunce*,1,0,1,.000,1,0,1,.000,0,0,0,
chubist01,Steve Chubin,1,0,1,.000,1,0,1,.000,0,0,0,
