id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
ferraal01,Al Ferrari*,46,16,30,.348,46,16,30,.348,0,0,0,
lacoufr01,Fred LaCour,44,14,30,.318,44,14,30,.318,0,0,0,
hagancl01,Cliff Hagan*,44,15,29,.341,44,15,29,.341,0,0,0,
pettibo01,Bob Pettit*,44,16,28,.364,44,16,28,.364,0,0,0,
cableba01,Barney Cable*,38,13,25,.342,38,13,25,.342,0,0,0,
mcmilsh01,Shellie McMillon*,37,13,24,.351,37,13,24,.351,0,0,0,
foustla01,Larry Foust*,30,12,18,.400,30,12,18,.400,0,0,0,
hillcl01,Cleo Hill,27,7,20,.259,27,7,20,.259,0,0,0,
larusru01,Rudy LaRusso,19,13,6,.684,19,13,6,.684,0,0,0,
felixra01,Ray Felix*,19,13,6,.684,19,13,6,.684,0,0,0,
selvyfr01,Frank Selvy*,19,13,6,.684,19,13,6,.684,0,0,0,
bayloel01,Elgin Baylor,19,13,6,.684,19,13,6,.684,0,0,0,
hawkito01,Tom Hawkins*,18,12,6,.667,18,12,6,.667,0,0,0,
krebsji01,Jim Krebs*,18,12,6,.667,18,12,6,.667,0,0,0,
jolifho01,Howie Jolliff*,18,12,6,.667,18,12,6,.667,0,0,0,
hattove01,Vern Hatton*,17,5,12,.294,17,5,12,.294,0,0,0,
westje01,Jerry West,17,12,5,.706,17,12,5,.706,0,0,0,
hundlho01,Hot Rod Hundley*,17,11,6,.647,17,11,6,.647,0,0,0,
wilkele01,Lenny Wilkens,14,7,7,.500,14,7,7,.500,0,0,0,
lovelcl01,Clyde Lovellette*,12,3,9,.250,12,3,9,.250,0,0,0,
yateswa01,Wayne Yates*,8,5,3,.625,8,5,3,.625,0,0,0,
arcenst01,Stacey Arceneaux,5,3,2,.600,5,3,2,.600,0,0,0,
smithbo01,Bobby Smith,3,3,0,1.000,3,3,0,1.000,0,0,0,
bedelbo01,Bob Bedell*,2,0,2,.000,2,0,2,.000,0,0,0,
buncela01,Larry Bunce*,2,0,2,.000,2,0,2,.000,0,0,0,
selvale01,Les Selvage*,2,0,2,.000,2,0,2,.000,0,0,0,
thomawi01,Willis Thomas*,2,0,2,.000,2,0,2,.000,0,0,0,
warlebe01,Ben Warley*,2,0,2,.000,2,0,2,.000,0,0,0,
allenbi01,Bill Allen*,2,0,2,.000,2,0,2,.000,0,0,0,
chubist01,Steve Chubin,2,0,2,.000,2,0,2,.000,0,0,0,
kramest01,Steve Kramer*,1,0,1,.000,1,0,1,.000,0,0,0,
turnehe01,Herschell Turner*,1,0,1,.000,1,0,1,.000,0,0,0,
faircjo01,John Fairchild*,1,0,1,.000,1,0,1,.000,0,0,0,
eichhdi01,Rich Eichhorst,1,0,1,.000,1,0,1,.000,0,0,0,
