id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
willike01,Kevin Williams,4,1,3,.250,4,1,3,.250,0,0,0,
turpime01,Melvin Turpin,4,1,3,.250,4,1,3,.250,0,0,0,
freewo01,World B. Free,4,1,3,.250,4,1,3,.250,0,0,0,
hubbaph01,Phil Hubbard,4,1,3,.250,4,1,3,.250,0,0,0,
sheltlo01,Lonnie Shelton,4,1,3,.250,4,1,3,.250,0,0,0,
westma01,Mark West,4,1,3,.250,4,1,3,.250,0,0,0,
hinsoro01,Roy Hinson,4,1,3,.250,4,1,3,.250,0,0,0,
poquebe01,Ben Poquette,4,1,3,.250,4,1,3,.250,0,0,0,
baglejo01,John Bagley,4,1,3,.250,4,1,3,.250,0,0,0,
thomppa01,Paul Thompson,2,0,2,.000,2,0,2,.000,0,0,0,
davisjo01,Johnny Davis,2,1,1,.500,2,1,1,.500,0,0,0,
anderro01,Ron Anderson,1,1,0,1.000,1,1,0,1.000,0,0,0,
