id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
carrau01,Austin Carr,382,196,186,.513,364,189,175,.519,18,7,11,.389
russeca02,Campy Russell,368,186,182,.505,350,179,171,.511,18,7,11,.389
smithbi02,Bingo Smith*,363,185,178,.510,345,178,167,.516,18,7,11,.389
choneji01,Jim Chones,353,185,168,.524,341,180,161,.528,12,5,7,.417
breweji01,Jim Brewer,351,184,167,.524,334,177,157,.530,17,7,10,.412
lambejo01,John Lambert,302,151,151,.500,291,148,143,.509,11,3,8,.273
snydedi01,Dick Snyder,289,153,136,.529,272,146,126,.537,17,7,10,.412
cookda01,Darwin Cook,234,123,111,.526,230,121,109,.526,4,2,2,.500
gminsmi01,Mike Gminski,204,108,96,.529,200,106,94,.530,4,2,2,.500
cleamji01,Jim Cleamons,199,110,89,.553,186,104,82,.559,13,6,7,.462
willibu01,Buck Williams,193,111,82,.575,189,109,80,.577,4,2,2,.500
okoremi01,Mike O'Koren,190,93,97,.489,186,91,95,.489,4,2,2,.500
kingal01,Albert King,184,105,79,.571,180,103,77,.572,4,2,2,.500
elmorle01,Len Elmore,149,82,67,.550,147,82,65,.558,2,0,2,.000
mitchmi01,Mike Mitchell,129,59,70,.457,129,59,70,.457,0,0,0,
smithel01,Elmore Smith,127,63,64,.496,122,62,60,.508,5,1,4,.200
birdsot01,Otis Birdsong,119,67,52,.563,115,65,50,.565,4,2,2,.500
dawkida01,Darryl Dawkins,116,69,47,.595,112,67,45,.598,4,2,2,.500
thurmna01,Nate Thurmond,110,69,41,.627,96,62,34,.646,14,7,7,.500
willobi01,Bill Willoughby*,109,55,54,.505,107,53,54,.495,2,2,0,1.000
furlote01,Terry Furlow,94,47,47,.500,92,47,45,.511,2,0,2,.000
vanbrja01,Jan van Breda Kolff,90,40,50,.444,90,40,50,.444,0,0,0,
pattest01,Steve Patterson,85,37,48,.435,85,37,48,.435,0,0,0,
willira01,Ray Williams,77,42,35,.545,77,42,35,.545,0,0,0,
smithra01,Randy Smith,76,35,41,.461,76,35,41,.461,0,0,0,
robisda01,Dave Robisch*,76,35,41,.461,76,35,41,.461,0,0,0,
carrke01,Kenny Carr,73,35,38,.479,73,35,38,.479,0,0,0,
baileja01,James Bailey,69,41,28,.594,69,41,28,.594,0,0,0,
garrero01,Rowland Garrett,69,43,26,.623,65,41,24,.631,4,2,2,.500
wittelu01,Luke Witte,68,36,32,.529,61,33,28,.541,7,3,4,.429
davisdw01,Dwight Davis,68,30,38,.441,68,30,38,.441,0,0,0,
fostefr01,Fred Foster*,66,29,37,.439,66,29,37,.439,0,0,0,
richami01,Micheal Ray Richardson,60,33,27,.550,56,31,25,.554,4,2,2,.500
fraziwa01,Walt Frazier,58,30,28,.517,58,30,28,.517,0,0,0,
smithwi02,Willie Smith,56,27,29,.482,56,27,29,.482,0,0,0,
laceysa01,Sam Lacey*,51,27,24,.529,51,27,24,.529,0,0,0,
philled01,Eddie Phillips,48,27,21,.562,46,27,19,.587,2,0,2,.000
floydsl01,Sleepy Floyd,43,28,15,.651,43,28,15,.651,0,0,0,
johnsmi01,Mickey Johnson,42,27,15,.643,42,27,15,.643,0,0,0,
higgske01,Kenny Higgs,41,19,22,.463,41,19,22,.463,0,0,0,
newlimi01,Mike Newlin,40,12,28,.300,40,12,28,.300,0,0,0,
lucasma01,Maurice Lucas,37,12,25,.324,37,12,25,.324,0,0,0,
elliobo01,Bob Elliott,36,9,27,.250,36,9,27,.250,0,0,0,
ranseke01,Kelvin Ransey,35,21,14,.600,33,19,14,.576,2,2,0,1.000
johnsre01,Reggie Johnson,32,20,12,.625,30,18,12,.600,2,2,0,1.000
brokaga01,Gary Brokaw,32,15,17,.469,29,14,15,.483,3,1,2,.333
robincl01,Cliff Robinson,32,11,21,.344,32,11,21,.344,0,0,0,
moorelo01,Lowes Moore,31,10,21,.323,31,10,21,.323,0,0,0,
jordaed01,Eddie Jordan,30,14,16,.467,30,14,16,.467,0,0,0,
tatumea01,Earl Tatum,28,10,18,.357,28,10,18,.357,0,0,0,
davisha01,Harry Davis,27,10,17,.370,27,10,17,.370,0,0,0,
jonesed01,Edgar Jones,23,5,18,.217,23,5,18,.217,0,0,0,
forddo01,Don Ford,21,13,8,.619,21,13,8,.619,0,0,0,
leebu01,Butch Lee,19,7,12,.368,19,7,12,.368,0,0,0,
beardbu01,Butch Beard,15,6,9,.400,15,6,9,.400,0,0,0,
willich03,Chuckie Williams,12,9,3,.750,12,9,3,.750,0,0,0,
tolbera01,Ray Tolbert,11,2,9,.182,11,2,9,.182,0,0,0,
mcadobo01,Bob McAdoo,9,3,6,.333,9,3,6,.333,0,0,0,
howarmo01,Mo Howard,9,6,3,.667,9,6,3,.667,0,0,0,
woodsmi01,Mike Woodson,7,1,6,.143,7,1,6,.143,0,0,0,
fordph01,Phil Ford,7,4,3,.571,7,4,3,.571,0,0,0,
fernser01,Eric Fernsten,4,1,3,.250,4,1,3,.250,0,0,0,
burnsda01,David Burns,3,0,3,.000,3,0,3,.000,0,0,0,
kuczebr01,Bruce Kuczenski,1,1,0,1.000,1,1,0,1.000,0,0,0,
sparrro01,Rory Sparrow,1,0,1,.000,1,0,1,.000,0,0,0,
coopejo01,Joe Cooper,1,0,1,.000,1,0,1,.000,0,0,0,
