id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bellawa01,Walt Bellamy,12,4,8,.333,12,4,8,.333,0,0,0,
kojisdo01,Don Kojis*,12,4,8,.333,12,4,8,.333,0,0,0,
hardnch01,Charlie Hardnett*,12,4,8,.333,12,4,8,.333,0,0,0,
dischte01,Terry Dischinger,12,4,8,.333,12,4,8,.333,0,0,0,
cableba01,Barney Cable*,11,3,8,.273,11,3,8,.273,0,0,0,
johnsgu01,Gus Johnson,10,4,6,.400,10,4,6,.400,0,0,0,
thornro01,Rod Thorn*,9,4,5,.444,9,4,5,.444,0,0,0,
greensi01,Si Green*,8,4,4,.500,8,4,4,.500,0,0,0,
loughke01,Kevin Loughery,8,2,6,.250,8,2,6,.250,0,0,0,
stavela01,Larry Staverman,4,2,2,.500,4,2,2,.500,0,0,0,
mcgilbi01,Bill McGill,4,2,2,.500,4,2,2,.500,0,0,0,
shuege01,Gene Shue*,1,1,0,1.000,1,1,0,1.000,0,0,0,
stricro01,Roger Strickland,1,0,1,.000,1,0,1,.000,0,0,0,
peterme01,Mel Peterson*,1,1,0,1.000,1,1,0,1.000,0,0,0,
