id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
durenjo01,John Duren,62,12,50,.194,62,12,50,.194,0,0,0,
johnsge03,George Johnson,62,12,50,.194,62,12,50,.194,0,0,0,
cartebu01,Butch Carter,61,12,49,.197,61,12,49,.197,0,0,0,
kellocl01,Clark Kellogg,61,12,49,.197,61,12,49,.197,0,0,0,
knighbi01,Billy Knight,60,12,48,.200,60,12,48,.200,0,0,0,
byrnema01,Marty Byrnes,60,12,48,.200,60,12,48,.200,0,0,0,
willihe01,Herb Williams,58,11,47,.190,58,11,47,.190,0,0,0,
sichtje01,Jerry Sichting,58,12,46,.207,58,12,46,.207,0,0,0,
slaugjo01,Jose Slaughter,48,8,40,.167,48,8,40,.167,0,0,0,
johnscl01,Clemon Johnson,31,8,23,.258,31,8,23,.258,0,0,0,
schoeru01,Russ Schoene,31,4,27,.129,31,4,27,.129,0,0,0,
wedmasc01,Scott Wedman,10,0,10,.000,10,0,10,.000,0,0,0,
restake01,Kevin Restani,9,0,9,.000,9,0,9,.000,0,0,0,
mokespa01,Paul Mokeski,9,0,9,.000,9,0,9,.000,0,0,0,
hustoge01,Geoff Huston,9,0,9,.000,9,0,9,.000,0,0,0,
hubbaph01,Phil Hubbard,9,0,9,.000,9,0,9,.000,0,0,0,
wilkebo01,Bob Wilkerson,8,0,8,.000,8,0,8,.000,0,0,0,
morgagu01,Guy Morgan,8,0,8,.000,8,0,8,.000,0,0,0,
robincl01,Cliff Robinson,8,0,8,.000,8,0,8,.000,0,0,0,
brewero01,Ron Brewer,7,0,7,.000,7,0,7,.000,0,0,0,
edwarja01,James Edwards,7,0,7,.000,7,0,7,.000,0,0,0,
silasja01,James Silas*,4,0,4,.000,4,0,4,.000,0,0,0,
moorelo01,Lowes Moore,4,0,4,.000,4,0,4,.000,0,0,0,
herroke01,Keith Herron,4,0,4,.000,4,0,4,.000,0,0,0,
