id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hawessp01,Spencer Hawes,4,1,3,.250,2,1,1,.500,2,0,2,.000
meeksjo01,Jodie Meeks,4,1,3,.250,2,1,1,.500,2,0,2,.000
turneev01,Evan Turner,4,1,3,.250,2,1,1,.500,2,0,2,.000
allenla01,Lavoy Allen,4,1,3,.250,2,1,1,.500,2,0,2,.000
holidjr01,Jrue Holiday,3,1,2,.333,1,1,0,1.000,2,0,2,.000
youngsa01,Sam Young,3,1,2,.333,2,1,1,.500,1,0,1,.000
vucevni01,Nikola Vučević*,3,1,2,.333,2,1,1,.500,1,0,1,.000
baynear01,Aron Baynes,2,1,1,.500,2,1,1,.500,0,0,0,
roziete01,Terry Rozier*,2,1,1,.500,2,1,1,.500,0,0,0,
horfoal01,Al Horford,2,1,1,.500,2,1,1,.500,0,0,0,
willilo02,Lou Williams,2,0,2,.000,0,0,0,,2,0,2,.000
monrogr01,Greg Monroe,2,1,1,.500,2,1,1,.500,0,0,0,
youngth01,Thaddeus Young,2,0,2,.000,0,0,0,,2,0,2,.000
ojelese01,Semi Ojeleye*,2,1,1,.500,2,1,1,.500,0,0,0,
birdja01,Jabari Bird,2,1,1,.500,2,1,1,.500,0,0,0,
brownja02,Jaylen Brown,2,1,1,.500,2,1,1,.500,0,0,0,
tatumja01,Jayson Tatum*,2,1,1,.500,2,1,1,.500,0,0,0,
brackcr01,Craig Brackins,2,1,1,.500,2,1,1,.500,0,0,0,
allenka01,Kadeem Allen,2,1,1,.500,2,1,1,.500,0,0,0,
naderab01,Abdel Nader,2,1,1,.500,2,1,1,.500,0,0,0,
brandel01,Elton Brand,2,0,2,.000,0,0,0,,2,0,2,.000
battito01,Tony Battie,2,1,1,.500,2,1,1,.500,0,0,0,
iguodan01,Andre Iguodala,2,0,2,.000,0,0,0,,2,0,2,.000
morrima03,Marcus Morris*,2,1,1,.500,2,1,1,.500,0,0,0,
yabusgu01,Guerschon Yabusele,1,0,1,.000,1,0,1,.000,0,0,0,
