id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
satorto01,Tomáš Satoranský,8,1,7,.125,8,1,7,.125,0,0,0,
bealbr01,Bradley Beal*,8,1,7,.125,8,1,7,.125,0,0,0,
greenje02,Jeff Green,7,1,6,.143,7,1,6,.143,0,0,0,
browntr01,Troy Brown Jr.*,7,1,6,.143,7,1,6,.143,0,0,0,
bryanth01,Thomas Bryant,7,1,6,.143,7,1,6,.143,0,0,0,
mahinia01,Ian Mahinmi,6,1,5,.167,6,1,5,.167,0,0,0,
randlch01,Chasson Randle,5,1,4,.200,5,1,4,.200,0,0,0,
dekkesa01,Sam Dekker,5,1,4,.200,5,1,4,.200,0,0,0,
portibo01,Bobby Portis,3,0,3,.000,3,0,3,.000,0,0,0,
morrima02,Markieff Morris,3,0,3,.000,3,0,3,.000,0,0,0,
porteot01,Otto Porter Jr.,3,1,2,.333,3,1,2,.333,0,0,0,
oubreke01,Kelly Oubre Jr.*,3,0,3,.000,3,0,3,.000,0,0,0,
mcraejo01,Jordan McRae,2,1,1,.500,2,1,1,.500,0,0,0,
riverau01,Austin Rivers*,2,0,2,.000,2,0,2,.000,0,0,0,
arizatr01,Trevor Ariza,2,1,1,.500,2,1,1,.500,0,0,0,
walljo01,John Wall,2,0,2,.000,2,0,2,.000,0,0,0,
gortama01,Marcin Gortat,1,0,1,.000,1,0,1,.000,0,0,0,
fraziti01,Tim Frazier,1,0,1,.000,1,0,1,.000,0,0,0,
smithja02,Jason Smith,1,0,1,.000,1,0,1,.000,0,0,0,
scottmi01,Mike Scott,1,0,1,.000,1,0,1,.000,0,0,0,
meeksjo01,Jodie Meeks,1,0,1,.000,1,0,1,.000,0,0,0,
