id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mooreot01,Otto Moore,370,159,211,.430,370,159,211,.430,0,0,0,
dischte01,Terry Dischinger,356,153,203,.430,350,151,199,.431,6,2,4,.333
bingda01,Dave Bing,338,147,191,.435,332,145,187,.437,6,2,4,.333
komivho01,Howard Komives*,314,122,192,.389,314,122,192,.389,0,0,0,
laceysa01,Sam Lacey*,227,100,127,.441,221,98,123,.443,6,2,4,.333
mcneila01,Larry McNeill,210,93,117,.443,204,91,113,.446,6,2,4,.333
milesed01,Eddie Miles,191,78,113,.408,185,76,109,.411,6,2,4,.333
architi01,Tiny Archibald,184,86,98,.467,178,84,94,.472,6,2,4,.333
hewitbi01,Bill Hewitt,169,66,103,.391,169,66,103,.391,0,0,0,
mueller01,Erwin Mueller,164,67,97,.409,164,67,97,.409,0,0,0,
wedmasc01,Scott Wedman,158,73,85,.462,152,71,81,.467,6,2,4,.333
behagro01,Ron Behagen,156,72,84,.462,150,70,80,.467,6,2,4,.333
laniebo01,Bob Lanier,155,69,86,.445,155,69,86,.445,0,0,0,
dantomi01,Mike D'Antoni,122,53,69,.434,118,52,66,.441,4,1,3,.250
willina01,Nate Williams,122,52,70,.426,122,52,70,.426,0,0,0,
debusda01,Dave DeBusschere,114,50,64,.439,108,48,60,.444,6,2,4,.333
hairsha01,Happy Hairston,114,46,68,.404,108,44,64,.407,6,2,4,.333
johnsol01,Ollie Johnson*,109,48,61,.440,103,46,57,.447,6,2,4,.333
mclemmc01,McCoy McLemore,109,41,68,.376,109,41,68,.376,0,0,0,
bellawa01,Walt Bellamy,95,35,60,.368,95,35,60,.368,0,0,0,
quickbo01,Bob Quick*,93,42,51,.452,93,42,51,.452,0,0,0,
kojisdo01,Don Kojis*,92,35,57,.380,88,34,54,.386,4,1,3,.250
meelycl01,Cliff Meely,84,32,52,.381,84,32,52,.381,0,0,0,
newlimi01,Mike Newlin,84,32,52,.381,84,32,52,.381,0,0,0,
tomjaru01,Rudy Tomjanovich,83,32,51,.386,83,32,51,.386,0,0,0,
kosmale01,Len Kosmalski,81,41,40,.506,75,39,36,.520,6,2,4,.333
marinja01,Jack Marin,80,31,49,.388,80,31,49,.388,0,0,0,
