id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
thomptr01,Tristan Thompson*,54,38,16,.704,52,36,16,.692,2,2,0,1.000
jefferi01,Richard Jefferson,52,36,16,.692,50,34,16,.680,2,2,0,1.000
fryech01,Channing Frye,49,34,15,.694,47,32,15,.681,2,2,0,1.000
shumpim01,Iman Shumpert,49,35,14,.714,47,33,14,.702,2,2,0,1.000
bealbr01,Bradley Beal*,49,15,34,.306,49,15,34,.306,0,0,0,
jamesle01,LeBron James*,48,38,10,.792,46,36,10,.783,2,2,0,1.000
browntr01,Troy Brown Jr.*,48,17,31,.354,48,17,31,.354,0,0,0,
irvinky01,Kyrie Irving*,47,34,13,.723,45,32,13,.711,2,2,0,1.000
bryanth01,Thomas Bryant,45,15,30,.333,45,15,30,.333,0,0,0,
jonesja02,James Jones,43,29,14,.674,41,27,14,.659,2,2,0,1.000
loveke01,Kevin Love*,41,29,12,.707,40,28,12,.700,1,1,0,1.000
liggide01,DeAndre Liggins,33,23,10,.697,33,23,10,.697,0,0,0,
feldeka01,Kay Felder,30,19,11,.633,30,19,11,.633,0,0,0,
smithis01,Ish Smith*,29,10,19,.345,29,10,19,.345,0,0,0,
smithjr01,J.R. Smith,28,21,7,.750,26,19,7,.731,2,2,0,1.000
thomais02,Isaiah Thomas*,27,10,17,.370,27,10,17,.370,0,0,0,
satorto01,Tomáš Satoranský,25,9,16,.360,25,9,16,.360,0,0,0,
bongais01,Isaac Bonga*,25,8,17,.320,25,8,17,.320,0,0,0,
mahinia01,Ian Mahinmi,25,9,16,.360,25,9,16,.360,0,0,0,
greenje02,Jeff Green,24,8,16,.333,24,8,16,.333,0,0,0,
randlch01,Chasson Randle,22,7,15,.318,22,7,15,.318,0,0,0,
bertada01,Dāvis Bertāns*,21,7,14,.333,21,7,14,.333,0,0,0,
paytoga02,Gary Payton II,19,8,11,.421,19,8,11,.421,0,0,0,
dellama01,Matthew Dellavedova,17,12,5,.706,15,10,5,.667,2,2,0,1.000
mozgoti01,Timofey Mozgov,16,11,5,.688,14,9,5,.643,2,2,0,1.000
arizatr01,Trevor Ariza,16,5,11,.312,16,5,11,.312,0,0,0,
dekkesa01,Sam Dekker,14,4,10,.286,14,4,10,.286,0,0,0,
pasecan01,Anžejs Pasečņiks,14,5,9,.357,14,5,9,.357,0,0,0,
korveky01,Kyle Korver,14,9,5,.643,14,9,5,.643,0,0,0,
dunlemi02,Mike Dunleavy,13,10,3,.769,13,10,3,.769,0,0,0,
morrima02,Markieff Morris,13,2,11,.154,13,2,11,.154,0,0,0,
hachiru01,Rui Hachimura*,13,4,9,.308,13,4,9,.308,0,0,0,
portibo01,Bobby Portis,12,4,8,.333,12,4,8,.333,0,0,0,
schofad01,Admiral Schofield,11,3,8,.273,11,3,8,.273,0,0,0,
parkeja01,Jabari Parker,11,4,7,.364,11,4,7,.364,0,0,0,
wagnemo01,Moritz Wagner,11,4,7,.364,11,4,7,.364,0,0,0,
kaunsa01,Sasha Kaun,10,7,3,.700,10,7,3,.700,0,0,0,
porteot01,Otto Porter Jr.,10,3,7,.300,10,3,7,.300,0,0,0,
anderch01,Chris Andersen,10,6,4,.600,10,6,4,.600,0,0,0,
willijo04,Johnathan Williams,9,4,5,.444,9,4,5,.444,0,0,0,
mathega01,Garrison Mathews*,8,3,5,.375,8,3,5,.375,0,0,0,
milescj01,C.J. Miles,8,3,5,.375,8,3,5,.375,0,0,0,
goodwar01,Archie Goodwin,7,0,7,.000,7,0,7,.000,0,0,0,
bookede01,Devin Booker,7,0,7,.000,7,0,7,.000,0,0,0,
tuckepj01,P.J. Tucker,7,0,7,.000,7,0,7,.000,0,0,0,
teletmi01,Mirza Teletović,7,0,7,.000,7,0,7,.000,0,0,0,
weemsso01,Sonny Weems,7,0,7,.000,7,0,7,.000,0,0,0,
chandty01,Tyson Chandler,7,0,7,.000,7,0,7,.000,0,0,0,
walljo01,John Wall,7,2,5,.286,7,2,5,.286,0,0,0,
lenal01,Alex Len*,6,0,6,.000,6,0,6,.000,0,0,0,
johnswe01,Wesley Johnson,5,3,2,.600,5,3,2,.600,0,0,0,
willima01,Mo Williams,5,4,1,.800,4,3,1,.750,1,1,0,1.000
doziepj01,PJ Dozier,4,2,2,.500,4,2,2,.500,0,0,0,
willide02,Derrick Williams,4,3,1,.750,4,3,1,.750,0,0,0,
millspa01,Paul Millsap,4,2,2,.500,4,2,2,.500,0,0,0,
jokicni01,Nikola Jokić,4,2,2,.500,4,2,2,.500,0,0,0,
harriga01,Gary Harris,4,2,2,.500,4,2,2,.500,0,0,0,
woodch01,Christian Wood,4,0,4,.000,4,0,4,.000,0,0,0,
murraja01,Jamal Murray,4,2,2,.500,4,2,2,.500,0,0,0,
gallola01,Langston Galloway,4,0,4,.000,4,0,4,.000,0,0,0,
oubreke01,Kelly Oubre Jr.*,4,1,3,.250,4,1,3,.250,0,0,0,
doumbse01,Sekou Doumbouya,4,0,4,.000,4,0,4,.000,0,0,0,
craigto01,Torrey Craig,4,2,2,.500,4,2,2,.500,0,0,0,
riverau01,Austin Rivers*,4,1,3,.250,4,1,3,.250,0,0,0,
snellto01,Tony Snell*,4,0,4,.000,4,0,4,.000,0,0,0,
makerth01,Thon Maker,4,0,4,.000,4,0,4,.000,0,0,0,
morrimo01,Monte Morris,4,2,2,.500,4,2,2,.500,0,0,0,
mykhasv01,Svi Mykhailiuk,4,0,4,.000,4,0,4,.000,0,0,0,
jenkijo01,John Jenkins,4,2,2,.500,4,2,2,.500,0,0,0,
robinju01,Justin Robinson,4,0,4,.000,4,0,4,.000,0,0,0,
grantje01,Jerami Grant,4,2,2,.500,4,2,2,.500,0,0,0,
chiozch01,Chris Chiozza,4,0,4,.000,4,0,4,.000,0,0,0,
smithja02,Jason Smith,3,1,2,.333,3,1,2,.333,0,0,0,
thomakh01,Khyri Thomas,3,0,3,.000,3,0,3,.000,0,0,0,
knighbr03,Brandon Knight,3,0,3,.000,3,0,3,.000,0,0,0,
jonesda02,Dahntay Jones,3,2,1,.667,1,0,1,.000,2,2,0,1.000
hensojo01,John Henson,3,0,3,.000,3,0,3,.000,0,0,0,
leuerjo01,Jon Leuer,3,0,3,.000,3,0,3,.000,0,0,0,
bartowi01,Will Barton*,2,1,1,.500,2,1,1,.500,0,0,0,
plumlma01,Mason Plumlee*,2,1,1,.500,2,1,1,.500,0,0,0,
robinde01,Devin Robinson,2,1,1,.500,2,1,1,.500,0,0,0,
brownbr01,Bruce Brown*,2,0,2,.000,2,0,2,.000,0,0,0,
portemi01,Michael Porter Jr.,2,1,1,.500,2,1,1,.500,0,0,0,
vonleno01,Noah Vonleh,2,1,1,.500,2,1,1,.500,0,0,0,
johnsor01,Orlando Johnson,1,0,1,.000,1,0,1,.000,0,0,0,
cancavl01,Vlatko Čančar,1,0,1,.000,1,0,1,.000,0,0,0,
whiteok01,Okaro White,1,1,0,1.000,1,1,0,1.000,0,0,0,
bakerro01,Ron Baker,1,0,1,.000,1,0,1,.000,0,0,0,
warretj01,T.J. Warren,1,0,1,.000,1,0,1,.000,0,0,0,
humphkr01,Kris Humphries,1,0,1,.000,1,0,1,.000,0,0,0,
bateske01,Keita Bates-Diop*,1,1,0,1.000,1,1,0,1.000,0,0,0,
pricero01,Ronnie Price,1,0,1,.000,1,0,1,.000,0,0,0,
halldo01,Donta Hall,1,0,1,.000,1,0,1,.000,0,0,0,
howardw01,Dwight Howard,1,1,0,1.000,1,1,0,1.000,0,0,0,
