id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lillada01,Damian Lillard*,164,102,62,.622,143,93,50,.650,21,9,12,.429
mccolcj01,CJ McCollum*,163,99,64,.607,142,90,52,.634,21,9,12,.429
aminual01,Al-Farouq Aminu,158,96,62,.608,138,88,50,.638,20,8,12,.400
turneev01,Evan Turner,152,94,58,.618,133,86,47,.647,19,8,11,.421
nurkiju01,Jusuf Nurkić*,143,90,53,.629,138,89,49,.645,5,1,4,.200
harklma01,Maurice Harkless,116,71,45,.612,98,63,35,.643,18,8,10,.444
laymaja01,Jake Layman,103,65,38,.631,96,62,34,.646,7,3,4,.429
leoname01,Meyers Leonard,101,54,47,.535,88,49,39,.557,13,5,8,.385
curryse01,Seth Curry*,85,55,30,.647,69,47,22,.681,16,8,8,.500
jonestr01,Tre Jones*,78,31,47,.397,77,31,46,.403,1,0,1,.000
johnske04,Keldon Johnson*,75,30,45,.400,74,30,44,.405,1,0,1,.000
bateske01,Keita Bates-Diop*,70,25,45,.357,69,25,44,.362,1,0,1,.000
connapa01,Pat Connaughton,70,41,29,.586,66,41,25,.621,4,0,4,.000
davised01,Ed Davis,66,40,26,.606,62,40,22,.645,4,0,4,.000
mcderdo01,Doug McDermott*,63,23,40,.365,63,23,40,.365,0,0,0,
poeltja01,Jakob Poeltl*,62,23,39,.371,61,23,38,.377,1,0,1,.000
napiesh01,Shabazz Napier,62,39,23,.629,60,39,21,.650,2,0,2,.000
branhma01,Malaki Branham,54,14,40,.259,54,14,40,.259,0,0,0,
richajo01,Josh Richardson*,54,21,33,.389,53,21,32,.396,1,0,1,.000
vassede01,Devin Vassell*,53,23,30,.434,52,23,29,.442,1,0,1,.000
sochaje01,Jeremy Sochan,45,14,31,.311,45,14,31,.311,0,0,0,
stausni01,Nik Stauskas,44,26,18,.591,44,26,18,.591,0,0,0,
hoodro01,Rodney Hood,41,27,14,.659,25,19,6,.760,16,8,8,.500
langfro01,Romeo Langford*,40,14,26,.350,40,14,26,.350,0,0,0,
swanica01,Caleb Swanigan,38,22,16,.579,37,22,15,.595,1,0,1,.000
kanteen01,Enes Freedom,34,24,10,.706,18,16,2,.889,16,8,8,.500
simonan01,Anfernee Simons,33,25,8,.758,28,23,5,.821,5,2,3,.400
robyis01,Isaiah Roby,32,8,24,.250,32,8,24,.250,0,0,0,
primojo01,Joshua Primo*,30,15,15,.500,29,15,14,.517,1,0,1,.000
johnsst04,Stanley Johnson,29,5,24,.172,29,5,24,.172,0,0,0,
weslebl01,Blake Wesley,29,8,21,.276,29,8,21,.276,0,0,0,
baldwwa01,Wade Baldwin,27,14,13,.519,23,14,9,.609,4,0,4,.000
trentga02,Gary Trent Jr.*,25,22,3,.880,24,21,3,.875,1,1,0,1.000
bassech01,Charles Bassey,24,8,16,.333,24,8,16,.333,0,0,0,
murrade01,Dejounte Murray*,22,11,11,.500,21,11,10,.524,1,0,1,.000
vonleno01,Noah Vonleh,22,11,11,.500,22,11,11,.500,0,0,0,
walkelo01,Lonnie Walker IV*,21,8,13,.381,20,8,12,.400,1,0,1,.000
landajo01,Jock Landale,20,10,10,.500,20,10,10,.500,0,0,0,
dienggo01,Gorgui Dieng*,18,2,16,.111,18,2,16,.111,0,0,0,
barlodo01,Dominick Barlow,17,4,13,.235,17,4,13,.235,0,0,0,
wieskjo01,Joe Wieskamp,15,7,8,.467,15,7,8,.467,0,0,0,
grahade01,Devonte' Graham*,14,4,10,.286,14,4,10,.286,0,0,0,
labissk01,Skal Labissière,14,11,3,.786,11,10,1,.909,3,1,2,.333
mamuksa01,Sandro Mamukelashvili,11,5,6,.455,11,5,6,.455,0,0,0,
whiteha01,Hassan Whiteside*,10,8,2,.800,9,7,2,.778,1,1,0,1.000
hezonma01,Mario Hezonja*,10,7,3,.700,9,6,3,.667,1,1,0,1.000
anthoca01,Carmelo Anthony*,9,7,2,.778,8,6,2,.750,1,1,0,1.000
champju02,Julian Champagnie,8,4,4,.500,8,4,4,.500,0,0,0,
cacokde01,Devontae Cacok,6,2,4,.333,6,2,4,.333,0,0,0,
johnsal02,Alize Johnson,4,1,3,.250,4,1,3,.250,0,0,0,
tollian01,Anthony Tolliver*,3,2,1,.667,3,2,1,.667,0,0,0,
gabriwe01,Wenyen Gabriel*,3,2,1,.667,2,1,1,.500,1,1,0,1.000
bazemke01,Kent Bazemore*,3,2,1,.667,3,2,1,.667,0,0,0,
halljo02,Jordan Hall,2,0,2,.000,2,0,2,.000,0,0,0,
whitede01,Derrick White,2,1,1,.500,2,1,1,.500,0,0,0,
satorto01,Tomáš Satoranský,1,1,0,1.000,1,1,0,1.000,0,0,0,
eubandr01,Drew Eubanks*,1,0,1,.000,1,0,1,.000,0,0,0,
littlna01,Nassir Little,1,1,0,1.000,1,1,0,1.000,0,0,0,
hernaju01,Juancho Hernangómez,1,1,0,1.000,1,1,0,1.000,0,0,0,
papagge01,Georgios Papagiannis,1,0,1,.000,1,0,1,.000,0,0,0,
