id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
austiis01,Isaac Austin,5,5,0,1.000,5,5,0,1.000,0,0,0,
doleami01,Michael Doleac,5,5,0,1.000,5,5,0,1.000,0,0,0,
armstda01,Darrell Armstrong,5,5,0,1.000,5,5,0,1.000,0,0,0,
hardaan01,Anfernee Hardaway,5,5,0,1.000,5,5,0,1.000,0,0,0,
grantho01,Horace Grant,5,5,0,1.000,5,5,0,1.000,0,0,0,
harprma01,Matt Harpring,5,5,0,1.000,5,5,0,1.000,0,0,0,
stronde01,Derek Strong,4,4,0,1.000,4,4,0,1.000,0,0,0,
wilkido01,Dominique Wilkins,4,4,0,1.000,4,4,0,1.000,0,0,0,
armstbj01,B.J. Armstrong,3,3,0,1.000,3,3,0,1.000,0,0,0,
anderni01,Nick Anderson,2,2,0,1.000,2,2,0,1.000,0,0,0,
outlabo01,Bo Outlaw,2,2,0,1.000,2,2,0,1.000,0,0,0,
schayda01,Danny Schayes,2,2,0,1.000,2,2,0,1.000,0,0,0,
overtdo01,Doug Overton,1,1,0,1.000,1,1,0,1.000,0,0,0,
