id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
kenonla01,Larry Kenon*,566,338,228,.597,518,314,204,.606,48,24,24,.500
galemi01,Mike Gale*,480,286,194,.596,434,262,172,.604,46,24,22,.522
gervige01,George Gervin,409,233,176,.570,370,216,154,.584,39,17,22,.436
olberma01,Mark Olberding,375,211,164,.563,347,200,147,.576,28,11,17,.393
melchbi01,Bill Melchionni*,375,200,175,.533,343,186,157,.542,32,14,18,.438
dietrco01,Coby Dietrick,340,194,146,.571,312,183,129,.587,28,11,17,.393
bristal01,Allan Bristow,305,177,128,.580,279,166,113,.595,26,11,15,.423
silasja01,James Silas*,278,158,120,.568,261,152,109,.582,17,6,11,.353
leaveal01,Allen Leavell,259,112,147,.432,232,99,133,.427,27,13,14,.481
dampilo01,Louie Dampier*,241,138,103,.573,227,133,94,.586,14,5,9,.357
taylobr01,Brian Taylor*,233,134,99,.575,208,120,88,.577,25,14,11,.560
murphca01,Calvin Murphy,231,100,131,.433,202,86,116,.426,29,14,15,.483
rochejo01,John Roche,227,110,117,.485,205,99,106,.483,22,11,11,.500
hendeto01,Tom Henderson,221,94,127,.425,190,79,111,.416,31,15,16,.484
malonmo01,Moses Malone,211,106,105,.502,180,91,89,.506,31,15,16,.484
reidro01,Robert Reid,205,103,102,.502,174,88,86,.506,31,15,16,.484
jonesma01,Major Jones,204,89,115,.436,186,81,105,.435,18,8,10,.444
ardji01,Jim Ard*,199,87,112,.437,180,80,100,.444,19,7,12,.368
dunlemi01,Mike Dunleavy,198,102,96,.515,158,82,76,.519,40,20,20,.500
barryri01,Rick Barry,194,94,100,.485,164,82,82,.500,30,12,18,.400
taylool01,Ollie Taylor,193,97,96,.503,168,85,83,.506,25,12,13,.480
ervinju01,Julius Erving*,177,117,60,.661,157,104,53,.662,20,13,7,.650
washitr01,Trooper Washington*,174,80,94,.460,152,70,82,.461,22,10,12,.455
sojouwi01,Willie Sojourner*,170,112,58,.659,150,99,51,.660,20,13,7,.650
willijo01,John Williamson*,161,108,53,.671,141,95,46,.674,20,13,7,.650
greenmi01,Mike Green*,154,90,64,.584,135,82,53,.607,19,8,11,.421
baumjo01,Johnny Baum,138,60,78,.435,116,50,66,.431,22,10,12,.455
deprejo01,Joe DePre*,137,60,77,.438,117,52,65,.444,20,8,12,.400
garreca01,Calvin Garrett,136,69,67,.507,122,60,62,.492,14,9,5,.643
willobi01,Bill Willoughby*,130,70,60,.538,109,58,51,.532,21,12,9,.571
hayesel01,Elvin Hayes,124,43,81,.347,121,42,79,.347,3,1,2,.333
karlge01,George Karl,114,67,47,.588,107,64,43,.598,7,3,4,.429
tomjaru01,Rudy Tomjanovich,101,45,56,.446,86,40,46,.465,15,5,10,.333
wardhe01,Henry Ward,93,49,44,.527,87,47,40,.540,6,2,4,.333
doveso01,Sonny Dove,89,42,47,.472,84,40,44,.476,5,2,3,.400
schaebi01,Billy Schaeffer,87,62,25,.713,82,57,25,.695,5,5,0,1.000
cartege01,George Carter*,86,31,55,.360,81,30,51,.370,5,1,4,.200
moorege01,Gene Moore*,85,41,44,.482,67,31,36,.463,18,10,8,.556
choneji01,Jim Chones,84,29,55,.345,79,28,51,.354,5,1,4,.200
lackebo01,Bob Lackey,73,26,47,.356,68,25,43,.368,5,1,4,.200
mannied01,Ed Manning*,70,48,22,.686,67,48,19,.716,3,0,3,.000
stockjo01,John Stockton,67,35,32,.522,62,33,29,.532,5,2,3,.400
baileth01,Thurl Bailey,65,34,31,.523,60,32,28,.533,5,2,3,.400
eatonma01,Mark Eaton,65,35,30,.538,62,33,29,.532,3,2,1,.667
kelleri01,Rich Kelley,65,34,31,.523,60,32,28,.533,5,2,3,.400
wilkije01,Jeff Wilkins,64,34,30,.531,59,32,27,.542,5,2,3,.400
