id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mckieaa01,Aaron McKie,50,28,22,.560,50,28,22,.560,0,0,0,
robincl02,Clifford Robinson,47,25,22,.532,47,25,22,.532,0,0,0,
dudlech02,Chris Dudley,46,24,22,.522,46,24,22,.522,0,0,0,
trentga01,Gary Trent,45,24,21,.533,45,24,21,.533,0,0,0,
sabonar01,Arvydas Sabonis,42,23,19,.548,42,23,19,.548,0,0,0,
stricro02,Rod Strickland,28,12,16,.429,28,12,16,.429,0,0,0,
robinja02,James Robinson,27,11,16,.407,27,11,16,.407,0,0,0,
wingfdo01,Dontonio Wingfield,24,15,9,.625,24,15,9,.625,0,0,0,
grantha01,Harvey Grant,23,9,14,.391,23,9,14,.391,0,0,0,
anderke01,Kenny Anderson,19,13,6,.684,19,13,6,.684,0,0,0,
rideris01,Isaiah Rider,17,11,6,.647,17,11,6,.647,0,0,0,
willibu01,Buck Williams,17,6,11,.353,17,6,11,.353,0,0,0,
butlemi02,Mitchell Butler,14,11,3,.786,14,11,3,.786,0,0,0,
wallara01,Rasheed Wallace,13,8,5,.615,13,8,5,.615,0,0,0,
onealje01,Jermaine O'Neal,11,8,3,.727,11,8,3,.727,0,0,0,
cookan01,Anthony Cook,10,7,3,.700,10,7,3,.700,0,0,0,
jordare01,Reggie Jordan,5,4,1,.800,5,4,1,.800,0,0,0,
hunteli01,Lindsey Hunter,4,3,1,.750,4,3,1,.750,0,0,0,
slatere01,Reggie Slater,4,2,2,.500,4,2,2,.500,0,0,0,
millste01,Terry Mills,4,3,1,.750,4,3,1,.750,0,0,0,
hillgr01,Grant Hill,4,3,1,.750,4,3,1,.750,0,0,0,
thorpot01,Otis Thorpe,4,3,1,.750,4,3,1,.750,0,0,0,
ratlith01,Theo Ratliff,4,3,1,.750,4,3,1,.750,0,0,0,
dumarjo01,Joe Dumars,4,3,1,.750,4,3,1,.750,0,0,0,
djordal01,Aleksandar Djordjevic,4,3,1,.750,4,3,1,.750,0,0,0,
currymi01,Michael Curry,4,3,1,.750,4,3,1,.750,0,0,0,
reiddo01,Don Reid,2,2,0,1.000,2,2,0,1.000,0,0,0,
brownma01,Marcus Brown,2,2,0,1.000,2,2,0,1.000,0,0,0,
willije01,Jerome Williams,1,1,0,1.000,1,1,0,1.000,0,0,0,
