id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bogdabo01,Bogdan Bogdanović*,5,3,2,.600,5,3,2,.600,0,0,0,
foxde01,De'Aaron Fox,5,3,2,.600,5,3,2,.600,0,0,0,
caulewi01,Willie Cauley-Stein,5,3,2,.600,5,3,2,.600,0,0,0,
hieldbu01,Buddy Hield,5,3,2,.600,5,3,2,.600,0,0,0,
jacksju01,Justin Jackson,5,3,2,.600,5,3,2,.600,0,0,0,
cartevi01,Vince Carter,5,3,2,.600,5,3,2,.600,0,0,0,
sampsja02,JaKarr Sampson*,4,3,1,.750,4,3,1,.750,0,0,0,
cooleja01,Jack Cooley,4,3,1,.750,4,3,1,.750,0,0,0,
masonfr01,Frank Mason III,3,2,1,.667,3,2,1,.667,0,0,0,
noguelu01,Lucas Nogueira,2,2,0,1.000,2,2,0,1.000,0,0,0,
lowryky01,Kyle Lowry*,2,2,0,1.000,2,2,0,1.000,0,0,0,
hartjo01,Josh Hart,2,1,1,.500,2,1,1,.500,0,0,0,
derozde01,DeMar DeRozan*,2,2,0,1.000,2,2,0,1.000,0,0,0,
poeltja01,Jakob Poeltl*,2,2,0,1.000,2,2,0,1.000,0,0,0,
randlju01,Julius Randle,2,1,1,.500,2,1,1,.500,0,0,0,
siakapa01,Pascal Siakam*,2,2,0,1.000,2,2,0,1.000,0,0,0,
millema01,Malcolm Miller,2,2,0,1.000,2,2,0,1.000,0,0,0,
ennisty01,Tyler Ennis,2,1,1,.500,2,1,1,.500,0,0,0,
vanvlfr01,Fred VanVleet*,2,2,0,1.000,2,2,0,1.000,0,0,0,
valanjo01,Jonas Valančiūnas*,2,2,0,1.000,2,2,0,1.000,0,0,0,
lopezbr01,Brook Lopez,2,1,1,.500,2,1,1,.500,0,0,0,
milescj01,C.J. Miles,2,2,0,1.000,2,2,0,1.000,0,0,0,
ingrabr01,Brandon Ingram*,2,1,1,.500,2,1,1,.500,0,0,0,
clarkjo01,Jordan Clarkson,2,1,1,.500,2,1,1,.500,0,0,0,
powelno01,Norman Powell*,2,2,0,1.000,2,2,0,1.000,0,0,0,
nancela02,Larry Nance Jr.*,2,1,1,.500,2,1,1,.500,0,0,0,
ibakase01,Serge Ibaka,2,2,0,1.000,2,2,0,1.000,0,0,0,
wrighde01,Delon Wright*,2,2,0,1.000,2,2,0,1.000,0,0,0,
cabocbr01,Bruno Caboclo,2,0,2,.000,2,0,2,.000,0,0,0,
carusal01,Alex Caruso*,2,1,1,.500,2,1,1,.500,0,0,0,
kuzmaky01,Kyle Kuzma*,2,1,1,.500,2,1,1,.500,0,0,0,
breweco01,Corey Brewer,1,1,0,1.000,1,1,0,1.000,0,0,0,
labissk01,Skal Labissière,1,1,0,1.000,1,1,0,1.000,0,0,0,
zubaciv01,Ivica Zubac*,1,1,0,1.000,1,1,0,1.000,0,0,0,
caldwke01,Kentavious Caldwell-Pope*,1,0,1,.000,1,0,1,.000,0,0,0,
bryanth01,Thomas Bryant,1,1,0,1.000,1,1,0,1.000,0,0,0,
