id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bridgmi01,Mikal Bridges,108,30,78,.278,108,30,78,.278,0,0,0,
bookede01,Devin Booker,90,28,62,.311,90,28,62,.311,0,0,0,
aytonde01,Deandre Ayton,72,18,54,.250,72,18,54,.250,0,0,0,
oubreke01,Kelly Oubre Jr.*,72,22,50,.306,72,22,50,.306,0,0,0,
jacksjo02,Josh Jackson,50,7,43,.140,50,7,43,.140,0,0,0,
saricda01,Dario Šarić*,48,21,27,.438,48,21,27,.438,0,0,0,
rubiori01,Ricky Rubio,47,21,26,.447,47,21,26,.447,0,0,0,
holmeri01,Richaun Holmes,43,5,38,.116,43,5,38,.116,0,0,0,
carteje01,Jevon Carter,43,18,25,.419,43,18,25,.419,0,0,0,
johnsca02,Cameron Johnson,42,18,24,.429,42,18,24,.429,0,0,0,
crawfja01,Jamal Crawford,41,4,37,.098,41,4,37,.098,0,0,0,
diallch01,Cheick Diallo,41,17,24,.415,41,17,24,.415,0,0,0,
baynear01,Aron Baynes,34,16,18,.471,34,16,18,.471,0,0,0,
danietr01,Troy Daniels,34,5,29,.147,34,5,29,.147,0,0,0,
bendedr01,Dragan Bender,31,3,28,.097,31,3,28,.097,0,0,0,
meltode01,De'Anthony Melton*,30,4,26,.133,30,4,26,.133,0,0,0,
johnsty01,Tyler Johnson,29,10,19,.345,29,10,19,.345,0,0,0,
warretj01,T.J. Warren,25,3,22,.120,25,3,22,.120,0,0,0,
jeromty01,Ty Jerome,24,12,12,.500,24,12,12,.500,0,0,0,
kaminfr01,Frank Kaminsky,23,9,14,.391,23,9,14,.391,0,0,0,
arizatr01,Trevor Ariza,18,2,16,.111,18,2,16,.111,0,0,0,
anderry01,Ryan Anderson,12,2,10,.167,12,2,10,.167,0,0,0,
canaais01,Isaiah Canaan,10,2,8,.200,10,2,8,.200,0,0,0,
acyqu01,Quincy Acy,9,1,8,.111,9,1,8,.111,0,0,0,
spaldra01,Ray Spalding,9,2,7,.222,9,2,7,.222,0,0,0,
fredeji01,Jimmer Fredette,6,1,5,.167,6,1,5,.167,0,0,0,
chandty01,Tyson Chandler,5,1,4,.200,5,1,4,.200,0,0,0,
lecquja01,Jalen Lecque,4,1,3,.250,4,1,3,.250,0,0,0,
harpeja01,Jared Harper,3,1,2,.333,3,1,2,.333,0,0,0,
evansja01,Jawun Evans,3,0,3,.000,3,0,3,.000,0,0,0,
boldejo01,Jonah Bolden,3,2,1,.667,3,2,1,.667,0,0,0,
owensta01,Tariq Owens,3,0,3,.000,3,0,3,.000,0,0,0,
terryem01,Emanuel Terry,2,0,2,.000,2,0,2,.000,0,0,0,
moreler01,Eric Moreland,1,0,1,.000,1,0,1,.000,0,0,0,
payneca01,Cameron Payne,1,1,0,1.000,1,1,0,1.000,0,0,0,
