id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lewisra02,Rashard Lewis,315,162,153,.514,306,157,149,.513,9,5,4,.556
evansre01,Reggie Evans,233,122,111,.524,227,118,109,.520,6,4,2,.667
jamesje01,Jerome James,222,124,98,.559,211,118,93,.559,11,6,5,.545
allenra02,Ray Allen,191,105,86,.550,185,101,84,.546,6,4,2,.667
barrybr01,Brent Barry,187,95,92,.508,182,93,89,.511,5,2,3,.400
bryanko01,Kobe Bryant,183,124,59,.678,162,110,52,.679,21,14,7,.667
ridnolu01,Luke Ridnour,179,92,87,.514,173,88,85,.509,6,4,2,.667
vujacsa01,Sasha Vujačić,177,120,57,.678,156,106,50,.679,21,14,7,.667
farmajo01,Jordan Farmar,168,113,55,.673,147,99,48,.673,21,14,7,.667
odomla01,Lamar Odom,160,110,50,.688,139,96,43,.691,21,14,7,.667
murraro01,Ronald Murray,155,72,83,.465,154,72,82,.468,1,0,1,.000
waltolu01,Luke Walton,151,107,44,.709,130,93,37,.715,21,14,7,.667
turiaro01,Ronny Turiaf,143,83,60,.580,124,71,53,.573,19,12,7,.632
daniean01,Antonio Daniels,135,74,61,.548,129,70,59,.543,6,4,2,.667
fishede01,Derek Fisher,132,96,36,.727,111,82,29,.739,21,14,7,.667
bynuman01,Andrew Bynum,127,84,43,.661,127,84,43,.661,0,0,0,
potapvi01,Vitaly Potapenko,122,52,70,.426,121,52,69,.430,1,0,1,.000
drobnpr01,Predrag Drobnjak,118,59,59,.500,115,59,56,.513,3,0,3,.000
boothca01,Calvin Booth,117,50,67,.427,117,50,67,.427,0,0,0,
collini01,Nick Collison,116,66,50,.569,110,62,48,.564,6,4,2,.667
paytoga01,Gary Payton,108,51,57,.472,103,49,54,.476,5,2,3,.400
ellismo01,Monta Ellis,104,39,65,.375,104,39,65,.375,0,0,0,
masonde01,Desmond Mason,101,50,51,.495,96,48,48,.500,5,2,3,.400
curryst01,Stephen Curry*,99,37,62,.374,99,37,62,.374,0,0,0,
sesayan01,Ansu Sesay,98,43,55,.439,94,42,52,.447,4,1,3,.250
gasolpa01,Pau Gasol,88,68,20,.773,67,54,13,.806,21,14,7,.667
fortsda01,Danny Fortson,81,50,31,.617,75,46,29,.613,6,4,2,.667
wrighdo01,Dorell Wright,74,32,42,.432,74,32,42,.432,0,0,0,
willire02,Reggie Williams,72,32,40,.444,72,32,40,.444,0,0,0,
arizatr01,Trevor Ariza,70,52,18,.743,62,48,14,.774,8,4,4,.500
biedran01,Andris Biedriņš,67,27,40,.403,67,27,40,.403,0,0,0,
leeda02,David Lee,66,31,35,.470,66,31,35,.470,0,0,0,
maggeco01,Corey Maggette,61,25,36,.410,49,18,31,.367,12,7,5,.583
evansma01,Maurice Evans,61,36,25,.590,61,36,25,.590,0,0,0,
wilkida02,Damien Wilkins,61,30,31,.492,58,28,30,.483,3,2,1,.667
parkesm01,Smush Parker,55,31,24,.564,55,31,24,.564,0,0,0,
watsoea01,Earl Watson,55,27,28,.491,55,27,28,.491,0,0,0,
udohek01,Ekpe Udoh,54,25,29,.463,54,25,29,.463,0,0,0,
hinriki01,Kirk Hinrich,52,27,25,.519,50,27,23,.540,2,0,2,.000
longar01,Art Long,51,28,23,.549,51,28,23,.549,0,0,0,
teaguje01,Jeff Teague,51,30,21,.588,49,30,19,.612,2,0,2,.000
bakervi01,Vin Baker,51,21,30,.412,46,19,27,.413,5,2,3,.400
smithjo03,Josh Smith,50,30,20,.600,49,30,19,.612,1,0,1,.000
frahmri01,Richie Frahm,49,21,28,.429,49,21,28,.429,0,0,0,
cookbr01,Brian Cook,49,28,21,.571,49,28,21,.571,0,0,0,
willish01,Shammond Williams,48,23,25,.479,45,23,22,.511,3,0,3,.000
willima02,Marvin Williams,46,27,19,.587,44,27,17,.614,2,0,2,.000
johnsjo02,Joe Johnson,45,26,19,.578,43,26,17,.605,2,0,2,.000
pargoja01,Jannero Pargo,44,25,19,.568,42,25,17,.595,2,0,2,.000
johnsiv01,Ivan Johnson,43,26,17,.605,41,26,15,.634,2,0,2,.000
pachuza01,Zaza Pachulia,43,26,17,.605,43,26,17,.605,0,0,0,
brandel01,Elton Brand,42,23,19,.548,30,16,14,.533,12,7,5,.583
amundlo01,Lou Amundson,42,17,25,.405,42,17,25,.405,0,0,0,
livinsh01,Shaun Livingston,42,23,19,.548,30,16,14,.533,12,7,5,.583
mcgratr01,Tracy McGrady,41,24,17,.585,39,24,15,.615,2,0,2,.000
greenwi01,Willie Green,41,23,18,.561,39,23,16,.590,2,0,2,.000
cassesa01,Sam Cassell,41,22,19,.537,29,15,14,.517,12,7,5,.583
augusdj01,D.J. Augustin,40,19,21,.475,40,19,21,.475,0,0,0,
feltora01,Raymond Felton,40,19,21,.475,40,19,21,.475,0,0,0,
diawbo01,Boris Diaw,40,19,21,.475,40,19,21,.475,0,0,0,
lawac01,Acie Law,39,15,24,.385,39,15,24,.385,0,0,0,
moblecu01,Cuttino Mobley,39,21,18,.538,27,14,13,.519,12,7,5,.583
wallage01,Gerald Wallace,38,17,21,.447,38,17,21,.447,0,0,0,
kamanch01,Chris Kaman,38,20,18,.526,27,14,13,.519,11,6,5,.545
mohamna01,Nazr Mohammed,37,15,22,.405,36,15,21,.417,1,0,1,.000
mihmch01,Chris Mihm,37,28,9,.757,36,27,9,.750,1,1,0,1.000
petrojo01,Johan Petro,36,13,23,.361,36,13,23,.361,0,0,0,
brownkw01,Kwame Brown,36,24,12,.667,36,24,12,.667,0,0,0,
rossqu01,Quinton Ross,35,19,16,.543,23,12,11,.522,12,7,5,.583
diopde01,DeSagana Diop,34,16,18,.471,34,16,18,.471,0,0,0,
martica01,Cartier Martin,34,15,19,.441,34,15,19,.441,0,0,0,
cleavma01,Mateen Cleaves,33,17,16,.515,33,17,16,.515,0,0,0,
okafoem01,Emeka Okafor,32,16,16,.500,32,16,16,.500,0,0,0,
mooremi01,Mikki Moore,32,7,25,.219,32,7,25,.219,0,0,0,
swiftro01,Robert Swift,31,16,15,.516,31,16,15,.516,0,0,0,
bellra01,Raja Bell,30,15,15,.500,30,15,15,.500,0,0,0,
ollieke01,Kevin Ollie,29,17,12,.586,29,17,12,.586,0,0,0,
mbengdj01,D.J. Mbenga,29,25,4,.862,22,19,3,.864,7,6,1,.857
watsocj01,C.J. Watson,29,6,23,.207,29,6,23,.207,0,0,0,
anderke01,Kenny Anderson,28,12,16,.429,28,12,16,.429,0,0,0,
poweljo01,Josh Powell,26,22,4,.846,26,22,4,.846,0,0,0,
morroan01,Anthony Morrow,26,8,18,.308,26,8,18,.308,0,0,0,
robinna01,Nate Robinson,26,11,15,.423,25,11,14,.440,1,0,1,.000
butleji01,Jimmy Butler*,26,11,15,.423,25,11,14,.440,1,0,1,.000
ewingda01,Daniel Ewing,25,15,10,.600,19,11,8,.579,6,4,2,.667
linje01,Jeremy Lin,25,9,16,.360,25,9,16,.360,0,0,0,
gadzuda01,Dan Gadzuric,25,8,17,.320,25,8,17,.320,0,0,0,
