id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
martike04,Kenyon Martin Jr.,59,14,45,.237,59,14,45,.237,0,0,0,
tateja01,Jae'Sean Tate,57,14,43,.246,57,14,43,.246,0,0,0,
woodch01,Christian Wood,51,13,38,.255,51,13,38,.255,0,0,0,
sengual01,Alperen Şengün,39,11,28,.282,39,11,28,.282,0,0,0,
porteke02,Kevin Porter Jr.,37,10,27,.270,37,10,27,.270,0,0,0,
chrisjo01,Josh Christopher,34,9,25,.265,34,9,25,.265,0,0,0,
augusdj01,D.J. Augustin,34,8,26,.235,34,8,26,.235,0,0,0,
gordoer01,Eric Gordon,33,11,22,.333,33,11,22,.333,0,0,0,
mathega01,Garrison Mathews*,28,10,18,.357,28,10,18,.357,0,0,0,
greenja05,Jalen Green,27,4,23,.148,27,4,23,.148,0,0,0,
nwabada01,David Nwaba,26,3,23,.115,26,3,23,.115,0,0,0,
olynyke01,Kelly Olynyk,19,3,16,.158,19,3,16,.158,0,0,0,
theisda01,Daniel Theis,18,3,15,.167,18,3,15,.167,0,0,0,
houseda01,Danuel House Jr.,17,7,10,.412,17,7,10,.412,0,0,0,
youngth01,Thaddeus Young,17,11,6,.647,13,9,4,.692,4,2,2,.500
birchkh01,Khem Birch,17,11,6,.647,13,9,4,.692,4,2,2,.500
achiupr01,Precious Achiuwa*,17,11,6,.647,13,9,4,.692,4,2,2,.500
barnesc01,Scottie Barnes*,17,11,6,.647,13,9,4,.692,4,2,2,.500
bouchch01,Chris Boucher*,17,11,6,.647,13,9,4,.692,4,2,2,.500
siakapa01,Pascal Siakam*,16,11,5,.688,12,9,3,.750,4,2,2,.500
lamban01,Anthony Lamb,15,2,13,.133,15,2,13,.133,0,0,0,
trentga02,Gary Trent Jr.*,14,9,5,.643,10,7,3,.700,4,2,2,.500
garubus01,Usman Garuba,13,1,12,.077,13,1,12,.077,0,0,0,
watanyu01,Yuta Watanabe,13,8,5,.615,9,6,3,.667,4,2,2,.500
jeffrda01,DaQuan Jeffries,13,1,12,.077,13,1,12,.077,0,0,0,
bantoda01,Dalano Banton,12,8,4,.667,8,6,2,.750,4,2,2,.500
wilsodj01,D.J. Wilson,12,2,10,.167,12,2,10,.167,0,0,0,
mykhasv01,Svi Mykhailiuk,11,7,4,.636,8,5,3,.625,3,2,1,.667
vanvlfr01,Fred VanVleet*,10,7,3,.700,8,6,2,.750,2,1,1,.500
bradlav01,Avery Bradley,10,1,9,.100,10,1,9,.100,0,0,0,
anunoog01,OG Anunoby*,8,5,3,.625,4,3,1,.750,4,2,2,.500
flynnma01,Malachi Flynn,6,3,3,.500,2,1,1,.500,4,2,2,.500
walljo01,John Wall,6,0,6,.000,6,0,6,.000,0,0,0,
queentr01,Trevelin Queen,6,0,6,.000,6,0,6,.000,0,0,0,
nixda01,Daishen Nix,5,1,4,.200,5,1,4,.200,0,0,0,
thomakh01,Khyri Thomas,5,1,4,.200,5,1,4,.200,0,0,0,
oliveca01,Cameron Oliver,4,1,3,.250,4,1,3,.250,0,0,0,
bongais01,Isaac Bonga*,2,1,1,.500,1,1,0,1.000,1,0,1,.000
reynoca01,Cameron Reynolds,2,1,1,.500,2,1,1,.500,0,0,0,
champju01,Justin Champagnie,1,1,0,1.000,1,1,0,1.000,0,0,0,
brownst02,Sterling Brown,1,0,1,.000,1,0,1,.000,0,0,0,
