id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
slaugjo01,Jose Slaughter,8,0,8,.000,8,0,8,.000,0,0,0,
johnscl01,Clemon Johnson,8,0,8,.000,8,0,8,.000,0,0,0,
sichtje01,Jerry Sichting,8,0,8,.000,8,0,8,.000,0,0,0,
durenjo01,John Duren,8,0,8,.000,8,0,8,.000,0,0,0,
bransbr01,Brad Branson,8,0,8,.000,8,0,8,.000,0,0,0,
knighbi01,Billy Knight,8,0,8,.000,8,0,8,.000,0,0,0,
johnsge03,George Johnson,8,0,8,.000,8,0,8,.000,0,0,0,
kellocl01,Clark Kellogg,8,0,8,.000,8,0,8,.000,0,0,0,
willihe01,Herb Williams,7,0,7,.000,7,0,7,.000,0,0,0,
byrnema01,Marty Byrnes,7,0,7,.000,7,0,7,.000,0,0,0,
cartebu01,Butch Carter,7,0,7,.000,7,0,7,.000,0,0,0,
