id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
curryde01,Dell Curry,106,53,53,.500,106,53,53,.500,0,0,0,
ricegl01,Glen Rice,102,52,50,.510,102,52,50,.510,0,0,0,
goldwan01,Anthony Goldwire,81,32,49,.395,81,32,49,.395,0,0,0,
geigema01,Matt Geiger,80,39,41,.487,80,39,41,.487,0,0,0,
johnsla02,Larry Johnson,70,34,36,.486,70,34,36,.486,0,0,0,
parisro01,Robert Parish,63,29,34,.460,63,29,34,.460,0,0,0,
addisra01,Rafael Addison,63,32,31,.508,63,32,31,.508,0,0,0,
hancoda01,Darrin Hancock,57,26,31,.456,57,26,31,.456,0,0,0,
divacvl01,Vlade Divac,35,19,16,.543,35,19,16,.543,0,0,0,
burresc01,Scott Burrell,35,18,17,.514,35,18,17,.514,0,0,0,
masonan01,Anthony Mason,34,19,15,.559,34,19,15,.559,0,0,0,
smithto02,Tony Smith,34,19,15,.559,34,19,15,.559,0,0,0,
gillke01,Kendall Gill,32,14,18,.438,32,14,18,.438,0,0,0,
anderke01,Kenny Anderson,32,17,15,.531,32,17,15,.531,0,0,0,
boguemu01,Muggsy Bogues,30,18,12,.600,30,18,12,.600,0,0,0,
myerspe01,Pete Myers,26,13,13,.500,26,13,13,.500,0,0,0,
delkto01,Tony Delk,23,12,11,.522,23,12,11,.522,0,0,0,
rosema01,Malik Rose,23,12,11,.522,23,12,11,.522,0,0,0,
ellisda01,Dale Ellis,22,7,15,.318,22,7,15,.318,0,0,0,
reevekh01,Khalid Reeves,20,9,11,.450,20,9,11,.450,0,0,0,
suttogr01,Greg Sutton,18,8,10,.444,18,8,10,.444,0,0,0,
adamsmi01,Michael Adams,17,6,11,.353,17,6,11,.353,0,0,0,
ellisla01,LaPhonso Ellis,17,2,15,.118,17,2,15,.118,0,0,0,
mcdyean01,Antonio McDyess,16,2,14,.125,16,2,14,.125,0,0,0,
hammoto01,Tom Hammonds,16,2,14,.125,16,2,14,.125,0,0,0,
johnser02,Ervin Johnson,16,2,14,.125,16,2,14,.125,0,0,0,
allenje01,Jerome Allen,15,2,13,.133,15,2,13,.133,0,0,0,
thompbr01,Brooks Thompson,15,2,13,.133,15,2,13,.133,0,0,0,
smithke01,Kenny Smith,14,2,12,.143,14,2,12,.143,0,0,0,
wolfjo01,Joe Wolf,7,0,7,.000,7,0,7,.000,0,0,0,
anthogr01,Greg Anthony,6,5,1,.833,6,5,1,.833,0,0,0,
schrede01,Detlef Schrempf,6,5,1,.833,6,5,1,.833,0,0,0,
hawkihe01,Hersey Hawkins,6,5,1,.833,6,5,1,.833,0,0,0,
washier01,Eric Washington,6,0,6,.000,6,0,6,.000,0,0,0,
mcilvji01,Jim McIlvaine,6,5,1,.833,6,5,1,.833,0,0,0,
williaa01,Aaron Williams,6,5,1,.833,6,5,1,.833,0,0,0,
perkisa01,Sam Perkins,6,5,1,.833,6,5,1,.833,0,0,0,
bakervi01,Vin Baker,6,5,1,.833,6,5,1,.833,0,0,0,
garrede01,Dean Garrett,6,0,6,.000,6,0,6,.000,0,0,0,
newmajo01,Johnny Newman,6,0,6,.000,6,0,6,.000,0,0,0,
paytoga01,Gary Payton,6,5,1,.833,6,5,1,.833,0,0,0,
stithbr01,Bryant Stith,5,0,5,.000,5,0,5,.000,0,0,0,
battito01,Tony Battie,5,0,5,.000,5,0,5,.000,0,0,0,
garriki01,Kiwane Lemorris Garris,5,0,5,.000,5,0,5,.000,0,0,0,
glassge01,Gerald Glass,5,3,2,.600,5,3,2,.600,0,0,0,
kerseje01,Jerome Kersey,4,4,0,1.000,4,4,0,1.000,0,0,0,
beckco01,Corey Beck,4,1,3,.250,4,1,3,.250,0,0,0,
fortsda01,Danny Fortson,4,0,4,.000,4,0,4,.000,0,0,0,
jacksbo01,Bobby Jackson,3,0,3,.000,3,0,3,.000,0,0,0,
laudepr01,Priest Lauderdale,3,0,3,.000,3,0,3,.000,0,0,0,
feickja01,Jamie Feick,3,2,1,.667,3,2,1,.667,0,0,0,
mcmilna01,Nate McMillan,3,2,1,.667,3,2,1,.667,0,0,0,
chambto01,Tom Chambers,2,2,0,1.000,2,2,0,1.000,0,0,0,
kingji02,Jimmy King,2,0,2,.000,2,0,2,.000,0,0,0,
hodgedo01,Donald Hodge,2,1,1,.500,2,1,1,.500,0,0,0,
askewvi01,Vincent Askew,1,0,1,.000,1,0,1,.000,0,0,0,
leckner01,Eric Leckner,1,0,1,.000,1,0,1,.000,0,0,0,
wingada01,David Wingate,1,1,0,1.000,1,1,0,1.000,0,0,0,
