id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mcglojo01,Jon McGlocklin,533,362,171,.679,482,330,152,.685,51,32,19,.627
abdulka01,Kareem Abdul-Jabbar,497,349,148,.702,440,313,127,.711,57,36,21,.632
roberos01,Oscar Robertson,312,233,79,.747,265,202,63,.762,47,31,16,.660
allenlu01,Lucius Allen,310,224,86,.723,279,204,75,.731,31,20,11,.645
davismi02,Mickey Davis,275,164,111,.596,254,151,103,.594,21,13,8,.619
hayesel01,Elvin Hayes,257,142,115,.553,219,120,99,.548,38,22,16,.579
ballagr01,Greg Ballard,251,137,114,.546,215,115,100,.535,36,22,14,.611
unselwe01,Wes Unseld,243,132,111,.543,208,112,96,.538,35,20,15,.571
cunnidi01,Dick Cunningham*,235,174,61,.740,208,155,53,.745,27,19,8,.704
greveke01,Kevin Grevey,225,124,101,.551,187,102,85,.545,38,22,16,.579
wrighla01,Larry Wright,214,121,93,.565,177,100,77,.565,37,21,16,.568
perrycu01,Curtis Perry,213,151,62,.709,180,132,48,.733,33,19,14,.576
smithgr01,Greg Smith,212,161,51,.759,188,144,44,.766,24,17,7,.708
restake01,Kevin Restani,203,91,112,.448,200,90,110,.450,3,1,2,.333
kupchmi01,Mitch Kupchak,201,116,85,.577,174,98,76,.563,27,18,9,.667
brokaga01,Gary Brokaw,175,75,100,.429,172,74,98,.430,3,1,2,.333
hendeto01,Tom Henderson,173,105,68,.607,135,83,52,.615,38,22,16,.579
bridgju01,Junior Bridgeman,151,66,85,.437,148,65,83,.439,3,1,2,.333
warneco01,Cornell Warner,150,87,63,.580,134,76,58,.567,16,11,5,.688
johnsch01,Charles Johnson*,150,90,60,.600,113,69,44,.611,37,21,16,.568
wintebr01,Brian Winters,143,62,81,.434,140,61,79,.436,3,1,2,.333
driscte01,Terry Driscoll,130,92,38,.708,115,84,31,.730,15,8,7,.533
williro01,Ron Williams,122,76,46,.623,107,65,42,.607,15,11,4,.733
priceji01,Jim Price,115,57,58,.496,114,57,57,.500,1,0,1,.000
meyerda01,Dave Meyers,111,50,61,.450,108,49,59,.454,3,1,2,.333
corzida01,Dave Corzine,108,58,50,.537,96,53,43,.552,12,5,7,.417
smithel01,Elmore Smith,103,45,58,.437,100,44,56,.440,3,1,2,.333
boozebo01,Bob Boozer*,92,76,16,.826,78,64,14,.821,14,12,2,.857
robinfl01,Flynn Robinson,90,60,30,.667,80,55,25,.688,10,5,5,.500
blockjo01,John Block,88,65,23,.739,77,59,18,.766,11,6,5,.545
leeru01,Russ Lee*,86,62,24,.721,75,59,16,.787,11,3,8,.273
crawffr01,Freddie Crawford,86,57,29,.663,76,52,24,.684,10,5,5,.500
abdulza01,Zaid Abdul-Aziz,86,58,28,.674,79,54,25,.684,7,4,3,.571
chapple01,Len Chappell*,84,55,29,.655,75,51,24,.680,9,4,5,.444
cheniph01,Phil Chenier,83,43,40,.518,74,41,33,.554,9,2,7,.222
joneswa02,Wali Jones,81,54,27,.667,72,50,22,.694,9,4,5,.444
bucknqu01,Quinn Buckner,79,31,48,.392,79,31,48,.392,0,0,0,
kimbato01,Toby Kimball,79,64,15,.810,72,59,13,.819,7,5,2,.714
rodgegu01,Guy Rodgers,71,44,27,.620,64,41,23,.641,7,3,4,.429
thompge01,George Thompson*,71,32,39,.451,71,32,39,.451,0,0,0,
terrych01,Chuck Terry*,69,48,21,.696,64,46,18,.719,5,2,3,.400
pheglro01,Roger Phegley,67,35,32,.522,67,35,32,.522,0,0,0,
foxji01,Jim Fox*,64,31,33,.484,61,30,31,.492,3,1,2,.333
natersw01,Swen Nater*,64,24,40,.375,64,24,40,.375,0,0,0,
mayescl01,Clyde Mayes,60,28,32,.467,57,27,30,.474,3,1,2,.333
porteke01,Kevin Porter,59,23,36,.390,59,23,36,.390,0,0,0,
kuberst01,Steve Kuberski,57,23,34,.404,57,23,34,.404,0,0,0,
lloydsc01,Scott Lloyd,57,17,40,.298,57,17,40,.298,0,0,0,
webbje01,Jeff Webb,55,48,7,.873,46,40,6,.870,9,8,1,.889
zopfbi01,Bill Zopf,53,45,8,.849,53,45,8,.849,0,0,0,
pacejo01,Joe Pace,52,28,24,.538,44,22,22,.500,8,6,2,.750
greacbo01,Bob Greacen*,49,33,16,.673,41,26,15,.634,8,7,1,.875
englial01,Alex English,48,15,33,.312,48,15,33,.312,0,0,0,
mclemmc01,McCoy McLemore,45,39,6,.867,35,30,5,.857,10,9,1,.900
waltoll01,Lloyd Walton,45,11,34,.244,45,11,34,.244,0,0,0,
freemga01,Gary Freeman,41,36,5,.878,41,36,5,.878,0,0,0,
walkeph01,Phil Walker,41,24,17,.585,37,20,17,.541,4,4,0,1.000
cartefr01,Fred Carter,40,15,25,.375,40,15,25,.375,0,0,0,
weslewa01,Walt Wesley,40,21,19,.525,40,21,19,.525,0,0,0,
nelsoba01,Barry Nelson,29,27,2,.931,27,26,1,.963,2,1,1,.500
lowerch01,Charlie Lowery,27,21,6,.778,20,16,4,.800,7,5,2,.714
garrero01,Rowland Garrett,27,11,16,.407,27,11,16,.407,0,0,0,
cleamji01,Jim Cleamons,27,13,14,.481,27,13,14,.481,0,0,0,
garredi01,Dick Garrett*,22,17,5,.773,14,12,2,.857,8,5,3,.625
dinwibi01,Bill Dinwiddie,21,19,2,.905,21,19,2,.905,0,0,0,
mahorri01,Rick Mahorn,17,8,9,.471,17,8,9,.471,0,0,0,
bailegu01,Gus Bailey,15,7,8,.467,15,7,8,.467,0,0,0,
willisa01,Sam Williams,13,6,7,.462,11,5,6,.455,2,1,1,.500
willijo01,John Williamson*,13,4,9,.308,13,4,9,.308,0,0,0,
mccaran01,Andre McCarter,12,7,5,.583,12,7,5,.583,0,0,0,
collido02,Don Collins,12,7,5,.583,12,7,5,.583,0,0,0,
johnsmi01,Mickey Johnson,11,7,4,.636,11,7,4,.636,0,0,0,
