id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
sparrro01,Rory Sparrow,62,20,42,.323,62,20,42,.323,0,0,0,
carran01,Antoine Carr,61,21,40,.344,61,21,40,.344,0,0,0,
simmoli01,Lionel Simmons,61,22,39,.361,61,22,39,.361,0,0,0,
wennibi01,Bill Wennington,60,21,39,.350,60,21,39,.350,0,0,0,
causwdu01,Duane Causwell,59,21,38,.356,59,21,38,.356,0,0,0,
maystr01,Travis Mays,51,16,35,.314,51,16,35,.314,0,0,0,
lesji01,Jim Les,48,18,30,.375,48,18,30,.375,0,0,0,
fredean01,Anthony Frederick,32,12,20,.375,32,12,20,.375,0,0,0,
hansebo01,Bob Hansen,25,8,17,.320,25,8,17,.320,0,0,0,
bonnean01,Anthony Bonner,25,10,15,.400,25,10,15,.400,0,0,0,
leckner01,Eric Leckner,23,9,14,.391,23,9,14,.391,0,0,0,
sampsra01,Ralph Sampson,21,3,18,.143,21,3,18,.143,0,0,0,
tisdawa01,Wayman Tisdale,20,5,15,.250,20,5,15,.250,0,0,0,
coltest01,Steve Colter,15,3,12,.200,15,3,12,.200,0,0,0,
higgimi01,Mike Higgins,7,1,6,.143,7,1,6,.143,0,0,0,
woodle01,Leon Wood,6,3,3,.500,6,3,3,.500,0,0,0,
dawsoto01,Tony Dawson,4,1,3,.250,4,1,3,.250,0,0,0,
