id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mutomdi01,Dikembe Mutombo,27,15,12,.556,27,15,12,.556,0,0,0,
mingya01,Yao Ming,27,15,12,.556,27,15,12,.556,0,0,0,
mcgratr01,Tracy McGrady,26,14,12,.538,26,14,12,.538,0,0,0,
howarju01,Juwan Howard,25,15,10,.600,25,15,10,.600,0,0,0,
surabo01,Bob Sura,23,15,8,.652,23,15,8,.652,0,0,0,
padgesc01,Scott Padgett,22,11,11,.500,22,11,11,.500,0,0,0,
bowenry01,Ryan Bowen,19,14,5,.737,19,14,5,.737,0,0,0,
tayloma01,Maurice Taylor,18,9,9,.500,18,9,9,.500,0,0,0,
grahajo01,Joey Graham,17,3,14,.176,17,3,14,.176,0,0,0,
sowpa01,Pape Sow,17,3,14,.176,17,3,14,.176,0,0,0,
wesleda01,David Wesley,17,11,6,.647,17,11,6,.647,0,0,0,
petermo01,Morris Peterson,17,3,14,.176,17,3,14,.176,0,0,0,
villach01,Charlie Villanueva,17,3,14,.176,17,3,14,.176,0,0,0,
barryjo01,Jon Barry,17,11,6,.647,17,11,6,.647,0,0,0,
jamesmi01,Mike James,16,3,13,.188,16,3,13,.188,0,0,0,
bonnema01,Matt Bonner,14,3,11,.214,14,3,11,.214,0,0,0,
araujra01,Rafael Araújo,12,2,10,.167,12,2,10,.167,0,0,0,
huntebr01,Brandon Hunter,11,2,9,.182,11,2,9,.182,0,0,0,
battito01,Tony Battie,11,2,9,.182,11,2,9,.182,0,0,0,
howardw01,Dwight Howard,11,2,9,.182,11,2,9,.182,0,0,0,
francst01,Steve Francis,10,2,8,.200,10,2,8,.200,0,0,0,
stevede01,DeShawn Stevenson,10,2,8,.200,10,2,8,.200,0,0,0,
augmost01,Stacey Augmon,10,2,8,.200,10,2,8,.200,0,0,0,
kasunma01,Mario Kasun,9,1,8,.111,9,1,8,.111,0,0,0,
catoke01,Kelvin Cato,9,2,7,.222,9,2,7,.222,0,0,0,
martida01,Darrick Martin,9,1,8,.111,9,1,8,.111,0,0,0,
woodslo01,Loren Woods,9,1,8,.111,9,1,8,.111,0,0,0,
nelsoja01,Jameer Nelson,9,1,8,.111,9,1,8,.111,0,0,0,
stricro02,Rod Strickland,9,6,3,.667,9,6,3,.667,0,0,0,
weathcl01,Clarence Weatherspoon,7,2,5,.286,7,2,5,.286,0,0,0,
jacksji01,Jim Jackson,7,1,6,.143,7,1,6,.143,0,0,0,
gainere01,Reece Gaines,7,5,2,.714,7,5,2,.714,0,0,0,
garripa01,Pat Garrity,7,1,6,.143,7,1,6,.143,0,0,0,
hinriki01,Kirk Hinrich,6,5,1,.833,6,5,1,.833,0,0,0,
willier01,Eric Williams,6,0,6,.000,6,0,6,.000,0,0,0,
boshch01,Chris Bosh,6,3,3,.500,6,3,3,.500,0,0,0,
denglu01,Luol Deng,6,5,1,.833,6,5,1,.833,0,0,0,
caldejo01,José Calderón,6,0,6,.000,6,0,6,.000,0,0,0,
gordobe01,Ben Gordon,6,5,1,.833,6,5,1,.833,0,0,0,
jonesma03,Mark Jones,6,0,6,.000,6,0,6,.000,0,0,0,
brownpj01,P.J. Brown,5,4,1,.800,5,4,1,.800,0,0,0,
duhonch01,Chris Duhon,5,4,1,.800,5,4,1,.800,0,0,0,
khryavi01,Viktor Khryapa,5,4,1,.800,5,4,1,.800,0,0,0,
sefolth01,Thabo Sefolosha,5,4,1,.800,5,4,1,.800,0,0,0,
nachbbo01,Boštjan Nachbar,5,0,5,.000,5,0,5,.000,0,0,0,
luety01,Tyronn Lue,5,1,4,.200,5,1,4,.200,0,0,0,
thomaty01,Tyrus Thomas,4,4,0,1.000,4,4,0,1.000,0,0,0,
thornal01,Al Thornton,4,0,4,.000,4,0,4,.000,0,0,0,
sweetmi01,Mike Sweetney,4,4,0,1.000,4,4,0,1.000,0,0,0,
dickada01,Dan Dickau,4,0,4,.000,4,0,4,.000,0,0,0,
moblecu01,Cuttino Mobley,4,0,4,.000,4,0,4,.000,0,0,0,
maggeco01,Corey Maggette,4,0,4,.000,4,0,4,.000,0,0,0,
allenma01,Malik Allen,4,3,1,.750,4,3,1,.750,0,0,0,
rossqu01,Quinton Ross,4,0,4,.000,4,0,4,.000,0,0,0,
poweljo01,Josh Powell,4,0,4,.000,4,0,4,.000,0,0,0,
kamanch01,Chris Kaman,4,0,4,.000,4,0,4,.000,0,0,0,
griffad01,Adrian Griffin,4,3,1,.750,4,3,1,.750,0,0,0,
wallabe01,Ben Wallace,3,2,1,.667,3,2,1,.667,0,0,0,
knighbr01,Brevin Knight,3,0,3,.000,3,0,3,.000,0,0,0,
thomati01,Tim Thomas,3,0,3,.000,3,0,3,.000,0,0,0,
houseed01,Eddie House,2,1,1,.500,2,1,1,.500,0,0,0,
burkepa01,Pat Burke,2,1,1,.500,2,1,1,.500,0,0,0,
jonesja02,James Jones,2,1,1,.500,2,1,1,.500,0,0,0,
mariosh01,Shawn Marion,2,1,1,.500,2,1,1,.500,0,0,0,
nocioan01,Andrés Nocioni,2,1,1,.500,2,1,1,.500,0,0,0,
fazekni01,Nick Fazekas,2,0,2,.000,2,0,2,.000,0,0,0,
bellra01,Raja Bell,2,1,1,.500,2,1,1,.500,0,0,0,
diawbo01,Boris Diaw,2,1,1,.500,2,1,1,.500,0,0,0,
williaa01,Aaron Williams,2,0,2,.000,2,0,2,.000,0,0,0,
wardch01,Charlie Ward,1,0,1,.000,1,0,1,.000,0,0,0,
knighbr02,Brandin Knight,1,0,1,.000,1,0,1,.000,0,0,0,
tskitni01,Nikoloz Tskitishvili,1,0,1,.000,1,0,1,.000,0,0,0,
nashst01,Steve Nash,1,1,0,1.000,1,1,0,1.000,0,0,0,
hillgr01,Grant Hill,1,0,1,.000,1,0,1,.000,0,0,0,
barbole01,Leandro Barbosa,1,1,0,1.000,1,1,0,1.000,0,0,0,
