id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hardeja01,James Harden,6,3,3,.500,5,2,3,.400,1,1,0,1.000
anderry01,Ryan Anderson,5,2,3,.400,5,2,3,.400,0,0,0,
harremo01,Montrezl Harrell*,5,2,3,.400,5,2,3,.400,0,0,0,
arizatr01,Trevor Ariza,5,2,3,.400,4,1,3,.250,1,1,0,1.000
beverpa01,Patrick Beverley*,4,2,2,.500,4,2,2,.500,0,0,0,
hilarne01,Nenê,4,2,2,.500,3,1,2,.333,1,1,0,1.000
gordoer01,Eric Gordon,4,2,2,.500,3,1,2,.333,1,1,0,1.000
brownbo02,Bobby Brown,3,1,2,.333,3,1,2,.333,0,0,0,
willitr02,Troy Williams,3,1,2,.333,3,1,2,.333,0,0,0,
greenge01,Gerald Green,2,1,1,.500,1,0,1,.000,1,1,0,1.000
dekkesa01,Sam Dekker,2,1,1,.500,2,1,1,.500,0,0,0,
jacksaa01,Aaron Jackson,2,1,1,.500,1,0,1,.000,1,1,0,1.000
willilo02,Lou Williams,2,1,1,.500,2,1,1,.500,0,0,0,
qizh01,Zhou Qi,2,1,1,.500,1,0,1,.000,1,1,0,1.000
ennisty01,Tyler Ennis,2,1,1,.500,2,1,1,.500,0,0,0,
tuckepj01,P.J. Tucker,2,1,1,.500,1,0,1,.000,1,1,0,1.000
johnsjo02,Joe Johnson,2,1,1,.500,1,0,1,.000,1,1,0,1.000
mcdankj01,K.J. McDaniels,2,1,1,.500,2,1,1,.500,0,0,0,
taylois01,Isaiah Taylor,2,1,1,.500,2,1,1,.500,0,0,0,
breweco01,Corey Brewer,2,1,1,.500,2,1,1,.500,0,0,0,
capelca01,Clint Capela*,2,2,0,1.000,1,1,0,1.000,1,1,0,1.000
wiltjky01,Kyle Wiltjer,1,1,0,1.000,1,1,0,1.000,0,0,0,
paulch01,Chris Paul,1,1,0,1.000,0,0,0,,1,1,0,1.000
hunterj01,R.J. Hunter,1,0,1,.000,1,0,1,.000,0,0,0,
blackta01,Tarik Black,1,0,1,.000,1,0,1,.000,0,0,0,
