id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
liberma01,Marcus Liberty,72,18,54,.250,72,18,54,.250,0,0,0,
wolfjo01,Joe Wolf,72,19,53,.264,72,19,53,.264,0,0,0,
abdulma02,Mahmoud Abdul-Rauf,70,20,50,.286,70,20,50,.286,0,0,0,
rasmubl01,Blair Rasmussen,52,15,37,.288,52,15,37,.288,0,0,0,
daviswa03,Walter Davis,51,13,38,.255,51,13,38,.255,0,0,0,
willire01,Reggie Williams,49,15,34,.306,49,15,34,.306,0,0,0,
lichtto01,Todd Lichti,47,13,34,.277,47,13,34,.277,0,0,0,
adamsmi01,Michael Adams,43,14,29,.326,43,14,29,.326,0,0,0,
laneje01,Jerome Lane,41,13,28,.317,41,13,28,.317,0,0,0,
andergr01,Greg Anderson,40,11,29,.275,40,11,29,.275,0,0,0,
woolror01,Orlando Woolridge,36,6,30,.167,36,6,30,.167,0,0,0,
murdoer01,Eric Murdock,23,4,19,.174,23,4,19,.174,0,0,0,
maybele01,Lee Mayberry,23,4,19,.174,23,4,19,.174,0,0,0,
normake01,Ken Norman,23,4,19,.174,23,4,19,.174,0,0,0,
edwarbl01,Blue Edwards,23,4,19,.174,23,4,19,.174,0,0,0,
bakervi01,Vin Baker,23,4,19,.174,23,4,19,.174,0,0,0,
stronde01,Derek Strong,23,4,19,.174,23,4,19,.174,0,0,0,
mutomdi01,Dikembe Mutombo,22,6,16,.273,22,6,16,.273,0,0,0,
garlawi01,Winston Garland,22,6,16,.273,22,6,16,.273,0,0,0,
johnsav01,Avery Johnson,21,3,18,.143,21,3,18,.143,0,0,0,
barryjo01,Jon Barry,21,4,17,.190,21,4,17,.190,0,0,0,
lohaubr01,Brad Lohaus,21,4,17,.190,21,4,17,.190,0,0,0,
maconma01,Mark Macon,21,6,15,.286,21,6,15,.286,0,0,0,
dayto01,Todd Day,20,3,17,.150,20,3,17,.150,0,0,0,
dunntr01,T.R. Dunn,17,2,15,.118,17,2,15,.118,0,0,0,
millste01,Terry Mills,17,3,14,.176,17,3,14,.176,0,0,0,
battlke01,Kenny Battle,16,4,12,.250,16,4,12,.250,0,0,0,
courtjo01,Joe Courtney,14,2,12,.143,14,2,12,.143,0,0,0,
brookke01,Kevin Brooks,13,3,10,.231,13,3,10,.231,0,0,0,
robinja02,James Robinson,11,7,4,.636,11,7,4,.636,0,0,0,
robincl02,Clifford Robinson,11,7,4,.636,11,7,4,.636,0,0,0,
mckieaa01,Aaron McKie,11,7,4,.636,11,7,4,.636,0,0,0,
dudlech02,Chris Dudley,11,7,4,.636,11,7,4,.636,0,0,0,
stricro02,Rod Strickland,11,7,4,.636,11,7,4,.636,0,0,0,
childra01,Randolph Childress,10,7,3,.700,10,7,3,.700,0,0,0,
grantha01,Harvey Grant,10,6,4,.600,10,6,4,.600,0,0,0,
legleti01,Tim Legler,10,2,8,.200,10,2,8,.200,0,0,0,
gaineco01,Corey Gaines,10,1,9,.100,10,1,9,.100,0,0,0,
trentga01,Gary Trent,10,6,4,.600,10,6,4,.600,0,0,0,
nealcr01,Craig Neal,10,1,9,.100,10,1,9,.100,0,0,0,
sabonar01,Arvydas Sabonis,9,6,3,.667,9,6,3,.667,0,0,0,
hastisc01,Scott Hastings,8,1,7,.125,8,1,7,.125,0,0,0,
gminsmi01,Mike Gminski,6,2,4,.333,6,2,4,.333,0,0,0,
wingfdo01,Dontonio Wingfield,6,4,2,.667,6,4,2,.667,0,0,0,
masonan01,Anthony Mason,3,0,3,.000,3,0,3,.000,0,0,0,
farmeji01,Jim Farmer,3,0,3,.000,3,0,3,.000,0,0,0,
greenli01,Litterial Green,2,2,0,1.000,2,2,0,1.000,0,0,0,
slatere01,Reggie Slater,2,1,1,.500,2,1,1,.500,0,0,0,
brickfr01,Frank Brickowski,2,0,2,.000,2,0,2,.000,0,0,0,
hardaan01,Anfernee Hardaway,2,2,0,1.000,2,2,0,1.000,0,0,0,
royaldo01,Donald Royal,2,2,0,1.000,2,2,0,1.000,0,0,0,
towerke01,Keith Tower,2,2,0,1.000,2,2,0,1.000,0,0,0,
anderni01,Nick Anderson,2,2,0,1.000,2,2,0,1.000,0,0,0,
onealsh01,Shaquille O'Neal,2,2,0,1.000,2,2,0,1.000,0,0,0,
bowiean01,Anthony Bowie,2,2,0,1.000,2,2,0,1.000,0,0,0,
willibu01,Buck Williams,2,2,0,1.000,2,2,0,1.000,0,0,0,
turneje01,Jeff Turner,2,2,0,1.000,2,2,0,1.000,0,0,0,
skilesc01,Scott Skiles,2,2,0,1.000,2,2,0,1.000,0,0,0,
scottde01,Dennis Scott,2,2,0,1.000,2,2,0,1.000,0,0,0,
rollitr01,Tree Rollins,1,1,0,1.000,1,1,0,1.000,0,0,0,
