id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
whiteha01,Hassan Whiteside*,144,70,74,.486,140,69,71,.493,4,1,3,.250
johnsja01,James Johnson,133,69,64,.519,129,68,61,.527,4,1,3,.250
richajo01,Josh Richardson*,132,64,68,.485,128,63,65,.492,4,1,3,.250
johnsty01,Tyler Johnson,128,64,64,.500,124,63,61,.508,4,1,3,.250
olynyke01,Kelly Olynyk,118,53,65,.449,114,52,62,.456,4,1,3,.250
ellinwa01,Wayne Ellington,116,57,59,.491,112,56,56,.500,4,1,3,.250
dragigo01,Goran Dragić*,114,59,55,.518,110,58,52,.527,4,1,3,.250
winslju01,Justise Winslow,95,42,53,.442,91,41,50,.451,4,1,3,.250
beysa01,Saddiq Bey*,86,18,68,.209,86,18,68,.209,0,0,0,
adebaba01,Bam Adebayo*,86,41,45,.477,82,40,42,.488,4,1,3,.250
stewais01,Isaiah Stewart,80,19,61,.237,80,19,61,.237,0,0,0,
babbilu01,Luke Babbitt,76,40,36,.526,74,40,34,.541,2,0,2,.000
waitedi01,Dion Waiters,74,40,34,.541,74,40,34,.541,0,0,0,
wadedw01,Dwyane Wade,73,35,38,.479,69,34,35,.493,4,1,3,.250
hayeski01,Killian Hayes,72,15,57,.208,72,15,57,.208,0,0,0,
josepco01,Cory Joseph,72,15,57,.208,72,15,57,.208,0,0,0,
reedwi02,Willie Reed,67,38,29,.567,67,38,29,.567,0,0,0,
diallha01,Hamidou Diallo,61,12,49,.197,61,12,49,.197,0,0,0,
zubaciv01,Ivica Zubac*,61,41,20,.672,56,38,18,.679,5,3,2,.600
greenja01,JaMychal Green,56,38,18,.679,51,35,16,.686,5,3,2,.600
willilo02,Lou Williams,55,36,19,.655,50,33,17,.660,5,3,2,.600
harremo01,Montrezl Harrell*,54,36,18,.667,49,33,16,.673,5,3,2,.600
jonesde02,Derrick Jones Jr.*,52,27,25,.519,52,27,25,.519,0,0,0,
shamela01,Landry Shamet,49,31,18,.633,44,28,16,.636,5,3,2,.600
pattepa01,Patrick Patterson,48,33,15,.688,46,31,15,.674,2,2,0,1.000
leonaka01,Kawhi Leonard,47,34,13,.723,42,31,11,.738,5,3,2,.600
cunnica01,Cade Cunningham,44,11,33,.250,44,11,33,.250,0,0,0,
grantje01,Jerami Grant,42,9,33,.214,42,9,33,.214,0,0,0,
georgpa01,Paul George*,41,29,12,.707,36,26,10,.722,5,3,2,.600
harklma01,Maurice Harkless,38,26,12,.684,38,26,12,.684,0,0,0,
mannte01,Terance Mann*,37,24,13,.649,32,21,11,.656,5,3,2,.600
beverpa01,Patrick Beverley*,37,28,9,.757,35,27,8,.771,2,1,1,.500
leesa01,Saben Lee,36,7,29,.194,36,7,29,.194,0,0,0,
jacksfr01,Frank Jackson,36,3,33,.083,36,3,33,.083,0,0,0,
whiteok01,Okaro White,35,26,9,.743,35,26,9,.743,0,0,0,
