id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mutomdi01,Dikembe Mutombo,43,24,19,.558,40,23,17,.575,3,1,2,.333
rogerro01,Rodney Rogers,43,24,19,.558,40,23,17,.575,3,1,2,.333
stithbr01,Bryant Stith,43,24,19,.558,40,23,17,.575,3,1,2,.333
delebi01,Bison Dele,42,23,19,.548,39,22,17,.564,3,1,2,.333
abdulma02,Mahmoud Abdul-Rauf,42,23,19,.548,39,22,17,.564,3,1,2,.333
willire01,Reggie Williams,41,23,18,.561,38,22,16,.579,3,1,2,.333
ellisla01,LaPhonso Ellis,38,21,17,.553,35,20,15,.571,3,1,2,.333
hammoto01,Tom Hammonds,37,22,15,.595,34,21,13,.618,3,1,2,.333
packro01,Robert Pack,32,19,13,.594,29,18,11,.621,3,1,2,.333
brookke01,Kevin Brooks,16,9,7,.562,14,8,6,.571,2,1,1,.500
randama01,Mark Randall,11,8,3,.727,9,7,2,.778,2,1,1,.500
maconma01,Mark Macon,7,3,4,.429,7,3,4,.429,0,0,0,
jordaad01,Adonis Jordan,4,2,2,.500,4,2,2,.500,0,0,0,
liberma01,Marcus Liberty,3,1,2,.333,3,1,2,.333,0,0,0,
slatere01,Reggie Slater,2,1,1,.500,2,1,1,.500,0,0,0,
levincl01,Cliff Levingston,2,1,1,.500,2,1,1,.500,0,0,0,
ellisda01,Dale Ellis,2,1,1,.500,2,1,1,.500,0,0,0,
roseja01,Jalen Rose,2,1,1,.500,2,1,1,.500,0,0,0,
