id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
thorpot01,Otis Thorpe,14,4,10,.286,14,4,10,.286,0,0,0,
richmmi01,Mitch Richmond,14,4,10,.286,14,4,10,.286,0,0,0,
cheanca01,Calbert Cheaney,14,4,10,.286,14,4,10,.286,0,0,0,
stricro02,Rod Strickland,14,4,10,.286,14,4,10,.286,0,0,0,
legleti01,Tim Legler,13,3,10,.231,13,3,10,.231,0,0,0,
wallabe01,Ben Wallace,12,4,8,.333,12,4,8,.333,0,0,0,
mcinnje01,Jeff McInnis,12,4,8,.333,12,4,8,.333,0,0,0,
whitnch01,Chris Whitney,10,2,8,.200,10,2,8,.200,0,0,0,
jacksra02,Randell Jackson,10,3,7,.300,10,3,7,.300,0,0,0,
daviste01,Terry Davis,7,2,5,.286,7,2,5,.286,0,0,0,
jamisan01,Antawn Jamison,6,2,4,.333,6,2,4,.333,0,0,0,
jacksma02,Marc Jackson,6,2,4,.333,6,2,4,.333,0,0,0,
howarju01,Juwan Howard,6,2,4,.333,6,2,4,.333,0,0,0,
cummivo01,Vonteego Cummings,6,2,4,.333,6,2,4,.333,0,0,0,
blaylmo01,Mookie Blaylock,6,2,4,.333,6,2,4,.333,0,0,0,
surabo01,Bob Sura,6,2,4,.333,6,2,4,.333,0,0,0,
murratr01,Tracy Murray,6,2,4,.333,6,2,4,.333,0,0,0,
barklch01,Charles Barkley,5,3,2,.600,5,3,2,.600,0,0,0,
finlemi01,Michael Finley,5,3,2,.600,5,3,2,.600,0,0,0,
bennema01,Mario Bennett,5,3,2,.600,5,3,2,.600,0,0,0,
persowe01,Wesley Person,5,3,2,.600,5,3,2,.600,0,0,0,
perryel01,Elliot Perry,5,3,2,.600,5,3,2,.600,0,0,0,
johnske02,Kevin Johnson,5,3,2,.600,5,3,2,.600,0,0,0,
williho01,Hot Rod Williams,5,3,2,.600,5,3,2,.600,0,0,0,
greenac01,A.C. Green,5,3,2,.600,5,3,2,.600,0,0,0,
kleinjo01,Joe Kleine,4,3,1,.750,4,3,1,.750,0,0,0,
keefead01,Adam Keefe,4,1,3,.250,4,1,3,.250,0,0,0,
mannida01,Danny Manning,4,2,2,.500,4,2,2,.500,0,0,0,
hughela01,Larry Hughes,4,2,2,.500,4,2,2,.500,0,0,0,
whiteja01,Jahidi White,4,0,4,.000,4,0,4,.000,0,0,0,
portech01,Chris Porter,4,2,2,.500,4,2,2,.500,0,0,0,
carrch01,Chris Carr,4,2,2,.500,4,2,2,.500,0,0,0,
delnevi01,Vinny Del Negro,3,0,3,.000,3,0,3,.000,0,0,0,
curlebi01,Bill Curley,3,0,3,.000,3,0,3,.000,0,0,0,
mullich01,Chris Mullin,2,0,2,.000,2,0,2,.000,0,0,0,
brownch01,Chucky Brown,1,0,1,.000,1,0,1,.000,0,0,0,
