id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hillgr01,Grant Hill,170,104,66,.612,154,94,60,.610,16,10,6,.625
nashst01,Steve Nash,162,99,63,.611,146,89,57,.610,16,10,6,.625
barbole01,Leandro Barbosa,158,100,58,.633,131,84,47,.641,27,16,11,.593
lopezro01,Robin Lopez*,156,77,79,.494,150,75,75,.500,6,2,4,.333
richaja01,Jason Richardson,150,93,57,.620,134,83,51,.619,16,10,6,.625
stoudam01,Amar'e Stoudemire,150,90,60,.600,134,80,54,.597,16,10,6,.625
dragigo01,Goran Dragić*,145,90,55,.621,129,80,49,.620,16,10,6,.625
dudleja01,Jared Dudley,143,91,52,.636,127,81,46,.638,16,10,6,.625
fryech01,Channing Frye,94,63,31,.670,78,53,25,.679,16,10,6,.625
smithja02,Jason Smith,74,27,47,.365,72,27,45,.375,2,0,2,.000
westda01,David West,71,44,27,.620,60,38,22,.633,11,6,5,.545
barnema02,Matt Barnes,71,37,34,.521,71,37,34,.521,0,0,0,
hansbty01,Tyler Hansbrough,71,44,27,.620,60,38,22,.633,11,6,5,.545
georgpa01,Paul George*,71,44,27,.620,60,38,22,.633,11,6,5,.545
hibbero01,Roy Hibbert,70,43,27,.614,59,37,22,.627,11,6,5,.545
gallola01,Langston Galloway,70,23,47,.329,70,23,47,.329,0,0,0,
onealsh01,Shaquille O'Neal,69,39,30,.565,69,39,30,.565,0,0,0,
grangda01,Danny Granger,68,43,25,.632,57,37,20,.649,11,6,5,.545
jonesda02,Dahntay Jones,66,41,25,.621,59,38,21,.644,7,3,4,.429
thomala01,Lance Thomas,65,24,41,.369,65,24,41,.369,0,0,0,
collida01,Darren Collison,65,38,27,.585,54,32,22,.593,11,6,5,.545
hillge01,George Hill,59,39,20,.661,48,33,15,.688,11,6,5,.545
clarkea01,Earl Clark,51,38,13,.745,48,35,13,.729,3,3,0,1.000
priceaj01,A.J. Price,49,28,21,.571,45,25,20,.556,4,3,1,.750
willide02,Derrick Williams,46,17,29,.370,46,17,29,.370,0,0,0,
