id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
barbole01,Leandro Barbosa,34,24,10,.706,33,23,10,.697,1,1,0,1.000
diawbo01,Boris Diaw,34,24,10,.706,33,23,10,.697,1,1,0,1.000
stoudam01,Amar'e Stoudemire,33,23,10,.697,32,22,10,.688,1,1,0,1.000
nashst01,Steve Nash,33,24,9,.727,32,23,9,.719,1,1,0,1.000
bellra01,Raja Bell,32,22,10,.688,31,21,10,.677,1,1,0,1.000
hillgr01,Grant Hill,28,19,9,.679,28,19,9,.679,0,0,0,
skinnbr01,Brian Skinner,28,21,7,.750,27,20,7,.741,1,1,0,1.000
marksse01,Sean Marks,17,15,2,.882,16,14,2,.875,1,1,0,1.000
onealsh01,Shaquille O'Neal,15,10,5,.667,14,9,5,.643,1,1,0,1.000
mariosh01,Shawn Marion,13,11,2,.846,13,11,2,.846,0,0,0,
piatker01,Eric Piatkowski,11,10,1,.909,10,9,1,.900,1,1,0,1.000
banksma01,Marcus Banks,10,8,2,.800,10,8,2,.800,0,0,0,
giricgo01,Gordan Giriček,9,7,2,.778,8,6,2,.750,1,1,0,1.000
johnsli01,Linton Johnson,4,2,2,.500,4,2,2,.500,0,0,0,
tuckeal02,Alando Tucker,3,3,0,1.000,3,3,0,1.000,0,0,0,
