id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
gillke01,Kendall Gill,311,118,193,.379,302,114,188,.377,9,4,5,.444
ewingpa01,Patrick Ewing,259,142,117,.548,236,132,104,.559,23,10,13,.435
wilkige01,Gerald Wilkins,259,143,116,.552,236,133,103,.564,23,10,13,.435
jacksma01,Mark Jackson,250,137,113,.548,228,128,100,.561,22,9,13,.409
tucketr01,Trent Tucker,249,137,112,.550,226,127,99,.562,23,10,13,.435
walkeke01,Kenny Walker,244,134,110,.549,221,124,97,.561,23,10,13,.435
robingl01,Glenn Robinson,242,90,152,.372,242,90,152,.372,0,0,0,
bakervi01,Vin Baker,242,90,152,.372,242,90,152,.372,0,0,0,
douglsh01,Sherman Douglas,227,79,148,.348,227,79,148,.348,0,0,0,
boguemu01,Muggsy Bogues,222,89,133,.401,213,85,128,.399,9,4,5,.444
curryde01,Dell Curry,214,86,128,.402,205,82,123,.400,9,4,5,.444
gattike01,Kenny Gattison,209,84,125,.402,200,80,120,.400,9,4,5,.444
greensi02,Sidney Green,200,111,89,.555,178,101,77,.567,22,10,12,.455
perryel01,Elliot Perry,172,65,107,.378,172,65,107,.378,0,0,0,
gilliar01,Armen Gilliam,172,80,92,.465,168,79,89,.470,4,1,3,.250
maybele01,Lee Mayberry,164,59,105,.360,164,59,105,.360,0,0,0,
wilkied01,Eddie Lee Wilkins,161,99,62,.615,147,92,55,.626,14,7,7,.500
oaklech01,Charles Oakley,161,97,64,.602,142,88,54,.620,19,9,10,.474
conloma01,Marty Conlon,156,54,102,.346,156,54,102,.346,0,0,0,
harrilu01,Lucious Harris,150,50,100,.333,150,50,100,.333,0,0,0,
johnsla02,Larry Johnson,146,65,81,.445,137,61,76,.445,9,4,5,.444
marbust01,Stephon Marbury,141,53,88,.376,141,53,88,.376,0,0,0,
stricro02,Rod Strickland,140,90,50,.643,131,85,46,.649,9,5,4,.556
benjabe01,Benoit Benjamin,137,62,75,.453,133,61,72,.459,4,1,3,.250
vanhoke01,Keith Van Horn,129,46,83,.357,129,46,83,.357,0,0,0,
eschmev01,Evan Eschmeyer,121,46,75,.380,120,46,74,.383,1,0,1,.000
reidjr01,J.R. Reid,118,41,77,.347,118,41,77,.347,0,0,0,
keysra01,Randolph Keys,113,33,80,.292,113,33,80,.292,0,0,0,
wolfjo01,Joe Wolf,106,31,75,.292,106,31,75,.292,0,0,0,
gminsmi01,Mike Gminski,101,39,62,.386,99,38,61,.384,2,1,1,.500
williaa01,Aaron Williams,97,30,67,.309,97,30,67,.309,0,0,0,
dayto01,Todd Day,90,37,53,.411,90,37,53,.411,0,0,0,
mournal01,Alonzo Mourning,87,44,43,.506,78,40,38,.513,9,4,5,.444
feickja01,Jamie Feick,87,33,54,.379,87,33,54,.379,0,0,0,
murdoer01,Eric Murdock,84,33,51,.393,84,33,51,.393,0,0,0,
mcilvji01,Jim McIlvaine,84,32,52,.381,84,32,52,.381,0,0,0,
benneto01,Tony Bennett,83,42,41,.506,75,39,36,.520,8,3,5,.375
allenra02,Ray Allen,82,33,49,.402,82,33,49,.402,0,0,0,
leckner01,Eric Leckner,82,27,55,.329,82,27,55,.329,0,0,0,
burresc01,Scott Burrell,82,34,48,.415,82,34,48,.415,0,0,0,
chapmre01,Rex Chapman,82,26,56,.317,82,26,56,.317,0,0,0,
cummite01,Terry Cummings,81,24,57,.296,81,24,57,.296,0,0,0,
cartwbi01,Bill Cartwright,81,39,42,.481,77,38,39,.494,4,1,3,.250
jacksst02,Stephen Jackson,77,25,52,.325,77,25,52,.325,0,0,0,
tripuke01,Kelly Tripucka,76,24,52,.316,76,24,52,.316,0,0,0,
respesh01,Shawn Respert,76,16,60,.211,76,16,60,.211,0,0,0,
goldwan01,Anthony Goldwire,74,11,63,.149,74,11,63,.149,0,0,0,
garrede01,Dean Garrett,74,11,63,.149,74,11,63,.149,0,0,0,
fortsda01,Danny Fortson,72,11,61,.153,72,11,61,.153,0,0,0,
ellisla01,LaPhonso Ellis,69,11,58,.159,69,11,58,.159,0,0,0,
martike01,Kenyon Martin,68,22,46,.324,68,22,46,.324,0,0,0,
anderke01,Kenny Anderson,67,40,27,.597,63,39,24,.619,4,1,3,.250
listeal01,Alton Lister,67,26,41,.388,67,26,41,.388,0,0,0,
edwarke01,Kevin Edwards,67,40,27,.597,63,39,24,.619,4,1,3,.250
brownpj01,P.J. Brown,66,40,26,.606,62,39,23,.629,4,1,3,.250
vandeki01,Kiki Vandeweghe,66,30,36,.455,47,21,26,.447,19,9,10,.474
lynchke01,Kevin Lynch,63,25,38,.397,62,24,38,.387,1,1,0,1.000
wingada01,David Wingate,63,32,31,.508,54,28,26,.519,9,4,5,.444
colemde01,Derrick Coleman,62,36,26,.581,58,35,23,.603,4,1,3,.250
kittlke01,Kerry Kittles,62,29,33,.468,62,29,33,.468,0,0,0,
pincked01,Ed Pinckney,62,27,35,.435,62,27,35,.435,0,0,0,
jacksbo01,Bobby Jackson,61,8,53,.131,61,8,53,.131,0,0,0,
cummipa01,Pat Cummings,61,30,31,.492,58,29,29,.500,3,1,2,.333
wesleda01,David Wesley,60,38,22,.633,57,37,20,.649,3,1,2,.333
brownch01,Chucky Brown,60,24,36,.400,60,24,36,.400,0,0,0,
washier01,Eric Washington,59,7,52,.119,59,7,52,.119,0,0,0,
harpero01,Ron Harper,59,20,39,.339,59,20,39,.339,0,0,0,
battito01,Tony Battie,58,8,50,.138,58,8,50,.138,0,0,0,
williho01,Hot Rod Williams,57,19,38,.333,57,19,38,.333,0,0,0,
daughbr01,Brad Daugherty,57,20,37,.351,57,20,37,.351,0,0,0,
westma01,Mark West,57,20,37,.351,57,20,37,.351,0,0,0,
willija01,Jayson Williams,56,32,24,.571,54,32,22,.593,2,0,2,.000
