id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
tatumea01,Earl Tatum,11,3,8,.273,11,3,8,.273,0,0,0,
carrml01,M.L. Carr,11,3,8,.273,11,3,8,.273,0,0,0,
porteke01,Kevin Porter,11,3,8,.273,11,3,8,.273,0,0,0,
greenri01,Rickey Green,11,3,8,.273,11,3,8,.273,0,0,0,
longjo01,John Long,11,3,8,.273,11,3,8,.273,0,0,0,
poquebe01,Ben Poquette,11,3,8,.273,11,3,8,.273,0,0,0,
tylerte01,Terry Tyler,11,3,8,.273,11,3,8,.273,0,0,0,
laniebo01,Bob Lanier,8,2,6,.250,8,2,6,.250,0,0,0,
douglle01,Leon Douglas,8,2,6,.250,8,2,6,.250,0,0,0,
wakefan01,Andre Wakefield,8,3,5,.375,8,3,5,.375,0,0,0,
grunfer01,Ernie Grunfeld,3,1,2,.333,3,1,2,.333,0,0,0,
johnsma01,Marques Johnson,3,1,2,.333,3,1,2,.333,0,0,0,
bridgju01,Junior Bridgeman,3,1,2,.333,3,1,2,.333,0,0,0,
wintebr01,Brian Winters,3,1,2,.333,3,1,2,.333,0,0,0,
bucknqu01,Quinn Buckner,3,1,2,.333,3,1,2,.333,0,0,0,
waltoll01,Lloyd Walton,3,1,2,.333,3,1,2,.333,0,0,0,
gianejo01,John Gianelli,3,1,2,.333,3,1,2,.333,0,0,0,
bensoke01,Kent Benson,3,1,2,.333,3,1,2,.333,0,0,0,
restake01,Kevin Restani,2,1,1,.500,2,1,1,.500,0,0,0,
hawkiro01,Bubbles Hawkins,2,0,2,.000,2,0,2,.000,0,0,0,
