id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
danieme01,Mel Daniels*,109,68,41,.624,94,60,34,.638,15,8,7,.533
huntele01,Les Hunter,88,50,38,.568,88,50,38,.568,0,0,0,
freemdo01,Donnie Freeman*,84,47,37,.560,84,47,37,.560,0,0,0,
kellega01,Gary Keller*,82,45,37,.549,82,45,37,.549,0,0,0,
thoresk01,Skip Thoren,79,42,37,.532,79,42,37,.532,0,0,0,
inniger01,Ervin Inniger,78,43,35,.551,78,43,35,.551,0,0,0,
smithsa01,Sam Smith*,66,41,25,.621,66,41,25,.621,0,0,0,
palmeer01,Errol Palmer*,56,35,21,.625,56,35,21,.625,0,0,0,
peeplge01,George Peeples*,53,28,25,.528,38,20,18,.526,15,8,7,.533
bowento01,Tommie Bowens*,44,15,29,.341,44,15,29,.341,0,0,0,
kunzete01,Terry Kunze*,43,25,18,.581,43,25,18,.581,0,0,0,
lewisfr02,Freddie Lewis,42,26,16,.619,27,18,9,.667,15,8,7,.533
netolbo01,Bob Netolicky*,42,26,16,.619,27,18,9,.667,15,8,7,.533
brownro01,Roger Brown*,42,26,16,.619,27,18,9,.667,15,8,7,.533
vergabo01,Bob Verga,39,12,27,.308,39,12,27,.308,0,0,0,
mahafra01,Randy Mahaffey,36,12,24,.333,36,12,24,.333,0,0,0,
whitnha01,Hank Whitney*,33,11,22,.333,33,11,22,.333,0,0,0,
thackto01,Tom Thacker*,32,22,10,.688,18,14,4,.778,14,8,6,.571
milleja01,Jay Miller*,30,19,11,.633,19,13,6,.684,11,6,5,.545
hoopebo01,Bobby Hooper,29,19,10,.655,15,11,4,.733,14,8,6,.571
butlemi01,Mike Butler*,27,13,14,.481,27,13,14,.481,0,0,0,
govange01,Gerald Govan*,27,13,14,.481,27,13,14,.481,0,0,0,
faircjo01,John Fairchild*,27,16,11,.593,20,13,7,.650,7,3,4,.429
jonesst01,Steve Jones*,27,13,14,.481,27,13,14,.481,0,0,0,
robbire01,Red Robbins*,26,13,13,.500,26,13,13,.500,0,0,0,
franzro01,Ron Franz,26,13,13,.500,26,13,13,.500,0,0,0,
morelja01,Jackie Moreland*,24,10,14,.417,24,10,14,.417,0,0,0,
murrewi01,Willie Murrell,24,9,15,.375,24,9,15,.375,0,0,0,
deedo01,Don Dee,24,13,11,.542,13,7,6,.538,11,6,5,.545
sidledo01,Don Sidle*,24,9,15,.375,24,9,15,.375,0,0,0,
fraziwi01,Will Frazier,22,3,19,.136,22,3,19,.136,0,0,0,
simonwa01,Walt Simon*,21,4,17,.190,21,4,17,.190,0,0,0,
clarkri01,Dick Clark*,20,11,9,.550,20,11,9,.550,0,0,0,
sparkda01,Dan Sparks,20,7,13,.350,20,7,13,.350,0,0,0,
littlge01,Gene Littles,19,9,10,.474,19,9,10,.474,0,0,0,
moedo01,Doug Moe,19,9,10,.474,19,9,10,.474,0,0,0,
buntibi02,Bill Bunting,19,9,10,.474,19,9,10,.474,0,0,0,
thornda01,Dallas Thornton*,18,5,13,.278,18,5,13,.278,0,0,0,
tartle01,Levern Tart*,18,4,14,.222,18,4,14,.222,0,0,0,
jonesji01,Jimmy Jones,18,8,10,.444,18,8,10,.444,0,0,0,
leaksma01,Manny Leaks*,17,3,14,.176,17,3,14,.176,0,0,0,
lloydbo01,Bobby Lloyd*,15,3,12,.200,15,3,12,.200,0,0,0,
fowleca01,Calvin Fowler*,15,6,9,.400,15,6,9,.400,0,0,0,
sutorge01,George Sutor*,12,5,7,.417,12,5,7,.417,0,0,0,
rookje01,Jerry Rook*,12,9,3,.750,12,9,3,.750,0,0,0,
iverswi01,Willie Iverson*,12,7,5,.583,12,7,5,.583,0,0,0,
hooveto01,Tom Hoover*,10,3,7,.300,10,3,7,.300,0,0,0,
swiftsk01,Skeeter Swift,10,6,4,.600,10,6,4,.600,0,0,0,
kramest01,Steve Kramer*,7,4,3,.571,7,4,3,.571,0,0,0,
dardeol01,Ollie Darden,6,1,5,.167,6,1,5,.167,0,0,0,
anderda01,Dan Anderson,4,0,4,.000,4,0,4,.000,0,0,0,
worslwi01,Willie Worsley,3,0,3,.000,3,0,3,.000,0,0,0,
joynebu01,Butch Joyner,2,1,1,.500,2,1,1,.500,0,0,0,
jonesni01,Nick Jones,2,1,1,.500,2,1,1,.500,0,0,0,
wilbuke01,Ken Wilburn*,1,0,1,.000,1,0,1,.000,0,0,0,
