id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hoffmpa01,Paul Hoffman*,133,27,106,.203,131,27,104,.206,2,0,2,.000
felixra01,Ray Felix*,72,16,56,.222,72,16,56,.222,0,0,0,
rogesal01,Al Roges*,67,14,53,.209,67,14,53,.209,0,0,0,
fritsji01,Jim Fritsche*,66,16,50,.242,66,16,50,.242,0,0,0,
hansro01,Rollen Hans*,66,16,50,.242,66,16,50,.242,0,0,0,
henrido01,Don Henriksen*,60,12,48,.200,58,12,46,.207,2,0,2,.000
houbrbo01,Bob Houbregs*,59,13,46,.220,59,13,46,.220,0,0,0,
baechji01,Jim Baechtold*,56,11,45,.196,54,11,43,.204,2,0,2,.000
barksdo01,Don Barksdale,55,10,45,.182,55,10,45,.182,0,0,0,
barnhle01,Leo Barnhorst,54,13,41,.241,54,13,41,.241,0,0,0,
lumppra01,Ray Lumpp,51,11,40,.216,49,11,38,.224,2,0,2,.000
osheake01,Kevin O'Shea*,36,6,30,.167,36,6,30,.167,0,0,0,
scolafr01,Fred Scolari*,36,8,28,.222,36,8,28,.222,0,0,0,
bovendo01,Don Boven*,33,8,25,.242,33,8,25,.242,0,0,0,
smythjo01,Joe Smyth,32,6,26,.188,32,6,26,.188,0,0,0,
luisiji01,Jim Luisi,31,7,24,.226,31,7,24,.226,0,0,0,
uplinha01,Hal Uplinger,23,4,19,.174,23,4,19,.174,0,0,0,
reaco01,Connie Rea,20,5,15,.250,20,5,15,.250,0,0,0,
kaftage01,George Kaftan*,20,3,17,.150,20,3,17,.150,0,0,0,
bolgebi01,Bill Bolger,20,6,14,.300,20,6,14,.300,0,0,0,
kerrija01,Jack Kerris*,19,4,15,.211,17,4,13,.235,2,0,2,.000
workmma01,Mark Workman,19,5,14,.263,19,5,14,.263,0,0,0,
miasest01,Stan Miasek*,17,2,15,.118,17,2,15,.118,0,0,0,
obriera01,Ralph O'Brien,15,2,13,.133,14,2,12,.143,1,0,1,.000
buntdi01,Dick Bunt,12,1,11,.083,11,1,10,.091,1,0,1,.000
priddbo01,Bob Priddy,11,1,10,.091,10,1,9,.100,1,0,1,.000
zasloma01,Max Zaslofsky*,11,2,9,.182,11,2,9,.182,0,0,0,
nichoja01,Jack Nichols*,10,3,7,.300,10,3,7,.300,0,0,0,
minorda01,Dave Minor*,10,2,8,.200,10,2,8,.200,0,0,0,
hutchme01,Mel Hutchins*,10,3,7,.300,10,3,7,.300,0,0,0,
ottendo01,Don Otten,10,3,7,.300,10,3,7,.300,0,0,0,
masinal01,Al Masino*,10,3,7,.300,10,3,7,.300,0,0,0,
darcepe01,Pete Darcey,10,3,7,.300,10,3,7,.300,0,0,0,
payakjo01,Johnny Payak*,10,3,7,.300,10,3,7,.300,0,0,0,
crockdi01,Dillard Crocker*,10,3,7,.300,10,3,7,.300,0,0,0,
mcleoge01,George McLeod*,9,3,6,.333,9,3,6,.333,0,0,0,
asmondo01,Don Asmonga,7,1,6,.143,7,1,6,.143,0,0,0,
kudelfr01,Frank Kudelka*,6,0,6,.000,6,0,6,.000,0,0,0,
oboyljo01,John O'Boyle,5,3,2,.600,5,3,2,.600,0,0,0,
feigege01,George Feigenbaum*,4,0,4,.000,4,0,4,.000,0,0,0,
peterbo01,Bob Peterson,4,0,4,.000,4,0,4,.000,0,0,0,
mahonmo01,Mo Mahoney,2,0,2,.000,2,0,2,.000,0,0,0,
dennibl01,Blaine Denning,1,0,1,.000,1,0,1,.000,0,0,0,
nolenpa01,Paul Nolen,1,0,1,.000,1,0,1,.000,0,0,0,
