id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
collijo01,John Collins*,1,1,0,1.000,1,1,0,1.000,0,0,0,
cartevi01,Vince Carter,1,1,0,1.000,1,1,0,1.000,0,0,0,
youngtr01,Trae Young*,1,1,0,1.000,1,1,0,1.000,0,0,0,
princta02,Taurean Prince*,1,1,0,1.000,1,1,0,1.000,0,0,0,
spellom01,Omari Spellman,1,1,0,1.000,1,1,0,1.000,0,0,0,
huertke01,Kevin Huerter*,1,1,0,1.000,1,1,0,1.000,0,0,0,
bazemke01,Kent Bazemore*,1,1,0,1.000,1,1,0,1.000,0,0,0,
bembrde01,DeAndre' Bembry,1,1,0,1.000,1,1,0,1.000,0,0,0,
adamsja01,Jaylen Adams,1,1,0,1.000,1,1,0,1.000,0,0,0,
dedmode01,Dewayne Dedmon,1,1,0,1.000,1,1,0,1.000,0,0,0,
lenal01,Alex Len*,1,1,0,1.000,1,1,0,1.000,0,0,0,
