id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
rondora01,Rajon Rondo*,236,169,67,.716,201,150,51,.746,35,19,16,.543
piercpa01,Paul Pierce,235,168,67,.715,200,149,51,.745,35,19,16,.543
perkike01,Kendrick Perkins,233,165,68,.708,199,146,53,.734,34,19,15,.559
allenra02,Ray Allen,232,164,68,.707,197,145,52,.736,35,19,16,.543
davisgl01,Glen Davis,190,134,56,.705,162,120,42,.741,28,14,14,.500
grantbr01,Brian Grant,187,74,113,.396,180,72,108,.400,7,2,5,.286
garneke01,Kevin Garnett,185,137,48,.741,164,125,39,.762,21,12,9,.571
allento01,Tony Allen,169,121,48,.716,145,109,36,.752,24,12,12,.500
jonesja02,James Jones,149,98,51,.658,130,88,42,.677,19,10,9,.526
powele01,Leon Powe,144,107,37,.743,123,95,28,.772,21,12,9,.571
scalabr01,Brian Scalabrine,133,96,37,.722,121,90,31,.744,12,6,6,.500
jonesed02,Eddie Jones,128,49,79,.383,125,49,76,.392,3,0,3,.000
cartean01,Anthony Carter,108,35,73,.324,105,35,70,.333,3,0,3,.000
stepavl01,Vladimir Stepania,103,28,75,.272,103,28,75,.272,0,0,0,
ellisla01,LaPhonso Ellis,97,27,70,.278,97,27,70,.278,0,0,0,
mariosh01,Shawn Marion,94,59,35,.628,80,52,28,.650,14,7,7,.500
mooremi01,Mikki Moore,94,50,44,.532,80,43,37,.537,14,7,7,.500
diawbo01,Boris Diaw,94,59,35,.628,80,52,28,.650,14,7,7,.500
nashst01,Steve Nash,92,60,32,.652,78,53,25,.679,14,7,7,.500
poseyja01,James Posey,91,68,23,.747,70,56,14,.800,21,12,9,.571
bellra01,Raja Bell,89,59,30,.663,78,53,25,.679,11,6,5,.545
barbole01,Leandro Barbosa,71,43,28,.606,57,36,21,.632,14,7,7,.500
mournal01,Alonzo Mourning,70,26,44,.371,67,26,41,.388,3,0,3,.000
bibbymi01,Mike Bibby,68,39,29,.574,59,36,23,.610,9,3,6,.333
jamesmi01,Mike James,65,16,49,.246,65,16,49,.246,0,0,0,
allenma01,Malik Allen,64,13,51,.203,64,13,51,.203,0,0,0,
jacksji01,Jim Jackson,64,33,31,.516,64,33,31,.516,0,0,0,
pruitga01,Gabe Pruitt,62,44,18,.710,58,42,16,.724,4,2,2,.500
jamesle01,LeBron James*,60,41,19,.683,53,38,15,.717,7,3,4,.429
kamanch01,Chris Kaman,60,16,44,.267,60,16,44,.267,0,0,0,
cartevi01,Vince Carter,60,29,31,.483,56,27,29,.482,4,2,2,.500
wadedw01,Dwyane Wade,59,39,20,.661,52,36,16,.692,7,3,4,.429
anthojo01,Joel Anthony,59,41,18,.695,52,38,14,.731,7,3,4,.429
collija04,Jason Collins,58,28,30,.483,54,26,28,.481,4,2,2,.500
boshch01,Chris Bosh,58,39,19,.672,51,36,15,.706,7,3,4,.429
kiddja01,Jason Kidd,58,29,29,.500,54,27,27,.500,4,2,2,.500
stricro02,Rod Strickland,58,22,36,.379,58,22,36,.379,0,0,0,
willima03,Marcus Williams,57,28,29,.491,53,26,27,.491,4,2,2,.500
walkebi01,Henry Walker,57,35,22,.614,53,33,20,.623,4,2,2,.500
gillke01,Kendall Gill,56,25,31,.446,56,25,31,.446,0,0,0,
boonejo01,Josh Boone,54,27,27,.500,50,25,25,.500,4,2,2,.500
nachbbo01,Boštjan Nachbar,54,27,27,.500,50,25,25,.500,4,2,2,.500
maggeco01,Corey Maggette,53,14,39,.264,53,14,39,.264,0,0,0,
bowenbr01,Bruce Bowen,53,30,23,.566,50,30,20,.600,3,0,3,.000
thomaku01,Kurt Thomas,53,36,17,.679,52,35,17,.673,1,1,0,1.000
greenac01,A.C. Green,53,30,23,.566,50,30,20,.600,3,0,3,.000
ilgauzy01,Zydrunas Ilgauskas,52,36,16,.692,48,33,15,.688,4,3,1,.750
barnema02,Matt Barnes,52,18,34,.346,52,18,34,.346,0,0,0,
songada01,Darius Songaila,52,29,23,.558,49,29,20,.592,3,0,3,.000
masonan01,Anthony Mason,51,29,22,.569,48,29,19,.604,3,0,3,.000
butleca01,Caron Butler,51,9,42,.176,51,9,42,.176,0,0,0,
chalmma01,Mario Chalmers,51,36,15,.706,44,33,11,.750,7,3,4,.429
brandel01,Elton Brand,48,11,37,.229,48,11,37,.229,0,0,0,
besttr01,Travis Best,48,9,39,.188,48,9,39,.188,0,0,0,
hardati01,Tim Hardaway,47,26,21,.553,45,26,19,.578,2,0,2,.000
wilcoch01,Chris Wilcox,47,15,32,.319,47,15,32,.319,0,0,0,
evansma01,Maurice Evans,47,26,21,.553,45,26,19,.578,2,0,2,.000
wallara01,Rasheed Wallace,47,31,16,.660,47,31,16,.660,0,0,0,
butlera01,Rasual Butler,47,6,41,.128,47,6,41,.128,0,0,0,
drobnpr01,Predrag Drobnjak,46,11,35,.239,46,11,35,.239,0,0,0,
moblecu01,Cuttino Mobley,46,23,23,.500,43,23,20,.535,3,0,3,.000
burkepa01,Pat Burke,44,30,14,.682,41,27,14,.659,3,3,0,1.000
gatlich01,Chris Gatling,44,13,31,.295,44,13,31,.295,0,0,0,
doolike01,Keyon Dooling,43,9,34,.209,43,9,34,.209,0,0,0,
richaqu01,Quentin Richardson,43,14,29,.326,43,14,29,.326,0,0,0,
elyme01,Melvin Ely,43,10,33,.233,43,10,33,.233,0,0,0,
adamsha01,Hassan Adams,43,20,23,.465,41,19,22,.463,2,1,1,.500
howarju01,Juwan Howard,42,28,14,.667,36,26,10,.722,6,2,4,.333
jaricma01,Marko Jarić,41,16,25,.390,41,16,25,.390,0,0,0,
wrighan01,Antoine Wright,41,21,20,.512,37,19,18,.514,4,2,2,.500
thomati01,Tim Thomas,40,22,18,.550,26,15,11,.577,14,7,7,.500
jefferi01,Richard Jefferson,38,21,17,.553,34,19,15,.559,4,2,2,.500
simmobo01,Bobby Simmons,37,10,27,.270,37,10,27,.270,0,0,0,
stojape01,Peja Stojaković,37,21,16,.568,34,21,13,.618,3,0,3,.000
marbust01,Stephon Marbury,37,23,14,.622,23,16,7,.696,14,7,7,.500
majerda01,Dan Majerle,37,22,15,.595,34,22,12,.647,3,0,3,.000
overtdo01,Doug Overton,36,8,28,.222,36,8,28,.222,0,0,0,
marksse01,Sean Marks,35,7,28,.200,35,7,28,.200,0,0,0,
robincl02,Clifford Robinson,35,17,18,.486,34,16,18,.471,1,1,0,1.000
brownpj01,P.J. Brown,35,25,10,.714,15,13,2,.867,20,12,8,.600
arroyca01,Carlos Arroyo,34,22,12,.647,34,22,12,.647,0,0,0,
willish02,Shelden Williams,33,24,9,.727,33,24,9,.727,0,0,0,
dampier01,Erick Dampier,33,24,9,.727,33,24,9,.727,0,0,0,
ostergr01,Greg Ostertag,31,16,15,.516,29,16,13,.552,2,0,2,.000
giddejr01,J.R. Giddens,30,17,13,.567,30,17,13,.567,0,0,0,
cassesa01,Sam Cassell,30,21,9,.700,14,12,2,.857,16,9,7,.562
martike02,Kevin Martin,29,18,11,.621,29,18,11,.621,0,0,0,
thomake01,Kenny Thomas,29,15,14,.517,26,15,11,.577,3,0,3,.000
millemi01,Mike Miller,28,18,10,.643,23,16,7,.696,5,2,3,.400
skinnbr01,Brian Skinner,28,15,13,.536,25,15,10,.600,3,0,3,.000
millebr01,Brad Miller,27,15,12,.556,24,15,9,.625,3,0,3,.000
willico02,Corliss Williamson,27,14,13,.519,24,14,10,.583,3,0,3,.000
obryapa01,Patrick O'Bryant,26,21,5,.808,26,21,5,.808,0,0,0,
lamplse01,Sean Lampley,26,2,24,.077,26,2,24,.077,0,0,0,
pollasc01,Scot Pollard,22,17,5,.773,22,17,5,.773,0,0,0,
daniema01,Marquis Daniels,22,16,6,.727,22,16,6,.727,0,0,0,
cebalce01,Cedric Ceballos,22,13,9,.591,19,13,6,.684,3,0,3,.000
causwdu01,Duane Causwell,19,7,12,.368,18,7,11,.389,1,0,1,.000
harrial01,Al Harrington,18,5,13,.278,18,5,13,.278,0,0,0,
leeda02,David Lee,18,5,13,.278,18,5,13,.278,0,0,0,
gallida01,Danilo Gallinari*,18,5,13,.278,18,5,13,.278,0,0,0,
mcgratr01,Tracy McGrady,17,4,13,.235,17,4,13,.235,0,0,0,
magloja01,Jamaal Magloire,17,13,4,.765,15,12,3,.800,2,1,1,.500
rodrise01,Sergio Rodríguez,17,4,13,.235,17,4,13,.235,0,0,0,
hasleud01,Udonis Haslem,17,9,8,.529,13,8,5,.615,4,1,3,.250
tskitni01,Nikoloz Tskitishvili,16,10,6,.625,12,7,5,.583,4,3,1,.750
hudsole01,Lester Hudson,16,13,3,.812,16,13,3,.812,0,0,0,
webbech01,Chris Webber,16,8,8,.500,16,8,8,.500,0,0,0,
douglto01,Toney Douglas,14,5,9,.357,14,5,9,.357,0,0,0,
johnske03,Ken Johnson,13,2,11,.154,13,2,11,.154,0,0,0,
okafoem01,Emeka Okafor,13,3,10,.231,13,3,10,.231,0,0,0,
robinbe01,Bernard Robinson,13,2,11,.154,13,2,11,.154,0,0,0,
brezepr01,Primož Brezec,13,3,10,.231,13,3,10,.231,0,0,0,
wallage01,Gerald Wallace,13,3,10,.231,13,3,10,.231,0,0,0,
kaponja01,Jason Kapono,13,3,10,.231,13,3,10,.231,0,0,0,
danieer01,Erik Daniels,12,7,5,.583,12,7,5,.583,0,0,0,
chandwi01,Wilson Chandler,12,4,8,.333,12,4,8,.333,0,0,0,
smithst01,Steve Smith,12,3,9,.250,12,3,9,.250,0,0,0,
macksa01,Sam Mack,11,2,9,.182,11,2,9,.182,0,0,0,
krstine01,Nenad Krstić,11,5,6,.455,11,5,6,.455,0,0,0,
ricegl01,Glen Rice,11,1,10,.091,11,1,10,.091,0,0,0,
hartja01,Jason Hart,9,3,6,.333,9,3,6,.333,0,0,0,
knighbr01,Brevin Knight,9,3,6,.333,9,3,6,.333,0,0,0,
thompdi01,Dijon Thompson,9,7,2,.778,9,7,2,.778,0,0,0,
boganke01,Keith Bogans,8,2,6,.250,8,2,6,.250,0,0,0,
hamilta01,Tang Hamilton,8,1,7,.125,8,1,7,.125,0,0,0,
whiteja01,Jahidi White,8,2,6,.250,8,2,6,.250,0,0,0,
bradlmi01,Michael Bradley,8,5,3,.625,8,5,3,.625,0,0,0,
stackje01,Jerry Stackhouse,7,5,2,.714,7,5,2,.714,0,0,0,
fulleto02,Todd Fuller,7,4,3,.571,7,4,3,.571,0,0,0,
davisri01,Ricky Davis,7,4,3,.571,7,4,3,.571,0,0,0,
macledo01,Don MacLean,6,4,2,.667,6,4,2,.667,0,0,0,
sampsja01,Jamal Sampson,5,1,4,.200,5,1,4,.200,0,0,0,
hamilze01,Zendon Hamilton,5,2,3,.400,5,2,3,.400,0,0,0,
gadzuda01,Dan Gadzuric,5,2,3,.400,5,2,3,.400,0,0,0,
pachuza01,Zaza Pachulia,5,2,3,.400,5,2,3,.400,0,0,0,
robinja03,Jamal Robinson,5,2,3,.400,5,2,3,.400,0,0,0,
masonde01,Desmond Mason,5,2,3,.400,5,2,3,.400,0,0,0,
reddmi01,Michael Redd,5,2,3,.400,5,2,3,.400,0,0,0,
fizerma01,Marcus Fizer,5,2,3,.400,5,2,3,.400,0,0,0,
willima01,Mo Williams,5,2,3,.400,5,2,3,.400,0,0,0,
livinra01,Randy Livingston,4,0,4,.000,4,0,4,.000,0,0,0,
jacksbo01,Bobby Jackson,4,1,3,.250,1,1,0,1.000,3,0,3,.000
slayta01,Tamar Slay,4,0,4,.000,4,0,4,.000,0,0,0,
smithjo02,Joe Smith,4,1,3,.250,4,1,3,.250,0,0,0,
bendejo01,Jonathan Bender,4,0,4,.000,4,0,4,.000,0,0,0,
browner01,Ernest Brown,3,0,3,.000,3,0,3,.000,0,0,0,
duhonch01,Chris Duhon,3,1,2,.333,3,1,2,.333,0,0,0,
stoudam01,Amar'e Stoudemire,3,2,1,.667,3,2,1,.667,0,0,0,
ilicmi01,Mile Ilić,2,0,2,.000,2,0,2,.000,0,0,0,
fordsh02,Sharrod Ford,2,2,0,1.000,2,2,0,1.000,0,0,0,
barrean01,Andre Barrett,2,1,1,.500,2,1,1,.500,0,0,0,
pittmde01,Dexter Pittman,2,2,0,1.000,2,2,0,1.000,0,0,0,
zhizhwa01,Wang Zhizhi,2,0,2,.000,2,0,2,.000,0,0,0,
polynol01,Olden Polynice,1,0,1,.000,1,0,1,.000,0,0,0,
stricer01,Erick Strickland,1,0,1,.000,1,0,1,.000,0,0,0,
davisjo02,Josh Davis,1,0,1,.000,1,0,1,.000,0,0,0,
