id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
millere01,Reggie Miller,250,142,108,.568,216,124,92,.574,34,18,16,.529
croshau01,Austin Croshere,235,134,101,.570,206,118,88,.573,29,16,13,.552
fosteje01,Jeff Foster,234,134,100,.573,209,122,87,.584,25,12,13,.480
onealje01,Jermaine O'Neal,225,127,98,.564,200,115,85,.575,25,12,13,.480
harrial01,Al Harrington,215,122,93,.567,195,112,83,.574,20,10,10,.500
tinslja01,Jamaal Tinsley,166,99,67,.596,142,87,55,.613,24,12,12,.500
roseja01,Jalen Rose,132,71,61,.538,122,65,57,.533,10,6,4,.600
besttr01,Travis Best,131,70,61,.534,121,64,57,.529,10,6,4,.600
artesro01,Metta World Peace,111,71,40,.640,88,60,28,.682,23,11,12,.478
perkisa01,Sam Perkins,77,45,32,.584,67,39,28,.582,10,6,4,.600
millebr01,Brad Miller,73,43,30,.589,65,41,24,.631,8,2,6,.250
mckeyde01,Derrick McKey,66,32,34,.485,56,26,30,.464,10,6,4,.600
tabakza01,Žan Tabak,61,31,30,.508,52,26,26,.500,9,5,4,.556
mercero01,Ron Mercer,58,35,23,.603,50,33,17,.660,8,2,6,.250
jonesfr01,Fred Jones,53,37,16,.698,39,29,10,.744,14,8,6,.571
johnsan02,Anthony Johnson,41,28,13,.683,25,18,7,.720,16,10,6,.625
stricer01,Erick Strickland,38,23,15,.605,35,23,12,.657,3,0,3,.000
brezepr01,Primož Brezec,34,20,14,.588,34,20,14,.588,0,0,0,
ollieke01,Kevin Ollie,33,18,15,.545,28,16,12,.571,5,2,3,.400
jacksma01,Mark Jackson,33,25,8,.758,24,19,5,.792,9,6,3,.667
sundobr01,Bruno Šundov,32,14,18,.438,31,13,18,.419,1,1,0,1.000
smitsri01,Rik Smits,31,24,7,.774,23,19,4,.826,8,5,3,.625
davisda01,Dale Davis,28,22,6,.786,19,16,3,.842,9,6,3,.667
gallida01,Danilo Gallinari*,25,9,16,.360,25,9,16,.360,0,0,0,
pollasc01,Scot Pollard,24,18,6,.750,21,15,6,.714,3,3,0,1.000
leeda02,David Lee,24,8,16,.333,24,8,16,.333,0,0,0,
edneyty01,Tyus Edney,23,14,9,.609,22,14,8,.636,1,0,1,.000
chandwi01,Wilson Chandler,22,8,14,.364,22,8,14,.364,0,0,0,
duhonch01,Chris Duhon,22,9,13,.409,22,9,13,.409,0,0,0,
breweja01,Jamison Brewer,20,10,10,.500,18,9,9,.500,2,1,1,.500
rogerca01,Carlos Rogers,20,8,12,.400,20,8,12,.400,0,0,0,
jeffrja01,Jared Jeffries,19,8,11,.421,19,8,11,.421,0,0,0,
mullich01,Chris Mullin,19,13,6,.684,15,12,3,.800,4,1,3,.250
douglto01,Toney Douglas,15,6,9,.400,15,6,9,.400,0,0,0,
hardati01,Tim Hardaway,13,7,6,.538,10,7,3,.700,3,0,3,.000
anderke01,Kenny Anderson,12,9,3,.750,8,6,2,.750,4,3,1,.750
millste01,Terry Mills,10,4,6,.400,10,4,6,.400,0,0,0,
robinna01,Nate Robinson,9,4,5,.444,9,4,5,.444,0,0,0,
hilljo01,Jordan Hill,8,2,6,.250,8,2,6,.250,0,0,0,
landrma01,Marcus Landry,7,3,4,.429,7,3,4,.429,0,0,0,
mcgratr01,Tracy McGrady,6,1,5,.167,6,1,5,.167,0,0,0,
rodrise01,Sergio Rodríguez,6,1,5,.167,6,1,5,.167,0,0,0,
jacksst02,Stephen Jackson,6,3,3,.500,6,3,3,.500,0,0,0,
hughela01,Larry Hughes,5,2,3,.400,5,2,3,.400,0,0,0,
jonesja02,James Jones,5,2,3,.400,5,2,3,.400,0,0,0,
gilled01,Eddie Gill,5,2,3,.400,5,2,3,.400,0,0,0,
houseed01,Eddie House,4,0,4,.000,4,0,4,.000,0,0,0,
walkebi01,Henry Walker,4,1,3,.250,4,1,3,.250,0,0,0,
harrida01,David Harrison,4,3,1,.750,4,3,1,.750,0,0,0,
richano01,Norm Richardson,3,1,2,.333,3,1,2,.333,0,0,0,
ketnela01,Lari Ketner,3,0,3,.000,3,0,3,.000,0,0,0,
giddejr01,J.R. Giddens,2,1,1,.500,2,1,1,.500,0,0,0,
grangda01,Danny Granger,2,1,1,.500,2,1,1,.500,0,0,0,
currymi01,Michael Curry,2,2,0,1.000,2,2,0,1.000,0,0,0,
jasiksa01,Šarūnas Jasikevičius,2,1,1,.500,2,1,1,.500,0,0,0,
walkesa01,Samaki Walker,1,1,0,1.000,1,1,0,1.000,0,0,0,
