id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mcgratr01,Tracy McGrady,136,58,78,.426,129,55,74,.426,7,3,4,.429
iguodan01,Andre Iguodala,134,61,73,.455,134,61,73,.455,0,0,0,
korveky01,Kyle Korver,132,61,71,.462,132,61,71,.462,0,0,0,
declean01,Andrew DeClercq,125,47,78,.376,118,44,74,.373,7,3,4,.429
dalemsa01,Samuel Dalembert,123,56,67,.455,123,56,67,.455,0,0,0,
ollieke01,Kevin Ollie,100,45,55,.450,100,45,55,.450,0,0,0,
iversal01,Allen Iverson,96,47,49,.490,94,47,47,.500,2,0,2,.000
armstda01,Darrell Armstrong,93,47,46,.505,86,44,42,.512,7,3,4,.429
garripa01,Pat Garrity,92,47,45,.511,85,44,41,.518,7,3,4,.429
mariosh01,Shawn Marion,90,66,24,.733,75,57,18,.760,15,9,6,.600
stoudam01,Amar'e Stoudemire,89,64,25,.719,74,55,19,.743,15,9,6,.600
richaqu01,Quentin Richardson,88,63,25,.716,73,54,19,.740,15,9,6,.600
johnsjo02,Joe Johnson,85,63,22,.741,76,57,19,.750,9,6,3,.667
nashst01,Steve Nash,84,64,20,.762,69,55,14,.797,15,9,6,.600
webbech01,Chris Webber,79,33,46,.418,79,33,46,.418,0,0,0,
willilo02,Lou Williams,76,33,43,.434,76,33,43,.434,0,0,0,
goodedr01,Drew Gooden,75,21,54,.280,68,18,50,.265,7,3,4,.429
greenwi01,Willie Green,71,32,39,.451,71,32,39,.451,0,0,0,
barbole01,Leandro Barbosa,70,52,18,.743,58,44,14,.759,12,8,4,.667
salmojo01,John Salmons,69,33,36,.478,69,33,36,.478,0,0,0,
howarju01,Juwan Howard,58,13,45,.224,58,13,45,.224,0,0,0,
giricgo01,Gordan Giriček,58,22,36,.379,51,19,32,.373,7,3,4,.429
carnero01,Rodney Carney,56,22,34,.393,56,22,34,.393,0,0,0,
luety01,Tyronn Lue,56,11,45,.196,56,11,45,.196,0,0,0,
millemi01,Mike Miller,54,25,29,.463,54,25,29,.463,0,0,0,
randosh01,Shavlik Randolph,53,22,31,.415,53,22,31,.415,0,0,0,
jacksji01,Jim Jackson,53,38,15,.717,38,29,9,.763,15,9,6,.600
boganke01,Keith Bogans,53,12,41,.226,53,12,41,.226,0,0,0,
hudsotr01,Troy Hudson,52,26,26,.500,52,26,26,.500,0,0,0,
millean02,Andre Miller,51,27,24,.529,51,27,24,.529,0,0,0,
grantho01,Horace Grant,49,26,23,.531,49,26,23,.531,0,0,0,
smithjo02,Joe Smith,48,26,22,.542,48,26,22,.542,0,0,0,
outlabo01,Bo Outlaw,48,34,14,.708,47,33,14,.702,1,1,0,1.000
reiddo01,Don Reid,43,23,20,.535,43,23,20,.535,0,0,0,
ewingpa01,Patrick Ewing,43,21,22,.488,43,21,22,.488,0,0,0,
jonesbo02,Bobby Jones,42,19,23,.452,42,19,23,.452,0,0,0,
barnema02,Matt Barnes,41,20,21,.488,41,20,21,.488,0,0,0,
sasseje01,Jeryl Sasser,41,19,22,.463,35,17,18,.486,6,2,4,.333
vaughja01,Jacque Vaughn,40,20,20,.500,33,17,16,.515,7,3,4,.429
buechju01,Jud Buechler,39,21,18,.538,39,21,18,.538,0,0,0,
willimo01,Monty Williams,39,19,20,.487,39,19,20,.487,0,0,0,
pachuza01,Zaza Pachulia,38,5,33,.132,38,5,33,.132,0,0,0,
kempsh01,Shawn Kemp,37,19,18,.514,30,16,14,.533,7,3,4,.429
bradlmi01,Michael Bradley,37,20,17,.541,37,20,17,.541,0,0,0,
jacobca01,Casey Jacobsen,37,28,9,.757,37,28,9,.757,0,0,0,
gainere01,Reece Gaines,33,4,29,.121,33,4,29,.121,0,0,0,
mccarwa01,Walter McCarty,33,23,10,.697,25,18,7,.720,8,5,3,.625
voskuja01,Jake Voskuhl,32,24,8,.750,32,24,8,.750,0,0,0,
stricro02,Rod Strickland,31,8,23,.258,31,8,23,.258,0,0,0,
burkepa01,Pat Burke,29,12,17,.414,23,10,13,.435,6,2,4,.333
hendeal01,Alan Henderson,27,6,21,.222,27,6,21,.222,0,0,0,
willish01,Shammond Williams,27,6,21,.222,27,6,21,.222,0,0,0,
whitnch01,Chris Whitney,25,14,11,.560,18,11,7,.611,7,3,4,.429
nailole01,Lee Nailon,24,11,13,.458,24,11,13,.458,0,0,0,
carrode01,DeMarre Carroll,21,8,13,.381,21,8,13,.381,0,0,0,
mayooj01,O.J. Mayo,21,8,13,.381,21,8,13,.381,0,0,0,
gasolma01,Marc Gasol,21,8,13,.381,21,8,13,.381,0,0,0,
randoza01,Zach Randolph,21,8,13,.381,21,8,13,.381,0,0,0,
kleizli01,Linas Kleiza,21,13,8,.619,19,13,6,.684,2,0,2,.000
martike01,Kenyon Martin,21,13,8,.619,19,13,6,.684,2,0,2,.000
diawaya01,Yakhouba Diawara,21,13,8,.619,19,13,6,.684,2,0,2,.000
stevede01,DeShawn Stevenson,20,7,13,.350,20,7,13,.350,0,0,0,
smithjr01,J.R. Smith,20,12,8,.600,18,12,6,.667,2,0,2,.000
gayru01,Rudy Gay*,20,8,12,.400,20,8,12,.400,0,0,0,
anthoca01,Carmelo Anthony*,20,13,7,.650,18,13,5,.722,2,0,2,.000
youngsa01,Sam Young,20,8,12,.400,20,8,12,.400,0,0,0,
conlemi01,Mike Conley*,20,8,12,.400,20,8,12,.400,0,0,0,
willima03,Marcus Williams,19,8,11,.421,19,8,11,.421,0,0,0,
harvedo01,Donnell Harvey,19,2,17,.105,19,2,17,.105,0,0,0,
cambyma01,Marcus Camby,19,11,8,.579,17,11,6,.647,2,0,2,.000
najered01,Eduardo Nájera,18,11,7,.611,16,11,5,.688,2,0,2,.000
thabeha01,Hasheem Thabeet,18,6,12,.333,18,6,12,.333,0,0,0,
cartean01,Anthony Carter,17,10,7,.588,15,10,5,.667,2,0,2,.000
lampema01,Maciej Lampe,15,10,5,.667,15,10,5,.667,0,0,0,
thomaja02,James Thomas,15,7,8,.467,15,7,8,.467,0,0,0,
hillgr01,Grant Hill,15,7,8,.467,15,7,8,.467,0,0,0,
rooksse01,Sean Rooks,15,4,11,.267,15,4,11,.267,0,0,0,
johnsbr01,Britton Johnsen,13,4,9,.308,13,4,9,.308,0,0,0,
haddaha01,Hamed Haddadi,11,4,7,.364,11,4,7,.364,0,0,0,
tinslja01,Jamaal Tinsley,10,5,5,.500,10,5,5,.500,0,0,0,
penigde01,Desmond Penigar,10,4,6,.400,10,4,6,.400,0,0,0,
oyedeol01,Olumide Oyedeji,10,6,4,.600,10,6,4,.600,0,0,0,
amundlo01,Lou Amundson,9,4,5,.444,9,4,5,.444,0,0,0,
shirlpa01,Paul Shirley,9,8,1,.889,9,8,1,.889,0,0,0,
atkinch01,Chucky Atkins,8,5,3,.625,7,5,2,.714,1,0,1,.000
vromaja01,Jackson Vroman,8,4,4,.500,8,4,4,.500,0,0,0,
dialde01,Derrick Dial,7,2,5,.286,7,2,5,.286,0,0,0,
mcfariv01,Ivan McFarlin,7,0,7,.000,7,0,7,.000,0,0,0,
wafervo01,Von Wafer,7,4,3,.571,7,4,3,.571,0,0,0,
greenta01,Taurean Green,6,5,1,.833,6,5,1,.833,0,0,0,
parkesm01,Smush Parker,5,3,2,.600,5,3,2,.600,0,0,0,
smithst03,Steven Smith,5,0,5,.000,5,0,5,.000,0,0,0,
hilarne01,Nenê,5,1,4,.200,3,1,2,.333,2,0,2,.000
tabusyu01,Yuta Tabuse,4,4,0,1.000,4,4,0,1.000,0,0,0,
brownde01,Dee Brown,4,2,2,.500,4,2,2,.500,0,0,0,
humphry01,Ryan Humphrey,4,1,3,.250,4,1,3,.250,0,0,0,
hudsole01,Lester Hudson,3,1,2,.333,3,1,2,.333,0,0,0,
cabarza01,Žarko Čabarkapa,3,2,1,.667,3,2,1,.667,0,0,0,
jacksja01,Jaren Jackson,2,0,2,.000,2,0,2,.000,0,0,0,
gaide01,Deng Gai,2,0,2,.000,2,0,2,.000,0,0,0,
gildetr01,Trey Gilder,1,0,1,.000,1,0,1,.000,0,0,0,
archiro01,Robert Archibald,1,0,1,.000,1,0,1,.000,0,0,0,
wilksmi01,Mike Wilks,1,1,0,1.000,1,1,0,1.000,0,0,0,
