id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
pettibo01,Bob Pettit*,12,2,10,.167,12,2,10,.167,0,0,0,
hitchle01,Lew Hitch*,12,2,10,.167,12,2,10,.167,0,0,0,
calhobi01,Bill Calhoun*,12,2,10,.167,12,2,10,.167,0,0,0,
harribo02,Bob Harrison*,12,2,10,.167,12,2,10,.167,0,0,0,
coopech01,Chuck Cooper,12,2,10,.167,12,2,10,.167,0,0,0,
sharech01,Chuck Share*,11,2,9,.182,11,2,9,.182,0,0,0,
ratkoge01,George Ratkovicz*,9,2,7,.222,9,2,7,.222,0,0,0,
martiph01,Phil Martin,7,1,6,.143,7,1,6,.143,0,0,0,
saulpe01,Pep Saul*,5,0,5,.000,5,0,5,.000,0,0,0,
macgiro01,Ronnie MacGilvray,4,0,4,.000,4,0,4,.000,0,0,0,
mooreja01,Jackie Moore,1,0,1,.000,1,0,1,.000,0,0,0,
selvyfr01,Frank Selvy*,1,0,1,.000,1,0,1,.000,0,0,0,
diutefr01,Fred Diute,1,0,1,.000,1,0,1,.000,0,0,0,
