id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bosweto01,Tom Boswell,212,107,105,.505,197,98,99,.497,15,9,6,.600
vanardi01,Dick Van Arsdale,195,85,110,.436,195,85,110,.436,0,0,0,
whitejo01,Jo Jo White*,183,103,80,.563,156,86,70,.551,27,17,10,.630
havlijo01,John Havlicek,171,96,75,.561,147,80,67,.544,24,16,8,.667
taylofa01,Fatty Taylor,169,103,66,.609,157,97,60,.618,12,6,6,.500
eakinji01,Jim Eakins*,169,103,66,.609,157,97,60,.618,12,6,6,.500
stacoke01,Kevin Stacom,151,88,63,.583,129,74,55,.574,22,14,8,.636
isselda01,Dan Issel*,150,68,82,.453,147,67,80,.456,3,1,2,.333
cowenda01,Dave Cowens,147,86,61,.585,120,69,51,.575,27,17,10,.630
moedo01,Doug Moe,146,91,55,.623,134,85,49,.634,12,6,6,.500
calhoco01,Corky Calhoun,146,64,82,.438,146,64,82,.438,0,0,0,
wilkebo01,Bob Wilkerson,142,64,78,.451,139,63,76,.453,3,1,2,.333
hugheki01,Kim Hughes,141,65,76,.461,138,64,74,.464,3,1,2,.333
walkne01,Neal Walk,138,62,76,.449,138,62,76,.449,0,0,0,
ardji01,Jim Ard*,133,82,51,.617,117,71,46,.607,16,11,5,.688
haskicl01,Clem Haskins,132,60,72,.455,132,60,72,.455,0,0,0,
greenla01,Lamar Green,129,58,71,.450,129,58,71,.450,0,0,0,
scottra01,Ray Scott,129,80,49,.620,117,74,43,.632,12,6,6,.500
bantomi01,Mike Bantom*,121,48,73,.397,121,48,73,.397,0,0,0,
johnsne02,Neil Johnson*,121,78,43,.645,109,72,37,.661,12,6,6,.500
saundfr01,Fred Saunders,120,41,79,.342,111,36,75,.324,9,5,4,.556
kuberst01,Steve Kuberski,117,72,45,.615,99,60,39,.606,18,12,6,.667
mcginge01,George McGinnis,109,50,59,.459,109,50,59,.459,0,0,0,
thompda01,David Thompson,107,52,55,.486,104,51,53,.490,3,1,2,.333
silaspa01,Paul Silas,105,70,35,.667,87,58,29,.667,18,12,6,.667
irvinge01,George Irvine*,103,63,40,.612,97,60,37,.619,6,3,3,.500
melchga01,Gary Melchionni,99,40,59,.404,99,40,59,.404,0,0,0,
barremi01,Mike Barrett,96,61,35,.635,84,55,29,.655,12,6,6,.500
nelsodo01,Don Nelson,93,61,32,.656,75,49,26,.653,18,12,6,.667
cartege01,George Carter*,93,59,34,.634,81,53,28,.654,12,6,6,.500
mcdongl01,Glenn McDonald,88,55,33,.625,75,48,27,.640,13,7,6,.538
hawkico01,Connie Hawkins,88,39,49,.443,88,39,49,.443,0,0,0,
roberan01,Anthony Roberts,83,42,41,.506,80,41,39,.512,3,1,2,.333
wickssi01,Sidney Wicks,83,37,46,.446,74,32,42,.432,9,5,4,.556
smithro01,Robert Smith,82,45,37,.549,79,44,35,.557,3,1,2,.333
erickke01,Keith Erickson,80,36,44,.450,80,36,44,.450,0,0,0,
rowecu01,Curtis Rowe,79,35,44,.443,70,30,40,.429,9,5,4,.556
ellisbo02,Bo Ellis,79,34,45,.430,76,33,43,.434,3,1,2,.333
sojouwi01,Willie Sojourner*,73,42,31,.575,73,42,31,.575,0,0,0,
ervinju01,Julius Erving*,73,42,31,.575,73,42,31,.575,0,0,0,
laytomo01,Mo Layton,71,30,41,.423,71,30,41,.423,0,0,0,
awtrede01,Dennis Awtrey,69,27,42,.391,69,27,42,.391,0,0,0,
rochejo01,John Roche,69,23,46,.333,69,23,46,.333,0,0,0,
willibe01,Bernie Williams,67,39,28,.582,67,39,28,.582,0,0,0,
perrycu01,Curtis Perry,67,27,40,.403,67,27,40,.403,0,0,0,
williea01,Earl Williams,66,26,40,.394,66,26,40,.394,0,0,0,
garlaga01,Gary Garland,65,22,43,.338,65,22,43,.338,0,0,0,
maloymi01,Mike Maloy,63,40,23,.635,62,39,23,.629,1,1,0,1.000
johnsge03,George Johnson,62,23,39,.371,62,23,39,.371,0,0,0,
buntibi02,Bill Bunting,55,33,22,.600,49,30,19,.612,6,3,3,.500
chrisbo01,Bob Christian,52,21,31,.404,52,21,31,.404,0,0,0,
nixonno01,Norm Nixon,51,30,21,.588,48,29,19,.604,3,1,2,.333
hudsolo01,Lou Hudson*,51,30,21,.588,48,29,19,.604,3,1,2,.333
abdulka01,Kareem Abdul-Jabbar,51,30,21,.588,48,29,19,.604,3,1,2,.333
dantlad01,Adrian Dantley,51,30,21,.588,48,29,19,.604,3,1,2,.333
robisda01,Dave Robisch*,50,29,21,.580,47,28,19,.596,3,1,2,.333
gondrgl01,Glen Gondrezick,49,17,32,.347,49,17,32,.347,0,0,0,
owensji01,Jim Owens,48,15,33,.312,48,15,33,.312,0,0,0,
forddo01,Don Ford,46,29,17,.630,45,29,16,.644,1,0,1,.000
weslewa01,Walt Wesley,44,22,22,.500,44,22,22,.500,0,0,0,
carrke01,Kenny Carr,43,27,16,.628,41,26,15,.634,2,1,1,.500
abernto01,Tom Abernethy,42,25,17,.595,40,24,16,.600,2,1,1,.500
smithad01,Adrian Smith,42,23,19,.548,42,23,19,.548,0,0,0,
hawthna01,Nate Hawthorne,41,14,27,.341,41,14,27,.341,0,0,0,
kuestjo01,John Kuester,32,20,12,.625,32,20,12,.625,0,0,0,
jacksgr01,Greg Jackson,32,11,21,.344,32,11,21,.344,0,0,0,
bingda01,Dave Bing,30,9,21,.300,30,9,21,.300,0,0,0,
brownla01,Larry Brown*,29,21,8,.724,29,21,8,.724,0,0,0,
englisc01,Scott English,28,15,13,.536,28,15,13,.536,0,0,0,
maxwece01,Cedric Maxwell,28,8,20,.286,28,8,20,.286,0,0,0,
anderje01,Jerome Anderson,26,14,12,.538,22,11,11,.500,4,3,1,.750
davisbr01,Brad Davis,25,18,7,.720,25,18,7,.720,0,0,0,
stovapa01,Paul Stovall,24,12,12,.500,24,12,12,.500,0,0,0,
wilkeja01,Jamaal Wilkes,23,11,12,.478,20,10,10,.500,3,1,2,.333
johnsgu01,Gus Johnson,21,9,12,.429,21,9,12,.429,0,0,0,
englial01,Alex English,21,9,12,.429,21,9,12,.429,0,0,0,
hicksph01,Phil Hicks,20,10,10,.500,20,10,10,.500,0,0,0,
crompge01,Geoff Crompton,20,12,8,.600,20,12,8,.600,0,0,0,
cookno01,Norm Cook,15,5,10,.333,14,5,9,.357,1,0,1,.000
kramear01,Arvid Kramer,7,2,5,.286,7,2,5,.286,0,0,0,
cardfr01,Frank Card*,7,6,1,.857,7,6,1,.857,0,0,0,
reavejo01,Joe Reaves,7,1,6,.143,7,1,6,.143,0,0,0,
mooreot01,Otto Moore,6,4,2,.667,6,4,2,.667,0,0,0,
pagetda01,Dana Pagett,5,3,2,.600,5,3,2,.600,0,0,0,
searced01,Ed Searcy,4,3,1,.750,4,3,1,.750,0,0,0,
webbje01,Jeff Webb,4,3,1,.750,4,3,1,.750,0,0,0,
countme01,Mel Counts,4,3,1,.750,4,3,1,.750,0,0,0,
chambbi01,Bill Chamberlain*,2,1,1,.500,2,1,1,.500,0,0,0,
loganhe01,Henry Logan,1,1,0,1.000,0,0,0,,1,1,0,1.000
tayloro01,Ron Taylor*,1,1,0,1.000,1,1,0,1.000,0,0,0,
