id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lawsoty01,Ty Lawson,63,39,24,.619,62,39,23,.629,1,0,1,.000
smithjr01,J.R. Smith,61,38,23,.623,60,38,22,.633,1,0,1,.000
hilarne01,Nenê,58,36,22,.621,57,36,21,.632,1,0,1,.000
harrial01,Al Harrington,56,34,22,.607,55,34,21,.618,1,0,1,.000
afflaar01,Arron Afflalo,54,32,22,.593,54,32,22,.593,0,0,0,
davised01,Ed Davis,48,13,35,.271,48,13,35,.271,0,0,0,
johnsam01,Amir Johnson,47,12,35,.255,47,12,35,.255,0,0,0,
johnsja01,James Johnson,46,12,34,.261,46,12,34,.261,0,0,0,
derozde01,DeMar DeRozan*,45,12,33,.267,45,12,33,.267,0,0,0,
billuch01,Chauncey Billups,42,24,18,.571,42,24,18,.571,0,0,0,
anthoca01,Carmelo Anthony*,41,25,16,.610,41,25,16,.610,0,0,0,
willish02,Shelden Williams,37,25,12,.676,37,25,12,.676,0,0,0,
grayaa01,Aaron Gray,36,10,26,.278,36,10,26,.278,0,0,0,
caldejo01,José Calderón,36,8,28,.222,36,8,28,.222,0,0,0,
anderch01,Chris Andersen,35,22,13,.629,34,22,12,.647,1,0,1,.000
kleizli01,Linas Kleiza,35,11,24,.314,35,11,24,.314,0,0,0,
martike01,Kenyon Martin,34,21,13,.618,33,21,12,.636,1,0,1,.000
cartean01,Anthony Carter,28,8,20,.286,28,8,20,.286,0,0,0,
barbole01,Leandro Barbosa,27,5,22,.185,27,5,22,.185,0,0,0,
elyme01,Melvin Ely,26,17,9,.654,26,17,9,.654,0,0,0,
bargnan01,Andrea Bargnani,24,8,16,.333,24,8,16,.333,0,0,0,
butlera01,Rasual Butler,24,5,19,.208,24,5,19,.208,0,0,0,
magloja01,Jamaal Magloire,23,4,19,.174,23,4,19,.174,0,0,0,
bayleje01,Jerryd Bayless,22,6,16,.273,22,6,16,.273,0,0,0,
anderal01,Alan Anderson,14,5,9,.357,14,5,9,.357,0,0,0,
uzohbe01,Ben Uzoh,13,5,8,.385,13,5,8,.385,0,0,0,
alabiso01,Solomon Alabi,13,4,9,.308,13,4,9,.308,0,0,0,
chandwi01,Wilson Chandler,12,7,5,.583,11,7,4,.636,1,0,1,.000
feltora01,Raymond Felton,12,9,3,.750,11,9,2,.818,1,0,1,.000
koufoko01,Kosta Koufos,11,8,3,.727,10,8,2,.800,1,0,1,.000
mozgoti01,Timofey Mozgov,8,6,2,.750,8,6,2,.750,0,0,0,
gallida01,Danilo Gallinari*,7,4,3,.571,6,4,2,.667,1,0,1,.000
balkmre01,Renaldo Balkman,5,4,1,.800,5,4,1,.800,0,0,0,
dentmju01,Justin Dentmon,3,2,1,.667,3,2,1,.667,0,0,0,
