id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lewisfr02,Freddie Lewis,13,4,9,.308,13,4,9,.308,0,0,0,
danieme01,Mel Daniels*,13,4,9,.308,13,4,9,.308,0,0,0,
netolbo01,Bob Netolicky*,13,4,9,.308,13,4,9,.308,0,0,0,
brownro01,Roger Brown*,13,4,9,.308,13,4,9,.308,0,0,0,
peeplge01,George Peeples*,13,4,9,.308,13,4,9,.308,0,0,0,
lewismi01,Mike Lewis,12,4,8,.333,12,4,8,.333,0,0,0,
raylji01,Jimmy Rayl,11,3,8,.273,11,3,8,.273,0,0,0,
deedo01,Don Dee,9,4,5,.444,9,4,5,.444,0,0,0,
hoopebo01,Bobby Hooper,7,2,5,.286,7,2,5,.286,0,0,0,
harknje01,Jerry Harkness*,6,2,4,.333,6,2,4,.333,0,0,0,
