id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
davisan01,Antonio Davis,26,12,14,.462,26,12,14,.462,0,0,0,
smitsri01,Rik Smits,25,11,14,.440,25,11,14,.440,0,0,0,
millere01,Reggie Miller,25,12,13,.480,25,12,13,.480,0,0,0,
mitchsa01,Sam Mitchell,24,10,14,.417,24,10,14,.417,0,0,0,
mckeyde01,Derrick McKey,23,11,12,.478,23,11,12,.478,0,0,0,
sealyma01,Malik Sealy,19,10,9,.526,19,10,9,.526,0,0,0,
willike03,Kenny Williams,19,10,9,.526,19,10,9,.526,0,0,0,
flemive01,Vern Fleming,18,7,11,.389,18,7,11,.389,0,0,0,
davisda01,Dale Davis,18,7,11,.389,18,7,11,.389,0,0,0,
scottby01,Byron Scott,17,9,8,.529,17,9,8,.529,0,0,0,
workmha01,Haywoode Workman,17,9,8,.529,17,9,8,.529,0,0,0,
thompla01,LaSalle Thompson,16,7,9,.438,16,7,9,.438,0,0,0,
richapo01,Pooh Richardson,14,8,6,.571,14,8,6,.571,0,0,0,
paddige01,Gerald Paddio,6,2,4,.333,6,2,4,.333,0,0,0,
