id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
littlge01,Gene Littles,194,80,114,.412,190,80,110,.421,4,0,4,.000
lehmage01,George Lehmann*,156,58,98,.372,156,58,98,.372,0,0,0,
johnsst01,Stew Johnson*,140,55,85,.393,136,55,81,.404,4,0,4,.000
mahafra01,Randy Mahaffey,140,59,81,.421,136,59,77,.434,4,0,4,.000
daviswa02,Warren Davis*,139,57,82,.410,139,57,82,.410,0,0,0,
peeplge01,George Peeples*,138,59,79,.428,134,59,75,.440,4,0,4,.000
vergabo01,Bob Verga,137,56,81,.409,133,56,77,.421,4,0,4,.000
warrebo01,Bob Warren,133,61,72,.459,133,61,72,.459,0,0,0,
caldwjo01,Joe Caldwell,126,53,73,.421,126,53,73,.421,0,0,0,
stonege01,George Stone,110,47,63,.427,110,47,63,.427,0,0,0,
cartege01,George Carter*,99,36,63,.364,98,36,62,.367,1,0,1,.000
willich02,Chuck Williams,93,32,61,.344,89,32,57,.360,4,0,4,.000
moorege01,Gene Moore*,93,33,60,.355,89,33,56,.371,4,0,4,.000
eakinji01,Jim Eakins*,79,27,52,.342,78,27,51,.346,1,0,1,.000
jacksme01,Merv Jackson,79,35,44,.443,79,35,44,.443,0,0,0,
hillsi01,Simmie Hill,76,28,48,.368,72,28,44,.389,4,0,4,.000
mannied01,Ed Manning*,76,31,45,.408,76,31,45,.408,0,0,0,
smithga01,Garfield Smith,74,25,49,.338,70,25,45,.357,4,0,4,.000
powelci01,Cincy Powell,73,25,48,.342,72,25,47,.347,1,0,1,.000
taylool01,Ollie Taylor,73,25,48,.342,69,25,44,.362,4,0,4,.000
taylofa01,Fatty Taylor,70,22,48,.314,69,22,47,.319,1,0,1,.000
adamsge01,George Adams,68,24,44,.353,65,24,41,.369,3,0,3,.000
irvinge01,George Irvine*,67,23,44,.343,66,23,43,.348,1,0,1,.000
robbire01,Red Robbins*,67,17,50,.254,63,17,46,.270,4,0,4,.000
cardfr01,Frank Card*,64,26,38,.406,64,26,38,.406,0,0,0,
mcclate01,Ted McClain*,63,26,37,.413,63,26,37,.413,0,0,0,
niemari01,Rich Niemann*,62,30,32,.484,58,30,28,.517,4,0,4,.000
fowleca01,Calvin Fowler*,62,29,33,.468,58,29,29,.500,4,0,4,.000
moedo01,Doug Moe,60,28,32,.467,56,28,28,.500,4,0,4,.000
brownro02,Roger Brown*,59,20,39,.339,58,20,38,.345,1,0,1,.000
greyde01,Dennis Grey,58,22,36,.379,58,22,36,.379,0,0,0,
johnsed01,Ed Johnson,58,25,33,.431,58,25,33,.431,0,0,0,
mcdanji01,Jim McDaniels,57,22,35,.386,57,22,35,.386,0,0,0,
twardda01,Dave Twardzik,56,19,37,.339,55,19,36,.345,1,0,1,.000
parkhba01,Barry Parkhill*,51,14,37,.275,50,14,36,.280,1,0,1,.000
jarviji01,Jim Jarvis*,50,20,30,.400,50,20,30,.400,0,0,0,
baconhe01,Henry Bacon,49,19,30,.388,47,19,28,.404,2,0,2,.000
laceyed01,Edgar Lacey,46,17,29,.370,46,17,29,.370,0,0,0,
ladnewe01,Wendell Ladner*,43,22,21,.512,43,22,21,.512,0,0,0,
dentora01,Randy Denton,43,14,29,.326,43,14,29,.326,0,0,0,
chambje01,Jerry Chambers,42,15,27,.357,42,15,27,.357,0,0,0,
whitnha01,Hank Whitney*,41,18,23,.439,37,18,19,.486,4,0,4,.000
gervige01,George Gervin,41,16,25,.390,41,16,25,.390,0,0,0,
kramest01,Steve Kramer*,41,20,21,.488,39,20,19,.513,2,0,2,.000
williva01,Vann Williford,38,11,27,.289,38,11,27,.289,0,0,0,
barrmi01,Mike Barr,38,11,27,.289,37,11,26,.297,1,0,1,.000
warlebe01,Ben Warley*,35,14,21,.400,35,14,21,.400,0,0,0,
buntibi02,Bill Bunting,34,20,14,.588,34,20,14,.588,0,0,0,
owensto01,Tom Owens*,31,17,14,.548,31,17,14,.548,0,0,0,
newmada01,Dave Newmark,25,10,15,.400,25,10,15,.400,0,0,0,
hargeir01,Ira Harge,24,6,18,.250,24,6,18,.250,0,0,0,
johnsri01,Rich Johnson*,24,13,11,.542,24,13,11,.542,0,0,0,
calvima01,Mack Calvin,21,11,10,.524,21,11,10,.524,0,0,0,
hightwa01,Wayne Hightower*,20,10,10,.500,20,10,10,.500,0,0,0,
ivoryel01,Elvin Ivory,20,6,14,.300,20,6,14,.300,0,0,0,
wisewi01,Willie Wise,19,10,9,.526,19,10,9,.526,0,0,0,
mcgilbi01,Bill McGill,19,9,10,.474,19,9,10,.474,0,0,0,
warlibo01,Bob Warlick*,18,10,8,.556,18,10,8,.556,0,0,0,
barremi01,Mike Barrett,18,3,15,.167,18,3,15,.167,0,0,0,
ligongo01,Goose Ligon,17,4,13,.235,16,4,12,.250,1,0,1,.000
chubist01,Steve Chubin,17,8,9,.471,17,8,9,.471,0,0,0,
lloydch01,Chuck Lloyd,14,3,11,.214,14,3,11,.214,0,0,0,
milleja01,Jay Miller*,11,5,6,.455,11,5,6,.455,0,0,0,
natersw01,Swen Nater*,8,3,5,.375,8,3,5,.375,0,0,0,
raymocr01,Craig Raymond,8,4,4,.500,8,4,4,.500,0,0,0,
braddga01,Gary Bradds*,7,0,7,.000,7,0,7,.000,0,0,0,
shephbi01,Billy Shepherd*,7,3,4,.429,7,3,4,.429,0,0,0,
lamarbo01,Bo Lamar*,7,3,4,.429,7,3,4,.429,0,0,0,
basseti01,Tim Bassett*,6,3,3,.500,6,3,3,.500,0,0,0,
jonesca01,Caldwell Jones*,6,2,4,.333,6,2,4,.333,0,0,0,
boonero01,Ron Boone*,5,2,3,.400,5,2,3,.400,0,0,0,
dickecl01,Clyde Dickey*,5,2,3,.400,5,2,3,.400,0,0,0,
smithpe01,Pete Smith,5,2,3,.400,5,2,3,.400,0,0,0,
sealsbr01,Bruce Seals,5,2,3,.400,5,2,3,.400,0,0,0,
smithal01,Al Smith*,5,2,3,.400,5,2,3,.400,0,0,0,
govange01,Gerald Govan*,5,2,3,.400,5,2,3,.400,0,0,0,
kellyar01,Arvesta Kelly,5,0,5,.000,5,0,5,.000,0,0,0,
malonmo01,Moses Malone,5,2,3,.400,5,2,3,.400,0,0,0,
daughma01,Mack Daughtry,4,0,4,.000,4,0,4,.000,0,0,0,
joneswa02,Wali Jones,4,2,2,.500,4,2,2,.500,0,0,0,
kluttlo01,Lonnie Kluttz,3,0,3,.000,3,0,3,.000,0,0,0,
pendeje01,Jerry Pender,3,1,2,.333,3,1,2,.333,0,0,0,
