id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
dempsge01,George Dempsey,58,37,21,.638,55,35,20,.636,3,2,1,.667
georgja01,Jack George*,58,37,21,.638,55,35,20,.636,3,2,1,.667
grabojo01,Joe Graboski*,58,37,21,.638,55,35,20,.636,3,2,1,.667
arizipa01,Paul Arizin,58,37,21,.638,55,35,20,.636,3,2,1,.667
daviswa01,Walt Davis*,57,36,21,.632,54,34,20,.630,3,2,1,.667
johnsne01,Neil Johnston*,56,36,20,.643,53,34,19,.642,3,2,1,.667
becker01,Ernie Beck,53,35,18,.660,50,33,17,.660,3,2,1,.667
golato01,Tom Gola,52,33,19,.635,49,31,18,.633,3,2,1,.667
mooreja01,Jackie Moore,51,32,19,.627,48,30,18,.625,3,2,1,.667
schafbo01,Bob Schafer,20,10,10,.500,20,10,10,.500,0,0,0,
schaydo01,Dolph Schayes*,19,5,14,.263,19,5,14,.263,0,0,0,
kerrre01,Red Kerr*,19,5,14,.263,19,5,14,.263,0,0,0,
holupjo01,Joe Holup,19,5,14,.263,19,5,14,.263,0,0,0,
lloydea01,Earl Lloyd*,19,5,14,.263,19,5,14,.263,0,0,0,
conlied01,Ed Conlin*,18,5,13,.278,18,5,13,.278,0,0,0,
hopkibo01,Bob Hopkins,18,4,14,.222,18,4,14,.222,0,0,0,
seymopa01,Paul Seymour*,18,5,13,.278,18,5,13,.278,0,0,0,
biancal01,Al Bianchi,16,4,12,.250,16,4,12,.250,0,0,0,
harribo02,Bob Harrison*,9,3,6,.333,9,3,6,.333,0,0,0,
tuckeji01,Jim Tucker*,3,1,2,.333,3,1,2,.333,0,0,0,
costela01,Larry Costello,2,1,1,.500,2,1,1,.500,0,0,0,
learha01,Hal Lear,2,1,1,.500,2,1,1,.500,0,0,0,
