id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
westje01,Jerry West,703,426,277,.606,593,365,228,.616,110,61,49,.555
larusru01,Rudy LaRusso,576,313,263,.543,509,279,230,.548,67,34,33,.507
krebsji01,Jim Krebs*,463,239,224,.516,401,208,193,.519,62,31,31,.500
hawkito01,Tom Hawkins*,457,249,208,.545,392,213,179,.543,65,36,29,.554
hundlho01,Hot Rod Hundley*,376,190,186,.505,322,163,159,.506,54,27,27,.500
selvyfr01,Frank Selvy*,364,198,166,.544,314,173,141,.551,50,25,25,.500
ellisle01,Leroy Ellis,337,199,138,.591,304,183,121,.602,33,16,17,.485
imhofda01,Darrall Imhoff,314,183,131,.583,281,165,116,.587,33,18,15,.545
wileyge01,Gene Wiley*,295,173,122,.586,277,166,111,.599,18,7,11,.389
countme01,Mel Counts,282,171,111,.606,232,141,91,.608,50,30,20,.600
barnedi01,Dick Barnett,243,144,99,.593,224,135,89,.603,19,9,10,.474
goodrga01,Gail Goodrich,226,123,103,.544,202,112,90,.554,24,11,13,.458
abdulma01,Walt Hazzard*,210,116,94,.552,193,109,84,.565,17,7,10,.412
kingji01,Jim King,210,123,87,.586,193,115,78,.596,17,8,9,.471
leonasl01,Slick Leonard*,208,86,122,.413,179,73,106,.408,29,13,16,.448
felixra01,Ray Felix*,184,100,84,.543,151,82,69,.543,33,18,15,.545
clarkar01,Archie Clark*,158,87,71,.551,140,77,63,.550,18,10,8,.556
eganjo01,Johnny Egan*,158,95,63,.601,124,75,49,.605,34,20,14,.588
erickke01,Keith Erickson,154,96,58,.623,119,74,45,.622,35,22,13,.629
chambwi01,Wilt Chamberlain,133,85,48,.639,97,63,34,.649,36,22,14,.611
ellisbo01,Boo Ellis,132,56,76,.424,116,48,68,.414,16,8,8,.500
crawffr01,Freddie Crawford,130,91,39,.700,110,77,33,.700,20,14,6,.700
foustla01,Larry Foust*,125,51,74,.408,112,45,67,.402,13,6,7,.462
garmadi01,Dick Garmaker*,122,50,72,.410,109,44,65,.404,13,6,7,.462
nelsodo01,Don Nelson,117,62,55,.530,111,59,52,.532,6,3,3,.500
jolifho01,Howie Jolliff*,113,70,43,.619,100,64,36,.640,13,6,7,.462
barneji01,Jim Barnes*,112,51,61,.455,109,51,58,.468,3,0,3,.000
flemied01,Ed Fleming,104,45,59,.433,91,39,52,.429,13,6,7,.462
hewitbi01,Bill Hewitt,98,62,36,.633,83,52,31,.627,15,10,5,.667
hamilst01,Steve Hamilton,85,38,47,.447,75,34,41,.453,10,4,6,.400
mikkeve01,Vern Mikkelsen*,83,39,44,.470,70,33,37,.471,13,6,7,.462
boozebo01,Bob Boozer*,72,40,32,.556,62,36,26,.581,10,4,6,.400
garredi01,Dick Garrett*,66,37,29,.561,48,26,22,.542,18,11,7,.611
chambje01,Jerry Chambers,62,28,34,.452,59,28,31,.475,3,0,3,.000
roberri01,Rick Roberson,58,33,25,.569,49,26,23,.531,9,7,2,.778
hairsha01,Happy Hairston,58,35,23,.603,42,25,17,.595,16,10,6,.625
andercl01,Cliff Anderson,52,32,20,.615,49,29,20,.592,3,3,0,1.000
mueller01,Erwin Mueller,50,37,13,.740,36,28,8,.778,14,9,5,.643
reedhu01,Hub Reed*,43,23,20,.535,42,23,19,.548,1,0,1,.000
hamilde01,Dennis Hamilton,41,28,13,.683,39,26,13,.667,2,2,0,1.000
wetzejo01,John Wetzel,36,25,11,.694,36,25,11,.694,0,0,0,
hornro01,Ron Horn*,35,19,16,.543,28,16,12,.571,7,3,4,.429
mccarwi01,Willie McCarter,32,17,15,.531,27,12,15,.444,5,5,0,1.000
lynnmi01,Mike Lynn,29,17,12,.586,26,14,12,.538,3,3,0,1.000
cartyja01,Jay Carty,26,20,6,.769,24,18,6,.750,2,2,0,1.000
yateswa01,Wayne Yates*,23,15,8,.652,18,13,5,.722,5,2,3,.400
nashco01,Cotton Nash,22,11,11,.500,22,11,11,.500,0,0,0,
faircjo01,John Fairchild*,22,12,10,.545,22,12,10,.545,0,0,0,
tresvjo01,John Tresvant,22,13,9,.591,11,5,6,.455,11,8,3,.727
alcorga01,Gary Alcorn*,21,10,11,.476,21,10,11,.476,0,0,0,
simsbo01,Bob Sims,19,13,6,.684,19,13,6,.684,0,0,0,
blockjo01,John Block,18,9,9,.500,18,9,9,.500,0,0,0,
finkeha01,Hank Finkel*,18,9,9,.500,18,9,9,.500,0,0,0,
mcneibo01,Bob McNeill,14,9,5,.643,9,7,2,.778,5,2,3,.400
sharech01,Chuck Share*,12,7,5,.583,3,2,1,.667,9,5,4,.556
mcmilji01,Jim McMillian*,11,7,4,.636,11,7,4,.636,0,0,0,
smithbo01,Bobby Smith,10,5,5,.500,10,5,5,.500,0,0,0,
mantini01,Nick Mantis,10,3,7,.300,10,3,7,.300,0,0,0,
robinfl01,Flynn Robinson,9,6,3,.667,9,6,3,.667,0,0,0,
groteje01,Jerry Grote,9,5,4,.556,9,5,4,.556,0,0,0,
gibsome01,Mel Gibson,9,3,6,.333,9,3,6,.333,0,0,0,
mcgilbi01,Bill McGill,7,7,0,1.000,6,6,0,1.000,1,1,0,1.000
rileypa01,Pat Riley,6,4,2,.667,6,4,2,.667,0,0,0,
johnsro01,Ron Johnson,5,2,3,.400,5,2,3,.400,0,0,0,
cleamji01,Jim Cleamons,5,3,2,.600,5,3,2,.600,0,0,0,
hooveto01,Tom Hoover*,3,1,2,.333,0,0,0,,3,1,2,.333
trappjo01,John Trapp,3,3,0,1.000,3,3,0,1.000,0,0,0,
sobiero01,Ron Sobie,1,0,1,.000,1,0,1,.000,0,0,0,
hetzefr01,Fred Hetzel*,1,0,1,.000,1,0,1,.000,0,0,0,
